geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0100635	slo-RN	NOTEST	0.007274	NOTEST	0.0003	-1.083052	1.400315	0.838563	3.099825	2.982455	100.427298	15.763829	11.982321	9.983170	12.292750	1	1	1	1
FBtr0343535	CG6903-RB	NOTEST	0.049534	NOTEST	0.0158	-2.255968	0.260773	-0.385226	1.140949	40.543529	49.127611	7.528011	4.716821	11.991350	13.535450	0	1	1	1
FBtr0075499	Diap1-RB	0.085798	0.018637	0.0486	0.0019	-0.164930	1.956941	0.395289	2.519759	20.272508	3.260180	20.574473	16.231837	6.274700	12.639300	1	1	1	1
FBtr0343537	Usp30-RB	NOTEST	0.049053	NOTEST	0.0155	-3.926392	0.227297	-1.556416	0.406357	15.207507	83.798725	5.774088	4.303706	12.831600	14.548600	0	1	1	1
FBtr0081863	nac-RA	NOTEST	0.028574	NOTEST	0.0046	-4.282071	1.146728	-1.638501	1.944709	49.194939	23.810804	18.070565	17.126340	2.591250	2.845750	1	1	1	1
FBtr0078730	CG2182-RA	0.102715	0.015004	0.0677	0.0013	-0.283820	1.641767	0.055538	2.277402	3.031846	57.477758	0.671434	2.427728	15.125900	21.234350	0	1	1	1
FBtr0339663	Gart-RC	NOTEST	0.035342	NOTEST	0.0073	-1.701981	0.867711	1.411281	2.600683	52.070827	81.873484	8.125778	10.089405	9.878455	11.559500	1	1	1	1
FBtr0085468	Dop1R2-RB	NOTEST	0.046876	NOTEST	0.0139	-4.787687	0.472155	0.282490	1.189510	6.630298	5.525561	0.221097	0.548286	1.414170	1.771345	1	1	1	1
FBtr0073443	Dlic-RD	NOTEST	0.046596	NOTEST	0.0136	-2.820022	0.655888	-1.837548	2.069274	76.778103	91.428471	2.622539	3.981225	41.366500	46.740900	1	1	1	1
FBtr0330668	Rab5-RG	NOTEST	0.007274	NOTEST	0.0003	-5.455826	2.382750	-3.603157	3.324835	22.989840	5.571420	17.166775	4.952654	4.420560	7.421245	1	1	1	1
FBtr0076270	galla-2-RA	0.096314	0.044016	0.0598	0.0118	-0.177442	1.043950	0.244496	1.758175	95.395244	21.466273	18.477753	19.399913	16.256050	20.519950	1	1	1	1
FBtr0339099	Snp-RD	NOTEST	0.039858	NOTEST	0.0093	-4.476570	1.193250	-3.561966	1.632034	77.292660	17.981793	9.532171	6.351161	17.530300	26.324400	1	1	1	1
FBtr0075035	Mkp3-RB	NOTEST	0.04386	NOTEST	0.0117	-2.488999	1.094970	-0.324132	2.515270	0.000000	17.164951	24.000000	5.246549	0.000000	2.283910	0	1	0	0
FBtr0086706	CG5323-RA	NOTEST	0.039858	NOTEST	0.0093	-2.721159	0.938136	-1.909664	2.624743	38.630499	6.423971	19.294134	19.223249	11.320100	18.709450	1	1	1	1
FBtr0075971	CG10654-RA	NOTEST	0.033998	NOTEST	0.0067	-3.810577	1.084889	-1.281064	1.190404	94.568080	24.949338	11.512089	0.982435	0.862836	1.037892	0	1	1	0
FBtr0300451	CG31205-RB	NOTEST	0.014133	NOTEST	0.0011	-1.901048	1.287545	-1.753548	1.452936	30.965719	55.182117	1.626997	2.708020	22.584800	65.294600	1	1	1	1
FBtr0335462	CG9886-RB	NOTEST	0.043683	NOTEST	0.0115	-2.044021	1.142511	-1.560467	2.069128	6.578650	18.305793	14.232271	17.213054	1.808070	1.193965	1	1	1	1
FBtr0335465	CG13085-RB	NOTEST	0.042754	NOTEST	0.0109	-3.771870	0.988001	-1.101011	2.489219	76.005117	2.000633	8.303777	3.049455	1.560065	1.903560	1	1	1	1
FBtr0074014	CG9164-RB	0.143249	0.028027	0.1279	0.0044	-0.743120	1.552583	0.400502	4.085782	1.150580	59.774138	2.160866	5.963137	7.040645	5.641870	1	1	1	1
FBtr0347603	Rh6-RC	0.143249	0.043683	0.1279	0.0115	-0.717630	0.966044	-0.422577	2.168447	19.459139	16.721912	10.027989	9.130624	326.374000	592.936000	1	1	1	1
FBtr0336664	Dpit47-RB	NOTEST	0.044379	NOTEST	0.0122	-2.915813	0.845346	2.037456	2.275853	34.399929	3.343562	18.244100	23.611759	2.455660	3.557285	1	1	1	1
FBtr0084847	tobi-RA	0.137928	0.045142	0.1186	0.0128	-0.867904	-0.158856	-0.769407	0.908933	90.789014	22.966514	15.650903	12.126652	12.822450	15.294700	1	1	1	1
FBtr0332328	x16-RB	NOTEST	0.035735	NOTEST	0.0075	-3.096183	1.177196	-2.059898	2.312746	64.098665	18.299376	7.282278	16.467373	10.130300	10.411900	1	1	1	1
FBtr0306150	CG9812-RD	0.095112	0.039006	0.0583	0.0089	-0.210757	0.455258	0.522164	4.792357	4.670178	0.623693	4.263409	23.089873	1.808960	1.477175	1	1	1	1
FBtr0083609	mTerf5-RA	0.154745	0.016938	0.1479	0.0016	-0.927794	1.717709	-0.774499	3.925119	97.054917	6.166316	21.353263	19.867453	5.579485	6.260805	0	1	1	1
FBtr0073518	rho-4-RB	0.151491	0.031618	0.1417	0.0056	-0.869283	1.425220	-0.340441	1.977045	92.294694	94.034497	8.877825	11.348487	4.391560	7.568805	1	1	1	1
FBtr0088909	Corin-RB	NOTEST	0.046227	NOTEST	0.0134	-1.441449	0.400098	-0.882731	1.015524	11.131338	72.098468	8.170638	2.953855	2.883340	3.450475	1	1	1	1
FBtr0344009	CG5916-RB	NOTEST	0.046673	NOTEST	0.0137	-2.057372	0.800325	-1.041666	1.471197	15.137907	11.441878	19.329782	19.365185	8.916530	7.133965	0	1	1	1
FBtr0080168	abo-RA	NOTEST	0.005754	NOTEST	0.0002	-0.370807	1.612271	-0.116191	1.899981	6.991939	49.062593	2.879775	5.059458	8.272465	11.479100	0	1	1	1
FBtr0300894	nSyb-RG	0.118258	0.045142	0.088	0.0128	-0.437796	0.738781	0.525347	3.356260	59.932424	14.980035	5.158536	6.237414	360.059000	256.826000	1	1	1	1
FBtr0339710	dsx-RF	0.160657	0.032888	0.1579	0.006	-0.960976	1.062804	0.702214	2.392856	5.301335	51.679722	5.407131	3.650962	2.962705	2.843180	1	1	1	1
FBtr0078422	Alg11-RA	0.124698	0.030065	0.0975	0.0051	-0.496569	0.703982	-0.264058	0.720707	1.201285	45.421614	2.325149	3.725249	38.935750	44.223600	1	1	1	1
FBtr0078423	ORMDL-RA	NOTEST	0.04386	NOTEST	0.0117	-1.102647	0.643178	-0.183935	2.304004	4.997413	3.825535	4.720825	3.787375	12.531250	16.435300	1	1	1	1
