Cluster-1	total=16	enrichmentScore=2.589834595695953	phaseStdDev=5.105926270397963	"Alternative splicing,splice variant,nucleusAnnotation Cluster 1"	Enrichment Score: 2.589834595695953								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Alternative splicing	14	16.27906977	1.10E-04	3.308723786	5.190235725	"FBtr0071035, FBtr0304603, FBtr0331716, FBtr0301959, FBtr0089125, FBtr0082457, FBtr0300178, FBtr0083642, FBtr0085551, FBtr0333220, FBtr0333835, FBtr0333229, FBtr0078413, FBtr0087293"	86	631	13921	3.591456898	0.010273938	0.009887086
UP_SEQ_FEATURE	splice variant	14	16.27906977	1.64E-04	3.484619643	5.342188536	"FBtr0071035, FBtr0304603, FBtr0331716, FBtr0301959, FBtr0089125, FBtr0082457, FBtr0300178, FBtr0083642, FBtr0085551, FBtr0333835, FBtr0333229, FBtr0088473, FBtr0078413, FBtr0087293"	25	610	3113	2.857836066	0.01542224	0.015704719
GOTERM_CC_DIRECT	GO:0005634~nucleus	8	9.302325581	0.946044265	3.90615	5.71463756	"FBtr0071035, FBtr0083642, FBtr0304603, FBtr0089125, FBtr0087293, FBtr0082457, FBtr0300178, FBtr0086734"	62	1832	10026	0.706155797	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0071035	Inx7-RA	0.790828	0.04964	6.7	FlyBase Inx7-RA	Figure for Inx7-RA							
FBtr0300178	gol-RC	0.538906	0.035867	11.3	FlyBase gol-RC	Figure for gol-RC							
FBtr0304603	pros-RH	1.175592	0.03291	10.8	FlyBase pros-RH	Figure for pros-RH							
FBtr0087293	Mlf-RB	1.018395	0.048301	21.8	FlyBase Mlf-RB	Figure for Mlf-RB							
FBtr0082457	Jupiter-RB	0.823005	0.04701	23.7	FlyBase Jupiter-RB	Figure for Jupiter-RB							
FBtr0089125	Hcf-RB	0.378055	0.045639	8.5	FlyBase Hcf-RB	Figure for Hcf-RB							
FBtr0078413	AcCoAS-RA	0.814103	0.034078	6	FlyBase AcCoAS-RA	Figure for AcCoAS-RA							
FBtr0333220	Mkp3-RD	0.958904	0.037648	6.7	FlyBase Mkp3-RD	Figure for Mkp3-RD							
FBtr0085551	Tace-RA	1.239449	0.020585	23.9	FlyBase Tace-RA	Figure for Tace-RA							
FBtr0083642	fru-RC	2.09277	0.011853	19.7	FlyBase fru-RC	Figure for fru-RC							
FBtr0333835	Rdl-RF	1.63565	0.010993	5.4	FlyBase Rdl-RF	Figure for Rdl-RF							
FBtr0088473	trpl-RB	1.302533	0.029042	9.2	FlyBase trpl-RB	Figure for trpl-RB							
FBtr0301959	Tm1-RM	1.895036	0.019809	20.4	FlyBase Tm1-RM	Figure for Tm1-RM							
FBtr0086734	Dlip3-RA	0.294861	0.049231	0.8	FlyBase Dlip3-RA	Figure for Dlip3-RA							
FBtr0331716	rdgB-RI	1.704986	0.023613	21.3	FlyBase rdgB-RI	Figure for rdgB-RI							
FBtr0333229	Gpdh1-RF	1.206257	0.018307	4.2	FlyBase Gpdh1-RF	Figure for Gpdh1-RF							
													
Cluster-2	total=33	enrichmentScore=2.1781540975033873	phaseStdDev=5.208587101787352	"Membrane,integral component of membrane,Transmembrane helix,TransmembraneAnnotation Cluster 2"	Enrichment Score: 2.1781540975033873								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Membrane	32	37.20930233	0.004658151	1.48335425	5.238633691	"FBtr0071035, FBtr0345342, FBtr0071170, FBtr0084702, FBtr0085712, FBtr0300178, FBtr0082376, FBtr0329872, FBtr0334890, FBtr0088473, FBtr0085460, FBtr0331505, FBtr0273393, FBtr0332356, FBtr0331664, FBtr0333029, FBtr0301812, FBtr0079609, FBtr0110834, FBtr0345597, FBtr0089451, FBtr0072130, FBtr0087869, FBtr0079251, FBtr0080362, FBtr0079150, FBtr0079013, FBtr0085551, FBtr0342919, FBtr0333835, FBtr0112806, FBtr0071777"	86	3266	13921	1.586009485	0.355247783	0.12044754
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	28	32.55813953	0.004851248	1.58289225	5.349695839	"FBtr0071035, FBtr0331716, FBtr0345342, FBtr0071170, FBtr0084702, FBtr0300178, FBtr0082376, FBtr0329872, FBtr0088473, FBtr0085460, FBtr0331505, FBtr0331664, FBtr0333029, FBtr0079609, FBtr0110834, FBtr0345597, FBtr0089451, FBtr0072130, FBtr0087869, FBtr0079251, FBtr0080362, FBtr0079150, FBtr0079013, FBtr0085551, FBtr0342919, FBtr0333835, FBtr0112806, FBtr0071777"	62	2814	10026	1.609051517	0.33857558	0.412356091
UP_KEYWORDS	Transmembrane helix	29	33.72093023	0.0091551	1.747571724	5.417855842	"FBtr0071035, FBtr0345342, FBtr0071170, FBtr0084702, FBtr0300178, FBtr0082376, FBtr0329872, FBtr0088473, FBtr0085460, FBtr0331505, FBtr0332356, FBtr0331664, FBtr0333029, FBtr0301812, FBtr0079609, FBtr0110834, FBtr0345597, FBtr0089451, FBtr0072130, FBtr0087869, FBtr0079251, FBtr0080362, FBtr0079150, FBtr0079013, FBtr0085551, FBtr0342919, FBtr0333835, FBtr0112806, FBtr0071777"	86	2985	13921	1.572626699	0.578755967	0.12044754
UP_KEYWORDS	Transmembrane	29	33.72093023	0.009368142	1.747571724	5.417855842	"FBtr0071035, FBtr0345342, FBtr0071170, FBtr0084702, FBtr0300178, FBtr0082376, FBtr0329872, FBtr0088473, FBtr0085460, FBtr0331505, FBtr0332356, FBtr0331664, FBtr0333029, FBtr0301812, FBtr0079609, FBtr0110834, FBtr0345597, FBtr0089451, FBtr0072130, FBtr0087869, FBtr0079251, FBtr0080362, FBtr0079150, FBtr0079013, FBtr0085551, FBtr0342919, FBtr0333835, FBtr0112806, FBtr0071777"	86	2990	13921	1.569996889	0.587185156	0.12044754
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0345597	Rh50-RC	0.854494	0.048843	20.3	FlyBase Rh50-RC	Figure for Rh50-RC							
FBtr0082376	Ugt86De-RA	2.710392	0	22.9	FlyBase Ugt86De-RA	Figure for Ugt86De-RA							
FBtr0087869	nemy-RC	0.338843	0.048843	18.9	FlyBase nemy-RC	Figure for nemy-RC							
FBtr0345342	CG10866-RB	0.566977	0.048672	4.5	FlyBase CG10866-RB	Figure for CG10866-RB							
FBtr0112806	fw-RB	1.799123	0.018307	23	FlyBase fw-RB	Figure for fw-RB							
FBtr0079150	CG13999-RA	2.508022	0.004004	6.5	FlyBase CG13999-RA	Figure for CG13999-RA							
FBtr0085460	Kul-RA	0.754286	0.045864	21.5	FlyBase Kul-RA	Figure for Kul-RA							
FBtr0331716	rdgB-RI	1.704986	0.023613	21.3	FlyBase rdgB-RI	Figure for rdgB-RI							
FBtr0071170	CG1632-RA	1.765873	0.022706	19.2	FlyBase CG1632-RA	Figure for CG1632-RA							
FBtr0273393	ND-B17.2-RB	3.847776	0	23	FlyBase ND-B17.2-RB	Figure for ND-B17.2-RB							
FBtr0072130	TM4SF-RA	1.565465	0.020585	0.8	FlyBase TM4SF-RA	Figure for TM4SF-RA							
FBtr0110834	CG31030-RB	1.202178	0.032454	13.6	FlyBase CG31030-RB	Figure for CG31030-RB							
FBtr0071777	Oatp58Dc-RA	0.73369	0.039427	5.1	FlyBase Oatp58Dc-RA	Figure for Oatp58Dc-RA							
FBtr0085712	Cyp4c3-RA	1.317892	0.035093	21.2	FlyBase Cyp4c3-RA	Figure for Cyp4c3-RA							
FBtr0333029	CG17364-RF	0.643489	0.049997	21.9	FlyBase CG17364-RF	Figure for CG17364-RF							
