Cluster-1	total=20	enrichmentScore=5.603068435361114	phaseStdDev=3.8846037069441963	"glutathione metabolic process,glutathione peroxidase activity,Glutathione metabolism,Glutathione S-transferase, N-terminal,Thioredoxin-like fold,glutathione transferase activity,Glutathione S-transferase, C-terminal-like,Glutathione S-transferase, C-terminal,Metabolism of xenobiotics by cytochrome P450,Drug metabolism - cytochrome P450,GST N-terminal,Posttranslational modification, protein turnover, chaperones,GST C-terminal,TransferaseAnnotation Cluster 1"	Enrichment Score: 5.603068435361114								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0006749~glutathione metabolic process	9	9.090909091	1.85E-09	3.442271889	3.299095841	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0071832, FBtr0076622"	84	47	10996	25.0668693	4.83E-07	4.83E-07
GOTERM_MF_DIRECT	GO:0004602~glutathione peroxidase activity	8	8.080808081	2.69E-09	4.192174375	2.040581967	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0073067, FBtr0082607, FBtr0082570, FBtr0086671"	75	30	9284	33.00977778	3.50E-07	3.50E-07
KEGG_PATHWAY	dme00480:Glutathione metabolism	10	10.1010101	6.09E-09	3.0788372	3.300353477	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0073067, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0071832, FBtr0345229"	30	62	2737	14.71505376	1.70E-07	1.70E-07
INTERPRO	"IPR004045:Glutathione S-transferase, N-terminal"	8	8.080808081	1.77E-08	4.495330125	1.504710171	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0076622"	87	39	10984	25.89802535	3.71E-06	2.21E-06
INTERPRO	IPR012336:Thioredoxin-like fold	11	11.11111111	2.11E-08	3.651510545	2.201371049	"FBtr0082572, FBtr0079095, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0073067, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0079840, FBtr0076622"	87	116	10984	11.97225525	4.42E-06	2.21E-06
GOTERM_MF_DIRECT	GO:0004364~glutathione transferase activity	8	8.080808081	3.30E-08	4.495330125	1.504710171	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0076622"	75	42	9284	23.5784127	4.30E-06	2.15E-06
INTERPRO	"IPR010987:Glutathione S-transferase, C-terminal-like"	8	8.080808081	1.07E-07	4.495330125	1.504710171	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0076622"	87	50	10984	20.20045977	2.25E-05	7.50E-06
INTERPRO	"IPR004046:Glutathione S-transferase, C-terminal"	7	7.070707071	3.12E-07	4.791382143	1.373473228	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671"	87	36	10984	24.54916986	6.54E-05	1.64E-05
KEGG_PATHWAY	dme00980:Metabolism of xenobiotics by cytochrome P450	7	7.070707071	3.04E-05	4.791382143	1.373473228	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671"	30	61	2737	10.46939891	8.52E-04	2.84E-04
KEGG_PATHWAY	dme00982:Drug metabolism - cytochrome P450	7	7.070707071	3.04E-05	4.791382143	1.373473228	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671"	30	61	2737	10.46939891	8.52E-04	2.84E-04
