Cluster-1	total=49	enrichmentScore=4.796693236858635	phaseStdDev=5.441887530751054	"Transmembrane helix,Transmembrane,integral component of membrane,MembraneAnnotation Cluster 1"	Enrichment Score: 4.796693236858635								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Transmembrane helix	47	39.83050847	8.11E-06	-1.56684217	5.522569685	"FBtr0110801, FBtr0083739, FBtr0343365, FBtr0100660, FBtr0113477, FBtr0081118, FBtr0300894, FBtr0301662, FBtr0100427, FBtr0309501, FBtr0113030, FBtr0085778, FBtr0086633, FBtr0308892, FBtr0305087, FBtr0086137, FBtr0079283, FBtr0090003, FBtr0332219, FBtr0075025, FBtr0074972, FBtr0079800, FBtr0301316, FBtr0072212, FBtr0073421, FBtr0300621, FBtr0074014, FBtr0301639, FBtr0339154, FBtr0074617, FBtr0089972, FBtr0089137, FBtr0303898, FBtr0301312, FBtr0337051, FBtr0307555, FBtr0085821, FBtr0308249, FBtr0308125, FBtr0078440, FBtr0301096, FBtr0339696, FBtr0086340, FBtr0334409, FBtr0308083, FBtr0074345, FBtr0330102"	118	2985	13921	1.857556142	8.27E-04	4.12E-04
UP_KEYWORDS	Transmembrane	47	39.83050847	8.50E-06	-1.56684217	5.522569685	"FBtr0110801, FBtr0083739, FBtr0343365, FBtr0100660, FBtr0113477, FBtr0081118, FBtr0300894, FBtr0301662, FBtr0100427, FBtr0309501, FBtr0113030, FBtr0085778, FBtr0086633, FBtr0308892, FBtr0305087, FBtr0086137, FBtr0079283, FBtr0090003, FBtr0332219, FBtr0075025, FBtr0074972, FBtr0079800, FBtr0301316, FBtr0072212, FBtr0073421, FBtr0300621, FBtr0074014, FBtr0301639, FBtr0339154, FBtr0074617, FBtr0089972, FBtr0089137, FBtr0303898, FBtr0301312, FBtr0337051, FBtr0307555, FBtr0085821, FBtr0308249, FBtr0308125, FBtr0078440, FBtr0301096, FBtr0339696, FBtr0086340, FBtr0334409, FBtr0308083, FBtr0074345, FBtr0330102"	118	2990	13921	1.854449861	8.66E-04	4.12E-04
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	46	38.98305085	2.37E-05	-1.512019391	5.591019159	"FBtr0110801, FBtr0083739, FBtr0343365, FBtr0100660, FBtr0113477, FBtr0081118, FBtr0300894, FBtr0301662, FBtr0100427, FBtr0309501, FBtr0113030, FBtr0085778, FBtr0086633, FBtr0308892, FBtr0305087, FBtr0086137, FBtr0079283, FBtr0332219, FBtr0075025, FBtr0074972, FBtr0079800, FBtr0301316, FBtr0072212, FBtr0073421, FBtr0300621, FBtr0074014, FBtr0301639, FBtr0339154, FBtr0074617, FBtr0089972, FBtr0089137, FBtr0303898, FBtr0301312, FBtr0337051, FBtr0307555, FBtr0308249, FBtr0308125, FBtr0078440, FBtr0301096, FBtr0339696, FBtr0086340, FBtr0334409, FBtr0308083, FBtr0074345, FBtr0330102, FBtr0073678"	94	2814	10026	1.743546704	0.002244494	0.00224699
UP_KEYWORDS	Membrane	48	40.6779661	3.99E-05	-1.549134167	5.466088429	"FBtr0110801, FBtr0083739, FBtr0343365, FBtr0100660, FBtr0113477, FBtr0081118, FBtr0113033, FBtr0300894, FBtr0301662, FBtr0100427, FBtr0309501, FBtr0113030, FBtr0085778, FBtr0086633, FBtr0308892, FBtr0305087, FBtr0086137, FBtr0079283, FBtr0090003, FBtr0332219, FBtr0075025, FBtr0074972, FBtr0079800, FBtr0301316, FBtr0072212, FBtr0073421, FBtr0300621, FBtr0074014, FBtr0301639, FBtr0339154, FBtr0074617, FBtr0089972, FBtr0089137, FBtr0303898, FBtr0301312, FBtr0337051, FBtr0307555, FBtr0085821, FBtr0308249, FBtr0308125, FBtr0078440, FBtr0301096, FBtr0339696, FBtr0086340, FBtr0334409, FBtr0308083, FBtr0074345, FBtr0330102"	118	3266	13921	1.733857826	0.004061749	0.001290144
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0113477	CG6006-RC	0.9375	0.045335	4.3	FlyBase CG6006-RC	Figure for CG6006-RC							
FBtr0300621	Teh2-RB	2.910291	0.005754	2.9	FlyBase Teh2-RB	Figure for Teh2-RB							
FBtr0083739	Dl-RA	0.81162	0.044142	17.5	FlyBase Dl-RA	Figure for Dl-RA							
FBtr0337051	CG6293-RB	1.237465	0.024935	17.9	FlyBase CG6293-RB	Figure for CG6293-RB							
