FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBgn0031081	31.7477	36.3896	32.4986	31.6118	35.655	36.0759
FBgn0052826	0	0	0	0	0	0
FBgn0031085	0	0	0	0	0	0
FBgn0062565	0	0	0	0	0	0
FBgn0031088	0.0766664	0.105347	0.0611552	0.0178676	0	0.0615954
FBgn0041626	0	0.0497407	0	0	0	0
FBgn0040784	0	0	0	0	0	0
FBgn0031086	0	0	0	0	0	0
FBgn0031082	0.16904	0	0	0	0	0
FBgn0031080	6.88734	2.80409	3.05216	5.35095	4.35584	3.55237
FBgn0052821	0	0	0	0	0	0
FBgn0053217	16.8014	17.779	17.6637	24.4226	17.4139	25.9884
FBgn0052350	23.0084	18.3767	21.4621	26.3202	20.2146	26.5972
FBgn0024733	2388.78	1873.97	1695.91	1822.42	1949.55	2871.28
FBgn0040372	10.1845	9.20983	8.27199	8.31363	7.93551	8.48986
FBgn0000316	25.9271	24.5623	22.4353	21.0711	22.7794	20.9207
FBgn0024989	1.85806	3.02502	1.01924	0.49508	1.13346	2.82642
FBgn0040371	1.04098	0.78527	0.439613	1.14175	0.621755	0.459184
FBgn0029521	1.11262	1.74713	1.22556	1.18546	0.586869	0.908077
FBgn0004034	1.39478	0.886548	0.635764	0.530773	0.262766	0.8233
FBgn0000022	0	0	0	0	0	0
FBgn0004170	0	0	0	0	0	0.0453127
FBgn0002561	0	0	0	0	0.0539406	0
FBgn0000137	0	0	0	0	0	0
FBgn0029522	1.91934	1.43363	1.36535	0.994017	2.74918	1.10017
FBgn0052817	0.473969	0.144774	0.378065	0	0.583387	0.169263
FBgn0029524	0.624805	1.91162	1.46876	0.789841	2.49268	1.84096
FBgn0023536	5.53612	7.48424	5.50547	4.25189	6.6182	5.38188
FBgn0023534	12.1304	10.4864	14.4033	13.7531	9.20077	13.1176
FBgn0023535	2.86038	1.56296	1.72125	1.02927	1.9454	2.41905
FBgn0023537	69.1131	64.4675	62.5737	62.9734	57.6944	66.8455
FBgn0029525	5.9725	5.9107	5.00587	5.16797	5.31463	6.60088
FBgn0029523	5.55626	3.65834	4.37275	3.46885	3.70906	4.25149
FBgn0010019	0.251663	0.0691578	0.301094	0.516134	0.464549	1.29388
FBgn0011822	0	0	0	0	0	0
FBgn0052816	3.13266	2.41386	1.96644	2.14903	2.40236	2.37439
FBgn0040370	20.3196	19.8153	20.5657	20.9101	20.2502	24.799
FBgn0040373	4.10108	4.69603	4.17938	3.96802	3.88433	4.17921
FBgn0000108	197.245	178.119	168.521	154.951	145.173	135.525
FBgn0025640	9.23389	10.0325	8.17933	6.00617	8.67175	5.8085
FBgn0025635	3.95568	3.67162	3.84494	3.81205	4.10899	3.3114
FBgn0001341	3.53195	2.89129	2.32582	2.18591	3.5514	2.97855
FBgn0003575	6.37938	4.79609	4.69576	4.13426	4.83997	5.96613
FBgn0025634	5.85295	4.15438	4.57602	5.31221	5.5813	5.19032
FBgn0025638	58.0096	50.324	43.3607	43.9904	50.0048	47.2901
FBgn0040383	14.3267	9.53379	8.52934	9.73186	10.3629	9.30871
FBgn0040382	229.869	287.514	246.569	226.153	306.889	387.124
FBgn0027343	1.01698	1.02634	1.01111	1.19811	1.20532	1.22487
FBgn0025621	16.2207	18.7116	16.7523	13.153	17.0872	16.4203
FBgn0029535	0	0	0	0	0	0
FBgn0026874	0.0853003	0.03907	0.0340211	0.159053	0	0.137066
FBgn0025616	0	0	0.0521044	0	0	0.0349867
FBgn0015799	11.5498	11.8976	10.9093	11.4098	10.6749	10.4389
FBgn0025620	15.5151	13.017	13.4769	12.4481	11.4979	9.22911
FBgn0015288	1288.64	726.324	1312.11	1866.11	1164.64	1356.35
FBgn0029532	0.038335	0.0351469	0	0	0	0.0821401
FBgn0029531	0	0	0	0	0.0650208	0
FBgn0025639	11.0483	9.52966	8.87554	8.54808	8.44504	9.16543
FBgn0002579	2350.03	1723.85	1770.11	2009.25	1824.36	1904.31
FBgn0026879	206.495	206.147	185.558	129.392	217.309	190.206
FBgn0029529	11.7576	4.3404	6.43916	8.34398	8.26087	8.08347
FBgn0025633	14.401	9.99147	10.1156	9.44035	10.1538	12.0613
FBgn0040892	0	0	0	0	0	0
FBgn0040341	0	0	0	0	0	0
FBgn0029539	0	0	0	0	0	0
FBgn0040339	20.3434	16.2465	17.1637	17.5074	21.1848	18.3002
FBgn0052815	8.23638	7.67015	7.78429	5.93185	7.31401	6.08415
FBgn0040340	23.2647	22.8421	22.7456	25.5727	22.1714	20.9551
FBgn0040347	1.04363	0.906996	1.25939	1.24742	1.53139	1.77729
FBgn0042146	0	0.205591	0.179023	0	0	0
FBgn0029552	0	0	0	0	0	0
FBgn0040337	6.90864	4.3905	5.13197	6.96424	4.66322	6.56814
FBgn0040398	187.747	241.3	195.063	205.601	210.053	232.097
FBgn0040365	0	0	0.579371	0.169289	0	0
FBgn0040397	15.2524	21.0722	19.575	12.9225	20.0167	15.3665
FBgn0026143	6.93547	6.75776	4.43409	4.43172	7.14493	5.45386
FBgn0040351	24.8482	28.6605	30.0825	25.4358	31.5848	28.3846
FBgn0040338	0	0.183548	0	0.186805	0.554832	0
FBgn0040350	0	0	0	0	0.0257807	0.0299207
FBgn0040349	7.70429	12.3883	13.141	21.7776	12.1799	11.6773
FBgn0040348	7.17682	8.8702	7.03332	4.8855	7.75998	8.4447
FBgn0040346	12.535	13.7794	11.9352	8.97822	14.582	12.8312
FBgn0040342	0	0	0	0	0.0718213	0
FBgn0040345	0	0	0	0	0	0
FBgn0040343	2.66108	3.96126	3.07792	0.868541	0.982732	1.14026
FBgn0052814	0.627003	0.527997	0.691942	0.50897	0.935262	0.468771
FBgn0040364	5.31462	2.82045	3.80638	3.09512	3.38824	3.36409
FBgn0040362	0	0	0	0	0.0813897	0.0472295
FBgn0040361	0	0	0.0339351	0.0396626	0	0
FBgn0040360	0.215714	0.316171	0.378556	0	0.199109	0.0924327
FBgn0040359	0.0208849	0	0	0.0194713	0.0192766	0.0671295
FBgn0040358	0.175907	0.0402851	0.0526189	0.0409998	0.162366	0.117774
FBgn0029568	0	0.0341652	0	0	0	0
FBgn0040357	0	0	0	0	0	0
FBgn0040367	0	0	0	0	0	0
FBgn0025642	0.670569	0.307158	0.481896	0.750004	0.370924	0.286145
FBgn0004650	0.131129	0.210213	0.0719116	0.0840487	0.143729	0.175588
FBgn0024362	15.793	14.1956	10.9424	12.1305	11.8297	12.5809
FBgn0024361	0	0.0675615	0.364511	0.41256	0.340401	0.158013
FBgn0024364	4.95338	6.27628	5.52061	4.10017	7.13587	6.37247
FBgn0029573	0.213873	0	0	0.398791	0.19741	0
FBgn0024987	44.6953	62.0143	51.3242	38.7616	54.0596	46.8855
FBgn0023169	59.2884	76.8711	67.6965	60.4259	63.9532	65.8195
FBgn0052813	8.24166	8.47091	8.21933	6.40188	8.92332	7.99572
FBgn0024985	65.9711	81.2187	70.6302	64.2008	67.7896	71.4486
FBgn0027794	3.22177	3.31271	2.13724	2.26809	3.48962	3.64498
FBgn0027795	0.657068	1.14047	0.965501	0.580349	0.798012	0.815015
FBgn0024986	48.3068	49.5742	49.5239	45.8881	51.4068	50.5034
FBgn0000826	0.286362	0.20986	0.045685	0	0.105728	0.122705
FBgn0024365	8.5255	7.79694	7.30981	8.02776	6.23254	6.42795
FBgn0024360	3.34211	3.01941	2.62906	2.48971	3.61782	2.00223
FBgn0024366	0.184286	0.0798991	0.0294001	0.0929349	0.092008	0.0667359
FBgn0025641	31.2473	40.8483	42.2677	30.6437	31.1068	33.7354
FBgn0052811	0.257893	0.472523	0	0.480246	0	0
FBgn0028550	23.8346	25.4786	26.9964	28.8349	27.7237	27.9668
FBgn0026876	1.22505	1.67441	1.14782	0.960833	1.52561	1.35398
FBgn0040366	7.67859	8.07582	7.03548	6.13935	8.17609	6.17787
FBgn0040363	0	0.0244633	0.021302	0.0497947	0.073948	0
FBgn0040368	0	0	0	0.0339244	0	0.0389797
FBgn0026872	17.6744	16.1943	16.4734	15.3952	16.5878	12.9483
FBgn0029580	1.61044	2.97362	2.27009	1.05983	1.5739	2.13107
FBgn0025383	0	0	0	0.0553352	0	0.127162
FBgn0025381	36.3964	36.5809	37.0168	36.1832	35.7321	33.5032
FBgn0025394	24.2708	25.0997	23.1977	19.3746	24.1815	24.4986
FBgn0000482	4.13362	4.25588	4.05818	2.94797	4.22302	3.38727
FBgn0001189	20.8777	24.0956	19.1141	17.4067	22.9324	21.7212
