FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBgn0031081	36.2799	33.7586	32.3826	39.3798	37.5664	38.2876
FBgn0052826	0	0	0	0	0	0
FBgn0031085	0	0	0	0	0	0
FBgn0062565	0	0	0	0	0	0
FBgn0031088	0.122897	0.162476	0.135326	0.132034	0.0769887	0.202483
FBgn0041626	0	0	0	0	0	0
FBgn0040784	0	0.167285	0	0	0.198173	0
FBgn0031086	0	0.0568278	0	0	0	0
FBgn0031082	0	0	0	0	0	0
FBgn0031080	3.27122	1.40552	2.18283	2.48462	1.66504	2.66123
FBgn0052821	0	0	0	0	0	0
FBgn0053217	25.0118	21.7245	21.6678	31.9856	21.4854	28.3939
FBgn0052350	29.1759	26.4635	25.5067	39.7692	26.3832	27.9385
FBgn0024733	1909.37	1990.99	1674.52	1523.69	1681.73	3548.96
FBgn0040372	9.52052	9.22651	8.74968	8.94162	8.89251	8.70027
FBgn0000316	25.6429	23.5542	24.0727	21.0129	21.9776	21.8693
FBgn0024989	2.70443	3.50258	1.98799	1.68126	1.33316	2.39059
FBgn0040371	0.95346	0.934293	0.931508	1.07948	0.676482	1.10341
FBgn0029521	1.45584	1.75148	2.56899	2.80153	1.70254	0.954718
FBgn0004034	0.88648	0.675616	0.83899	0.713062	0.628902	0.566941
FBgn0000022	0	0	0	0	0	0
FBgn0004170	0	0	0	0	0	0.0401288
FBgn0002561	0	0	0	0	0	0
FBgn0000137	0	0	0	0	0	0.111263
FBgn0029522	1.01912	1.16079	0.732356	0.668903	0.515664	1.70559
FBgn0052817	1.01301	0.267916	0.450649	0.293093	0.778419	0.599289
FBgn0029524	1.23685	1.44514	1.28384	1.82194	2.82242	2.70545
FBgn0023536	5.85294	5.27175	5.44925	3.93651	5.41247	5.36624
FBgn0023534	19.4065	17.3809	15.8132	21.9797	13.6129	18.9071
FBgn0023535	2.11445	2.12692	1.57452	1.25688	2.01572	4.04546
FBgn0023537	55.0747	53.2017	52.4118	43.9043	45.3462	74.6764
FBgn0029525	4.71898	4.99859	3.92584	4.861	4.79303	4.85012
FBgn0029523	6.56637	3.67967	3.49048	4.27986	4.932	4.02284
FBgn0010019	0.0460983	0.831891	0.02394	0.0468066	0.480156	0.501188
FBgn0011822	0	0	0	0	0	0
FBgn0052816	3.57143	3.81322	2.43823	3.89961	3.1749	3.40059
FBgn0040370	33.1599	35.5245	33.2371	43.012	33.5158	37.5041
FBgn0040373	5.3218	4.4887	3.57436	4.23952	3.57579	4.2386
FBgn0000108	207.447	189.393	184.663	189.19	166.166	155.524
FBgn0025640	5.06508	6.87176	6.99304	4.33269	6.68499	6.10998
