ID	Symbol	RP24	qVal	pVal	F24	Avg_Random_F24_Score	qVal	pVal
FBtr0345416	CG10915-RB	-3.09463	0.7382817657568238	0.59098	0.18289	0.31773095	0.7382384552038893	0.59092
FBtr0273351	CG6845-RC	-3.58029	NOTEST	NOTEST	0.00931	0.0	NOTEST	NOTEST
FBtr0078609	CG31560-RA	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0344541	SclB-RC	-1.13165	0.3945708065051443	0.18895	0.37215	0.21494739499999999	0.3945708065051443	0.18894
FBtr0083478	Mps1-RA	0.33587	NOTEST	NOTEST	0.03679	0.0	NOTEST	NOTEST
FBtr0112672	Not1-RC	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0302408	CG15140-RB	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0080564	CG33306-RA	-2.84209	NOTEST	NOTEST	0.0003	0.0	NOTEST	NOTEST
FBtr0080734	esg-RA	-0.8648	NOTEST	NOTEST	0.00732	0.0	NOTEST	NOTEST
FBtr0110929	vnd-RB	0.60867	NOTEST	NOTEST	0.02303	0.0	NOTEST	NOTEST
FBtr0306591	l(2)gl-RI	-4.00868	NOTEST	NOTEST	0.02039	0.0	NOTEST	NOTEST
FBtr0310556	ACXE-RB	-0.58781	NOTEST	NOTEST	0.00011	0.0	NOTEST	NOTEST
FBtr0333451	CG15822-RF	-1.83464	NOTEST	NOTEST	0.01346	0.0	NOTEST	NOTEST
FBtr0072576	CG32344-RA	1.96375	0.016684640883977902	0.00024	0.48928	0.114223545	0.016684640883977902	0.00024
FBtr0110838	CG34124-RA	-4.11265	NOTEST	NOTEST	1e-05	0.0	NOTEST	NOTEST
FBtr0088630	Pmm45A-RA	-0.87052	NOTEST	NOTEST	0.48083	0.0	NOTEST	NOTEST
FBtr0330042	gl-RC	0.31588	0.14258528690319755	0.02587	3.05815	0.96926605	0.14258528690319755	0.02587
FBtr0330163	Tsp96F-RB	1.39191	0.05244312916111851	0.00312	39.02961	9.820745935	0.05244312916111851	0.00312
FBtr0074479	CG12990-RA	-2.50968	NOTEST	NOTEST	4e-05	0.0	NOTEST	NOTEST
FBtr0331396	CG12768-RB	-1.36454	0.4329695025490499	0.22273	0.65999	0.419345	0.4329695025490499	0.22273
FBtr0334860	CG44085-RL	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0070617	Vap33-RA	-0.83661	0.31695786040055524	0.12699	445.69404	229.126638045	0.31695786040055524	0.12699
FBtr0082831	Dip-B-RA	-2.38866	0.6533570597226772	0.47532	0.20864	0.24022787499999998	0.6533570597226772	0.47531
FBtr0087350	Cdk5-RA	-0.55239	NOTEST	NOTEST	0.3487	0.0	NOTEST	NOTEST
FBtr0083251	CG5916-RA	-1.75653	NOTEST	NOTEST	0.00726	0.0	NOTEST	NOTEST
FBtr0332145	CG8539-RB	-0.31902	0.22435236023134125	0.06474	0.90891	0.37264498	0.22435236023134125	0.06474
FBtr0310161	Ptp61F-RE	-0.05864	NOTEST	NOTEST	0.0004	0.0	NOTEST	NOTEST
FBtr0089734	r-RA	-4.68091	0.9297263070087188	0.88133	0.05884	0.285464965	0.929715757880617	0.88132
FBtr0308294	CG4702-RD	-0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0075801	CG8745-RA	-1.04869	0.37621549871244636	0.17416	17.84649	9.85616472	0.37621549871244636	0.17416
FBtr0080466	Tap42-RA	-1.19903	0.40533157766199934	0.19785	0.28406	0.16789751	0.4052701172256594	0.19782
FBtr0332977	ewg-RM	-1.07226	NOTEST	NOTEST	0.00938	0.0	NOTEST	NOTEST
FBtr0071111	CG2258-RC	-7.13605	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0074100	sd-RA	-2.78681	NOTEST	NOTEST	0.00018	0.0	NOTEST	NOTEST
FBtr0333385	rgn-RC	-1.34165	NOTEST	NOTEST	0.10026	0.0	NOTEST	NOTEST
FBtr0339902	ND-20L-RB	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0083085	Sra-1-RA	-2.1875	NOTEST	NOTEST	0.17555	0.0	NOTEST	NOTEST
FBtr0073928	CG13403-RA	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0074151	ND-20-RA	0.40103	0.13173667140825035	0.02207	77.4354	24.8853839	0.13173667140825035	0.02207
FBtr0331324	CG18094-RB	-6.93994	NOTEST	NOTEST	0.0012	0.0	NOTEST	NOTEST
FBtr0070986	CG3168-RB	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0340370	Gss2-RI	-7.87437	NOTEST	NOTEST	0.06925	0.0	NOTEST	NOTEST
FBtr0308570	et-RB	0.6976	0.08552038950715422	0.00855	0.2146	0.062974525	0.08552038950715422	0.00853
FBtr0332527	muc-RD	-1.17319	NOTEST	NOTEST	0.32537	0.0	NOTEST	NOTEST
FBtr0331195	dUTPase-RC	-2.12909	NOTEST	NOTEST	0.00027	0.0	NOTEST	NOTEST
FBtr0074388	baz-RA	-4.86744	0.9117056633781255	0.85193	0.06285	0.348064425	0.9116949617281851	0.85192
FBtr0300018	CG12680-RB	-4.05532	NOTEST	NOTEST	0.00063	0.0	NOTEST	NOTEST
FBtr0301742	CG42587-RA	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0082291	SelR-RB	-2.68308	0.6836224352222456	0.5158	2.58121	3.49234382	0.6836224352222456	0.5158
FBtr0345067	scaf6-RE	-3.08896	0.7405531544554455	0.59442	0.54217	0.9413984499999999	0.7405531544554455	0.59442
FBtr0080518	Hsp60D-RB	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0076942	CG8519-RA	-0.04828	0.17848381133379407	0.04105	0.11838	0.044922835	0.17848381133379407	0.04105
