ID	Symbol	RP24	qVal	pVal	F24	Avg_Random_F24_Score	qVal	pVal
FBtr0345416	CG10915-RB	-1.68681	NOTEST	NOTEST	0.21193	0.0	NOTEST	NOTEST
FBtr0273351	CG6845-RC	-2.05288	NOTEST	NOTEST	0.0145	0.0	NOTEST	NOTEST
FBtr0078609	CG31560-RA	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0344541	SclB-RC	-3.47349	0.8068972931405721	0.6663	0.03858	0.08774303	0.8068972931405721	0.6663
FBtr0083478	Mps1-RA	-3.3044	NOTEST	NOTEST	0.00777	0.0	NOTEST	NOTEST
FBtr0112672	Not1-RC	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0302408	CG15140-RB	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0080564	CG33306-RA	-2.03884	NOTEST	NOTEST	8e-05	0.0	NOTEST	NOTEST
FBtr0080734	esg-RA	-3.8694	NOTEST	NOTEST	0.00084	0.0	NOTEST	NOTEST
FBtr0110929	vnd-RB	-0.10849	NOTEST	NOTEST	0.06812	0.0	NOTEST	NOTEST
FBtr0306591	l(2)gl-RI	-0.01086	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0310556	ACXE-RB	-1.68182	NOTEST	NOTEST	5e-05	0.0	NOTEST	NOTEST
FBtr0333451	CG15822-RF	-0.53525	NOTEST	NOTEST	0.04512	0.0	NOTEST	NOTEST
FBtr0072576	CG32344-RA	1.5263	0.09132986449864498	0.00854	0.45455	0.115930235	0.09132986449864498	0.00854
FBtr0110838	CG34124-RA	-3.44381	NOTEST	NOTEST	1e-05	0.0	NOTEST	NOTEST
FBtr0088630	Pmm45A-RA	-3.96161	NOTEST	NOTEST	0.02952	0.0	NOTEST	NOTEST
FBtr0330042	gl-RC	-2.59199	0.6866644880485194	0.48886	0.92506	1.21192099	0.6866363967178024	0.48886
FBtr0330163	Tsp96F-RB	0.04311	0.215519	0.05085	23.19975	8.309746945	0.215519	0.05085
FBtr0074479	CG12990-RA	-3.5044	NOTEST	NOTEST	9e-05	0.0	NOTEST	NOTEST
FBtr0331396	CG12768-RB	-1.83111	0.5582022869757174	0.32097	0.10599	0.08744019499999998	0.5582022869757174	0.32097
FBtr0334860	CG44085-RL	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0070617	Vap33-RA	-0.68046	0.33438560761346997	0.11602	771.45939	369.933164695	0.3344144289897511	0.11603
FBtr0082831	Dip-B-RA	-1.99863	0.5931275386740331	0.36353	0.12159	0.11153601499999999	0.5931275386740331	0.36354
FBtr0087350	Cdk5-RA	-4.56233	NOTEST	NOTEST	0.03224	0.0	NOTEST	NOTEST
FBtr0083251	CG5916-RA	-2.1524	NOTEST	NOTEST	0.00063	0.0	NOTEST	NOTEST
FBtr0332145	CG8539-RB	-5.7982	0.9560285357048516	0.91923	0.02479	0.254017195	0.9559765369375716	0.91923
FBtr0310161	Ptp61F-RE	-1.54613	NOTEST	NOTEST	1e-05	0.0	NOTEST	NOTEST
FBtr0089734	r-RA	2.22653	0.026699195402298852	0.00059	0.86902	0.18836936	0.026699195402298852	0.00059
FBtr0308294	CG4702-RD	-2.13393	NOTEST	NOTEST	0.0003	0.0	NOTEST	NOTEST
FBtr0075801	CG8745-RA	-0.02531	0.17220697582417582	0.03316	48.03352	17.399886955000003	0.17215505934065933	0.03316
FBtr0080466	Tap42-RA	0.15286	0.1680837005395683	0.03165	0.18294	0.06523152	0.1680837005395683	0.03165
FBtr0332977	ewg-RM	-2.17	NOTEST	NOTEST	0.01076	0.0	NOTEST	NOTEST
FBtr0071111	CG2258-RC	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0074100	sd-RA	-1.13502	NOTEST	NOTEST	6e-05	0.0	NOTEST	NOTEST
FBtr0333385	rgn-RC	-5.36944	NOTEST	NOTEST	0.0064	0.0	NOTEST	NOTEST
FBtr0339902	ND-20L-RB	0.0	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0083085	Sra-1-RA	-1.41818	NOTEST	NOTEST	0.2155	0.0	NOTEST	NOTEST
FBtr0073928	CG13403-RA	-0.0001	NOTEST	NOTEST	0.0	0.0	NOTEST	NOTEST
FBtr0074151	ND-20-RA	-1.66829	0.5336109771986971	0.29127	35.02919	26.493903165	0.5336109771986971	0.29127
FBtr0331324	CG18094-RB	-0.97095	NOTEST	NOTEST	0.05162	0.0	NOTEST	NOTEST
