ID	Symbol	RP24	qVal	pVal	SP	PVEC	Phase	Max/Min	Median	Non-Zero
FBtr0345416	CG10915-RB	-3.094626	NOTEST	NOTEST	0.271518	2.042856	23.366817	1.528793	9.838255	1
FBtr0273351	CG6845-RC	-3.580292	NOTEST	NOTEST	-0.337562	15.912294	17.370523	3.917948	0.71461	1
FBtr0078609	CG31560-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0344541	SclB-RC	-1.131645	NOTEST	NOTEST	0.62309	35.789068	13.856609	15.33641	1.32809	1
FBtr0083478	Mps1-RA	0.335875	NOTEST	NOTEST	2.686991	41.147521	20.137939	2.674003	0.968559	1
FBtr0112672	Not1-RC	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0302408	CG15140-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0080564	CG33306-RA	-2.842093	NOTEST	NOTEST	-0.836777	52.312215	3.374095	15996.6	0.0	0
FBtr0080734	esg-RA	-0.864802	NOTEST	NOTEST	0.230102	110.142929	9.731129	2.898777	0.596809	1
FBtr0110929	vnd-RB	0.608674	NOTEST	NOTEST	3.172289	94.084721	7.654578	11.633147	0.333222	1
FBtr0306591	l(2)gl-RI	-4.008676	NOTEST	NOTEST	-0.920085	29.230134	12.742115	167312.0	0.000766	0
FBtr0310556	ACXE-RB	-0.587806	NOTEST	NOTEST	0.703149	73.422713	3.881049	6135.8	0.0	0
FBtr0333451	CG15822-RF	-1.834642	NOTEST	NOTEST	-0.103334	51.89767	3.725094	5702.0	0.09154	1
FBtr0072576	CG32344-RA	1.963746	0.005754	0.0002	2.650955	26.448862	0.425913	1.553427	6.6164	1
FBtr0110838	CG34124-RA	-4.112652	NOTEST	NOTEST	-0.918137	21.229676	19.480829	1.935951	0.092606	1
FBtr0088630	Pmm45A-RA	-0.870522	0.146814	0.1359	0.620426	72.301059	7.413884	1.486251	11.26085	1
FBtr0330042	gl-RC	0.315879	0.065622	0.0276	1.684048	9.192377	22.504243	1.923549	12.97835	1
FBtr0330163	Tsp96F-RB	1.39191	0.023009	0.003	1.95714	11.535043	5.349366	3.021783	26.79525	1
FBtr0074479	CG12990-RA	-2.509677	NOTEST	NOTEST	-0.452892	26.957025	6.358894	5878.3	0.0	0
FBtr0331396	CG12768-RB	-1.364537	NOTEST	NOTEST	-0.558096	14.901151	17.382149	3.051084	5.368285	1
FBtr0334860	CG44085-RL	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0070617	Vap33-RA	-0.836607	0.140408	0.1253	2.070749	6.268821	16.35368	11664001.0	14.9419	0
FBtr0082831	Dip-B-RA	-2.388665	NOTEST	NOTEST	-0.285584	12.879461	20.790529	6.907549	2.60468	1
FBtr0087350	Cdk5-RA	-0.552392	NOTEST	NOTEST	0.077165	56.518923	16.623006	1.203517	18.70105	1
FBtr0083251	CG5916-RA	-1.756533	NOTEST	NOTEST	-0.38792	68.827626	3.357149	64270.4	0.0	0
FBtr0332145	CG8539-RB	-0.319015	0.100395	0.0656	1.521394	31.814051	13.10908	3.668202	3.80125	1
FBtr0310161	Ptp61F-RE	-0.058638	NOTEST	NOTEST	2.126128	88.712896	11.050651	8719.8	0.0	0
FBtr0089734	r-RA	-4.680909	NOTEST	NOTEST	0.174112	4.148162	16.865853	11.624803	1.75427	1
FBtr0308294	CG4702-RD	-2e-06	NOTEST	NOTEST	-1e-06	22.257128	22.624467	2.4	0.0	0
FBtr0075801	CG8745-RA	-1.048691	NOTEST	NOTEST	2.398311	14.229449	2.267927	1.889433	42.892	1
FBtr0080466	Tap42-RA	-1.199032	NOTEST	NOTEST	-0.133814	3.798264	21.182821	1.534296	7.479005	1
FBtr0332977	ewg-RM	-1.072262	NOTEST	NOTEST	-0.869966	75.669553	7.49129	52105.5	0.0	0
FBtr0071111	CG2258-RC	-7.136046	NOTEST	NOTEST	0.549093	42.666667	16.0	13394.4	0.0	0
FBtr0074100	sd-RA	-2.786812	NOTEST	NOTEST	-0.201148	44.371567	2.266319	12981.5	0.0	0
FBtr0333385	rgn-RC	-1.341653	NOTEST	NOTEST	0.599103	57.351073	4.365729	174427.0	0.386316	0
FBtr0339902	ND-20L-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0083085	Sra-1-RA	-2.187498	NOTEST	NOTEST	1.415067	3.720582	0.71977	1.199183	21.96565	1
FBtr0073928	CG13403-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0074151	ND-20-RA	0.401034	0.061311	0.0244	0.641368	6.602741	5.549117	1.788209	72.67635	1
FBtr0331324	CG18094-RB	-6.939935	NOTEST	NOTEST	1.071304	24.67999	22.850909	139916.0	0.61095	0
FBtr0070986	CG3168-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0340370	Gss2-RI	-7.874375	NOTEST	NOTEST	-0.577314	10.666667	20.0	1188761.0	0.0	0
FBtr0308570	et-RB	0.697598	0.037722	0.0084	1.584677	60.506644	23.259484	1.815665	4.15791	1
FBtr0332527	muc-RD	-1.173187	NOTEST	NOTEST	-0.743005	3.77889	20.357443	289428.0	0.002547	0
FBtr0331195	dUTPase-RC	-2.129089	NOTEST	NOTEST	-0.259503	32.0	12.0	13909.9	0.0	0
FBtr0074388	baz-RA	-4.867441	NOTEST	NOTEST	-0.385409	2.135721	21.769506	1.669313	8.880435	1
FBtr0300018	CG12680-RB	-4.055324	NOTEST	NOTEST	-1.183212	17.146189	15.088386	28781.3	0.0	0
FBtr0301742	CG42587-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0082291	SelR-RB	-2.68308	NOTEST	NOTEST	-1.600706	2.357008	3.328292	5.834027	9.6694	1
FBtr0345067	scaf6-RE	-3.088964	NOTEST	NOTEST	0.506564	62.533866	5.158433	3.637322	7.000065	1
FBtr0080518	Hsp60D-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0076942	CG8519-RA	-0.048277	0.079669	0.0411	3.335017	0.713368	1.952996	2.211386	2.20987	1
FBtr0073131	Eip63E-RD	-3.817987	NOTEST	NOTEST	1.584554	4.156325	21.256654	4.055003	3.59562	1
FBtr0304927	tweek-RF	-1.991627	NOTEST	NOTEST	-0.443257	119.917296	11.592915	2.725249	7.125275	1
FBtr0344762	CG34005-RC	-2.433005	NOTEST	NOTEST	-1.983878	35.452286	2.228773	33240.8	0.0	0
FBtr0087107	CG5089-RA	-1.659314	NOTEST	NOTEST	-0.214356	74.666667	4.0	3405.0	0.0	0
FBtr0309878	CG15719-RC	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0336714	Rim-RR	1.216537	0.036597	0.0079	2.497458	6.469886	3.271323	3.394395	5.862885	1
FBtr0073610	Hsc70-3-RD	-0.515552	0.121753	0.0962	0.26819	31.654261	13.774795	4.797053	1.123995	1
FBtr0301239	CG9628-RC	-2.819558	NOTEST	NOTEST	0.659984	44.277275	2.794454	3.959628	68.26085	1
FBtr0336480	CG1092-RC	-2.007865	NOTEST	NOTEST	-1.551413	30.983044	1.331092	31132.6	0.0	0
FBtr0331970	Not3-RB	-0.712942	0.123039	0.0983	0.344007	12.449983	18.034656	2.004098	27.8458	1
FBtr0085055	TwdlL-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0074033	CG6299-RA	-0.797822	0.147862	0.1381	-0.108855	9.038847	5.702976	4.682917	7.7859	1
FBtr0088867	CG14762-RA	0.486126	0.064537	0.0268	3.506841	55.657278	4.422396	1.447597	134.0425	1
FBtr0083042	CG6974-RA	-4.288209	NOTEST	NOTEST	-0.499583	0.0	-0.0	18844.7	0.0	0
FBtr0083400	cal1-RA	-0.413571	NOTEST	NOTEST	1.2036	1.000562	2.434517	1.323396	6.69873	1
FBtr0306260	stck-RD	-2.235558	NOTEST	NOTEST	1.038995	6.284315	19.479427	9.101991	9.44209	1
FBtr0339641	dpr17-RD	-1.834407	NOTEST	NOTEST	-0.278873	14.490171	16.642274	1.683563	3.322385	1
FBtr0078949	CG9853-RA	-1.004496	NOTEST	NOTEST	2.790114	4.409095	16.872912	1.595021	29.81425	1
FBtr0343591	CG2145-RB	-0.209991	0.081987	0.0437	1.553871	88.604368	2.407984	1.754044	92.6996	1
FBtr0306842	CG43307-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0301973	mthl15-RC	-1.100594	NOTEST	NOTEST	2.410734	1.994025	20.569502	2.922356	1.58858	1
