ID	Symbol	RP24	qVal	pVal	SP	PVEC	Phase	Max/Min	Median	Non-Zero
FBtr0345416	CG10915-RB	-1.686815	NOTEST	NOTEST	-1.443078	0.209261	23.625799	1.388041	10.9998	1
FBtr0273351	CG6845-RC	-2.052878	NOTEST	NOTEST	0.624735	62.631521	6.279923	95569.0	0.393973	0
FBtr0078609	CG31560-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0344541	SclB-RC	-3.473491	NOTEST	NOTEST	-1.315891	33.80194	1.726171	2677.967172	1.34363	1
FBtr0083478	Mps1-RA	-3.304404	NOTEST	NOTEST	-0.908799	8.503824	22.341052	721.379071	0.662481	1
FBtr0112672	Not1-RC	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0302408	CG15140-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0080564	CG33306-RA	-2.038843	NOTEST	NOTEST	-0.251477	42.666667	8.0	7569.1	0.0	0
FBtr0080734	esg-RA	-3.869399	NOTEST	NOTEST	-1.654724	60.506645	6.999969	2.262053	0.486755	1
FBtr0110929	vnd-RB	-0.108489	NOTEST	NOTEST	2.026357	87.528396	5.699308	7.661838	0.379948	1
FBtr0306591	l(2)gl-RI	-0.010865	NOTEST	NOTEST	-0.008086	81.078131	11.837426	105.8	0.0	0
FBtr0310556	ACXE-RB	-1.681819	NOTEST	NOTEST	1.255955	26.842545	6.345378	5585.3	0.0	0
FBtr0333451	CG15822-RF	-0.535245	NOTEST	NOTEST	0.423477	91.456504	9.68541	19775.555556	0.289876	1
FBtr0072576	CG32344-RA	1.526302	0.037648	0.0088	1.929191	70.83671	22.366519	1.634725	4.996285	1
FBtr0110838	CG34124-RA	-3.443812	NOTEST	NOTEST	-2.176987	5.965224	2.218525	7.554982	0.037964	1
FBtr0088630	Pmm45A-RA	-3.961607	NOTEST	NOTEST	0.983953	36.932663	2.248267	1.476437	7.017175	1
FBtr0330042	gl-RC	-2.591993	NOTEST	NOTEST	0.605431	3.519133	20.32403	2.190259	9.516665	1
FBtr0330163	Tsp96F-RB	0.043106	0.084597	0.047	1.067575	2.244083	3.669294	4.196974	20.6211	1
FBtr0074479	CG12990-RA	-3.504396	NOTEST	NOTEST	-0.399485	66.414299	21.41249	11435.8	0.023038	0
FBtr0331396	CG12768-RB	-1.831109	NOTEST	NOTEST	-1.488589	29.462186	14.668953	1.708197	4.37591	1
FBtr0334860	CG44085-RL	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0070617	Vap33-RA	-0.680462	0.132805	0.1107	1.100369	3.957294	15.782996	13980401.0	38.69395	0
FBtr0082831	Dip-B-RA	-1.99863	NOTEST	NOTEST	-0.008084	32.592455	16.048846	77.442272	1.212785	1
FBtr0087350	Cdk5-RA	-4.562332	NOTEST	NOTEST	-0.41446	79.311966	1.250879	1.237803	16.97085	1
FBtr0083251	CG5916-RA	-2.1524	NOTEST	NOTEST	-0.261527	42.666667	16.0	21369.6	0.0	0
FBtr0332145	CG8539-RB	-5.798202	NOTEST	NOTEST	-1.942757	72.156818	6.839988	3.06776	3.97289	1
FBtr0310161	Ptp61F-RE	-1.546133	NOTEST	NOTEST	-0.202242	0.0	24.0	2959.5	0.0	0
FBtr0089734	r-RA	2.226534	0.00999	0.0006	3.694181	5.275462	16.968438	4.868018	1.44454	1
FBtr0308294	CG4702-RD	-2.13393	NOTEST	NOTEST	-0.260111	74.666964	4.000067	14812.3	4e-06	0
FBtr0075801	CG8745-RA	-0.025313	0.07019	0.0328	1.961776	10.588017	6.519492	2.578131	44.99505	1
FBtr0080466	Tap42-RA	0.152864	0.068289	0.031	0.724824	12.118118	19.96829	1.599817	4.769325	1
FBtr0332977	ewg-RM	-2.170001	NOTEST	NOTEST	-0.783941	85.730192	10.506708	86722.3	0.0	0
FBtr0071111	CG2258-RC	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0074100	sd-RA	-1.135019	NOTEST	NOTEST	-0.522195	36.717302	14.296106	4408.4	0.0	0
FBtr0333385	rgn-RC	-5.369442	NOTEST	NOTEST	-0.989367	19.765402	16.030197	12.577265	0.902508	1
FBtr0339902	ND-20L-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0083085	Sra-1-RA	-1.418177	NOTEST	NOTEST	2.063967	8.204839	0.696776	1.248054	16.4402	1
FBtr0073928	CG13403-RA	-0.000105	NOTEST	NOTEST	-1.1e-05	29.657087	19.209547	7.6	5.4e-05	0
FBtr0074151	ND-20-RA	-1.668286	NOTEST	NOTEST	-0.929865	19.897449	3.559268	1.833339	74.16215	1
FBtr0331324	CG18094-RB	-0.97095	NOTEST	NOTEST	1.453728	99.766202	11.383503	5.46675	0.629673	1
FBtr0070986	CG3168-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0340370	Gss2-RI	-1.544071	NOTEST	NOTEST	-0.373534	81.700484	4.725998	5512.6	0.0	0
FBtr0308570	et-RB	-2.323839	NOTEST	NOTEST	-0.805147	33.801877	2.074486	6.726275	2.69605	1
FBtr0332527	muc-RD	-9.38935	NOTEST	NOTEST	-1.3304	16.596003	15.185133	488638.0	0.004351	0
FBtr0331195	dUTPase-RC	-1.233133	NOTEST	NOTEST	-0.568133	52.254965	6.26737	12750.9	0.0	0
FBtr0074388	baz-RA	-4.485293	NOTEST	NOTEST	-0.485201	17.763323	9.273271	1.788702	5.618525	1
FBtr0300018	CG12680-RB	-3.031408	NOTEST	NOTEST	-0.571241	11.094491	15.845531	8146.9	0.0	0
FBtr0301742	CG42587-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0082291	SelR-RB	-0.240552	0.097596	0.0612	-0.032225	32.267155	23.969517	10.039378	10.607	1
FBtr0345067	scaf6-RE	-1.540217	NOTEST	NOTEST	-0.941534	76.04678	2.152847	3.015822	7.23879	1
FBtr0080518	Hsp60D-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
