geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0074083	CG8191-RA	0.019809	NOTEST	0.0023	NOTEST	1.185107	-2.629007	1.568039	1.590921	27.606983	24.391406	23.670804	21.218645	1.532080	2.252515	1	1	1	1
FBtr0087881	CG8785-RA	0.006281	0.077381	0.0002	0.0388	2.962410	0.134343	4.354825	2.817968	61.700187	57.593680	7.203100	6.493015	4.213485	6.441315	1	1	1	1
FBtr0339660	CG44325-RB	0.004004	NOTEST	0.0001	NOTEST	2.593826	-2.088010	4.198075	1.621873	1.574588	44.524372	3.066905	2.573726	166.744000	478.897000	1	1	1	1
FBtr0081643	Ufl1-RA	0.025698	NOTEST	0.0039	NOTEST	0.863735	-1.631187	1.264465	0.729112	72.541182	0.960330	3.683609	22.647339	5.136250	6.344415	1	1	1	1
FBtr0333753	Tlk-RM	0.043045	0.139213	0.0119	0.1233	0.370866	-0.724921	3.635240	-0.324381	46.130175	105.876289	14.788436	12.413056	2.921355	2.592705	1	1	1	1
FBtr0087605	RN-tre-RA	0.04338	0.096151	0.0121	0.0603	0.581946	-0.204714	2.316077	1.530933	5.739770	5.718861	5.822938	4.602015	9.760395	14.202850	1	1	1	1
FBtr0085501	CG31036-RA	0.039615	0.104255	0.01	0.071	1.113485	-0.270588	1.507051	0.074720	19.479832	24.805634	20.160450	20.610894	2.856985	2.929770	1	1	1	1
FBtr0081162	AsnRS-RA	0.040287	NOTEST	0.0104	NOTEST	1.068807	-4.744693	1.972421	-1.024746	65.703833	6.425048	1.135426	15.102528	24.129950	29.913900	1	0	1	1
FBtr0085460	Kul-RA	0.045864	0.146368	0.0133	0.135	0.754286	-0.822112	1.755554	0.401096	23.751455	7.339222	21.510561	18.617838	17.836050	16.117950	1	1	1	1
FBtr0075875	CG11267-RA	0.025698	NOTEST	0.0039	NOTEST	0.683213	-3.593601	0.975899	-1.251918	17.435818	5.415301	23.011851	17.561962	94.381150	109.567000	1	1	1	1
FBtr0085462	Obp99b-RA	0.038318	NOTEST	0.0093	NOTEST	-0.208620	-5.916590	2.327068	-0.689708	49.071207	42.702547	15.557005	14.957239	1.390685	0.861434	1	0	1	1
FBtr0085508	eIF2Balpha-RA	0.02539	NOTEST	0.0038	NOTEST	1.252153	-1.407146	2.476628	-1.283941	34.473415	8.844600	22.140293	16.734212	13.137500	18.253350	1	0	1	1
FBtr0075975	CG10657-RA	0.045609	NOTEST	0.013	NOTEST	0.407083	-1.076657	1.294415	1.578951	2.099235	7.155482	22.344815	21.531060	7.926610	9.391670	1	1	1	1
FBtr0086701	Pepck-RA	0.046117	0.117706	0.0134	0.0894	0.545392	-0.468436	3.377738	0.979999	5.956920	9.233520	17.977931	6.855069	144.563000	498.318000	1	1	1	1
FBtr0085757	CG1542-RA	0.014986	0.102096	0.0013	0.0679	1.915923	-0.245716	3.361762	1.057871	18.307573	18.287463	22.391906	21.903576	15.284150	19.278900	1	1	1	1
FBtr0088052	PI31-RC	0.037798	NOTEST	0.0089	NOTEST	0.758573	-1.190410	1.653364	0.224139	2.460988	67.667732	20.656137	10.948626	1.947000	2.570625	1	1	0	0
FBtr0300028	CG34242-RB	0.006281	0.079226	0.0002	0.0407	2.100172	0.118593	5.113171	1.433206	15.192429	12.166954	21.545896	20.304513	82.656700	84.304150	1	1	1	1
FBtr0081638	Dpck-RA	0.039427	0.092241	0.0099	0.0559	1.274237	0.034899	1.703811	1.562852	5.913279	56.948993	21.910370	0.495204	6.538690	6.744290	1	1	1	1
FBtr0078230	CG5262-RA	0.036266	NOTEST	0.008	NOTEST	1.348091	-1.732104	1.805056	1.028575	23.013969	5.618549	5.292609	4.986805	4.421950	6.275525	1	1	1	1
FBtr0343583	l(1)G0196-RP	0.0	0.09523	0.0	0.0592	1.692279	-0.256779	5.425614	1.977289	11.529188	8.022159	20.315422	18.917758	4.254365	3.548210	1	1	1	1
