geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0085460	Kul-RA	0.045864	0.146368	0.0133	0.135	0.754286	-0.822112	1.755554	0.401096	23.751455	7.339222	21.510561	18.617838	17.836050	16.117950	1	1	1	1
FBtr0085462	Obp99b-RA	0.038318	NOTEST	0.0093	NOTEST	-0.208620	-5.916590	2.327068	-0.689708	49.071207	42.702547	15.557005	14.957239	1.390685	0.861434	1	0	1	1
FBtr0079013	qtc-RB	0.031884	0.156168	0.006	0.151	1.220967	-0.901831	1.649134	1.786260	35.584838	2.845838	21.794621	0.098538	25.066400	15.225400	1	1	1	1
FBtr0083560	CG14314-RA	0.008325	0.09011	0.0004	0.0532	2.312259	-0.010291	4.045450	0.307082	5.456842	31.047734	22.470965	22.250039	5.764305	5.300165	1	1	1	1
FBtr0329872	SLO2-RL	0.037648	NOTEST	0.0087	NOTEST	0.806751	-4.771168	1.686202	4.482510	10.625685	15.086627	7.704757	7.881502	35.046450	27.463450	1	1	1	1
FBtr0071058	CG11368-RA	0.006281	0.103733	0.0002	0.0703	1.514946	-0.207237	2.499651	2.016323	0.325453	3.301659	0.731229	20.537166	798.306000	650.428500	1	1	1	1
FBtr0331664	Ndae1-RJ	0.0	0.159647	0.0	0.1567	2.344171	-0.982414	6.832345	2.814290	12.396977	14.279084	20.622736	21.032399	8.849905	6.015140	1	1	1	1
FBtr0079609	CG7781-RA	0.035093	NOTEST	0.0074	NOTEST	0.235581	-2.105558	4.851276	2.548316	8.610230	3.034106	7.149715	4.122470	94.548750	66.412800	1	1	1	1
FBtr0076137	CG6083-RA	0.020077	NOTEST	0.0024	NOTEST	1.495873	-1.328863	2.467558	1.899559	32.066740	22.502187	22.898076	22.068916	9.226435	6.770750	1	0	1	1
FBtr0331716	rdgB-RI	0.023613	NOTEST	0.0033	NOTEST	1.704986	-2.928346	1.941908	1.000154	16.845807	9.976167	21.285931	19.373878	160.329000	141.110000	1	1	1	1
FBtr0083642	fru-RC	0.011853	NOTEST	0.0008	NOTEST	2.092770	-2.331607	2.300103	1.644095	22.420780	16.016860	19.743371	20.649062	9.500130	2.850615	1	1	1	1
FBtr0085551	Tace-RA	0.020585	NOTEST	0.0025	NOTEST	1.239449	-2.452523	2.380274	-0.040732	1.057264	13.388418	23.869527	23.034095	14.229350	9.149760	1	1	1	1
FBtr0336705	aux-RC	0.040756	NOTEST	0.0107	NOTEST	1.003578	-1.315661	1.546411	-0.841218	93.636072	31.258718	9.038946	7.815318	13.744800	6.538440	1	1	1	1
FBtr0344176	Pde8-RC	0.012521	NOTEST	0.0009	NOTEST	1.611160	-1.069499	2.594681	2.005942	70.852937	8.909561	6.984137	6.696334	6.299295	4.436915	1	1	1	1
FBtr0087744	GstE14-RA	0.014986	0.100896	0.0013	0.0668	1.104069	-0.289472	2.237055	0.015459	8.463866	64.739609	20.693206	22.666726	17.336650	14.595750	1	0	1	1
FBtr0082457	Jupiter-RB	0.04701	0.099472	0.014	0.0646	0.823005	-0.101287	1.877730	1.590507	1.305292	2.412219	23.723556	2.890583	6.612700	4.999180	1	1	1	1
FBtr0331505	CG43778-RD	0.012983	NOTEST	0.001	NOTEST	1.376104	-1.034726	2.745210	0.191629	26.331480	46.356997	10.929254	9.260990	29.118350	17.950050	1	1	1	1
FBtr0087293	Mlf-RB	0.048301	NOTEST	0.0149	NOTEST	1.018395	-1.071111	2.162394	1.511535	9.327420	1.081699	21.767337	0.920266	38.937850	23.089100	1	1	1	1
FBtr0084172	ND-42-RA	0.025698	0.130088	0.0039	0.1088	0.973126	-0.669252	1.740770	1.331393	13.657303	2.955544	20.996691	21.184629	32.623900	29.481950	1	1	1	1
FBtr0329978	CG34351-RD	0.036062	NOTEST	0.0079	NOTEST	0.391236	-1.943453	2.366598	-0.616833	14.121448	89.661196	8.796064	11.369239	42.036800	23.580950	1	1	1	1
FBtr0082195	gammaSnap2-RA	0.031884	NOTEST	0.006	NOTEST	0.320823	-2.112824	2.491256	2.618539	1.140987	4.461007	23.853915	21.128786	6.746610	4.361585	1	1	1	1
FBtr0079150	CG13999-RA	0.004004	NOTEST	0.0001	NOTEST	2.508022	-1.066604	2.974646	-0.931266	12.736936	18.012316	6.474716	14.460013	7.160500	3.568990	1	1	1	1
FBtr0334890	COX5A-RC	0.008325	0.16038	0.0004	0.1583	0.733328	-0.894004	2.238942	2.994618	1.969686	1.014238	0.512770	2.197743	112.169500	97.421550	1	1	1	1
FBtr0077144	Cyt-c1-RA	0.028219	0.106264	0.0046	0.0738	1.308997	-0.272382	2.261235	5.799908	0.346535	3.094806	23.647017	2.113429	161.102500	121.451000	1	1	1	1
FBtr0078413	AcCoAS-RA	0.034078	NOTEST	0.0069	NOTEST	0.814103	-4.441311	2.273296	1.522776	6.272747	3.193353	5.987354	4.376996	85.513300	57.670600	1	1	1	1
FBtr0273393	ND-B17.2-RB	0.0	NOTEST	0.0	NOTEST	3.847776	-1.280799	4.569268	1.327893	0.426268	1.964602	23.028345	20.632774	126.967500	108.723000	1	0	1	1
FBtr0074505	CG6847-RA	0.030821	NOTEST	0.0056	NOTEST	1.658483	-2.008575	3.197905	-0.749826	25.905296	36.297643	0.108400	22.006473	1.737890	1.113645	1	1	1	1
FBtr0332898	CG15309-RC	0.044123	NOTEST	0.0124	NOTEST	0.875431	-5.196118	1.430258	0.475315	65.722562	0.077293	20.385769	12.620250	21.728200	13.196900	1	1	1	1
FBtr0343381	CG9512-RB	0.024682	NOTEST	0.0036	NOTEST	1.373715	-4.480098	1.731792	-0.751085	34.157551	24.571729	7.052668	8.249043	100.113150	29.684950	1	1	1	1
FBtr0087242	clu-RA	0.017516	NOTEST	0.0018	NOTEST	1.047144	-0.232722	2.272329	4.642972	9.715142	11.508801	19.488384	19.993934	21.553700	20.291200	1	0	1	1
FBtr0088473	trpl-RB	0.029042	NOTEST	0.005	NOTEST	1.302533	-1.215354	1.904666	2.600336	17.354523	18.896276	9.177315	9.196518	154.913000	97.909400	1	1	1	1
FBtr0332356	CG42817-RB	0.037946	0.077316	0.009	0.0386	1.358187	0.135357	2.675329	1.332946	70.377137	97.448456	7.697575	7.225953	13.062750	13.091500	1	1	1	1
FBtr0331400	CG13722-RB	0.018021	NOTEST	0.0019	NOTEST	2.097136	-0.133167	4.045612	1.194232	3.308149	16.200918	3.740504	4.849878	1.677295	0.686683	1	0	1	1
FBtr0433531	Sod3-RF	0.035093	0.110036	0.0074	0.079	0.950162	-0.445842	2.298332	1.365509	71.002314	1.867745	5.773391	0.275892	10.933350	7.888015	1	1	1	1
FBtr0110834	CG31030-RB	0.032454	NOTEST	0.0062	NOTEST	1.202178	-1.397197	3.697567	1.001141	2.592288	2.550536	13.604956	15.786032	32.585650	18.847000	1	1	1	1
FBtr0304603	pros-RH	0.03291	0.108461	0.0064	0.0763	1.175592	-0.516397	1.765995	2.103086	120.679465	109.626943	10.754622	13.354318	55.361400	38.452700	1	1	1	1
FBtr0071777	Oatp58Dc-RA	0.039427	NOTEST	0.0099	NOTEST	0.733690	-1.239923	1.737653	0.654885	19.900647	3.088897	5.055696	4.298430	8.681700	7.145400	1	1	1	1
FBtr0329963	CG10188-RC	0.00999	NOTEST	0.0006	NOTEST	1.908311	-1.220502	2.348767	-0.995655	8.698752	14.280640	19.149065	20.820681	16.013800	10.600300	1	0	1	1
FBtr0089451	anne-RG	0.018307	0.120029	0.002	0.0935	1.726239	-0.508963	2.854880	2.618320	1.636787	57.715448	2.877428	6.458509	33.720300	24.610700	1	1	1	1
FBtr0080362	Patsas-RA	0.049033	NOTEST	0.0155	NOTEST	0.634581	-1.113860	3.031581	0.754272	1.520168	5.393209	1.307126	3.367865	7.698275	4.855115	1	1	1	1
FBtr0333835	Rdl-RF	0.010993	0.096183	0.0007	0.0604	1.635650	-0.121168	2.252305	1.636974	5.007867	14.309579	5.409389	5.959908	121.741000	84.512300	1	0	1	1
FBtr0078847	CG2016-RB	0.004004	0.122129	0.0001	0.0967	1.852572	-0.525295	2.190231	-0.185630	20.280813	36.270071	22.791767	1.723333	15.662000	8.787375	1	1	1	1
FBtr0309285	CG33543-RD	0.004004	0.133064	0.0001	0.1139	1.717609	-0.604395	6.160081	0.943915	14.445079	12.054414	21.260591	20.222167	24.606900	13.813600	1	1	1	1
