geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0334543	Pak-RI	0.04338	NOTEST	0.0121	NOTEST	0.699481	-2.103657	1.241204	0.002567	46.296524	28.383539	13.086744	10.319167	10.649450	10.079405	1	1	1	1
FBtr0339660	CG44325-RB	0.004004	NOTEST	0.0001	NOTEST	2.593826	-2.088010	4.198075	1.621873	1.574588	44.524372	3.066905	2.573726	166.744000	478.897000	1	1	1	1
FBtr0080001	pim-RA	0.042794	NOTEST	0.0117	NOTEST	1.500142	-4.505613	2.382053	-0.870650	3.375148	17.636341	4.421869	7.940541	1.423885	0.268342	1	0	1	0
FBtr0087605	RN-tre-RA	0.04338	0.096151	0.0121	0.0603	0.581946	-0.204714	2.316077	1.530933	5.739770	5.718861	5.822938	4.602015	9.760395	14.202850	1	1	1	1
FBtr0082245	Timp-RB	0.024682	NOTEST	0.0036	NOTEST	1.578776	-1.881625	2.285638	2.400886	80.462875	16.586713	22.812744	0.389728	26.232650	43.490550	1	0	1	1
FBtr0086701	Pepck-RA	0.046117	0.117706	0.0134	0.0894	0.545392	-0.468436	3.377738	0.979999	5.956920	9.233520	17.977931	6.855069	144.563000	498.318000	1	1	1	1
FBtr0088052	PI31-RC	0.037798	NOTEST	0.0089	NOTEST	0.758573	-1.190410	1.653364	0.224139	2.460988	67.667732	20.656137	10.948626	1.947000	2.570625	1	1	0	0
FBtr0078230	CG5262-RA	0.036266	NOTEST	0.008	NOTEST	1.348091	-1.732104	1.805056	1.028575	23.013969	5.618549	5.292609	4.986805	4.421950	6.275525	1	1	1	1
FBtr0089056	Cyp9b1-RA	0.016684	0.148592	0.0016	0.1393	1.640490	-0.822308	2.277136	0.173896	59.074944	62.306672	4.654773	5.233267	9.121350	16.127200	1	1	1	1
FBtr0332087	toe-RB	0.006281	NOTEST	0.0002	NOTEST	3.418326	-5.167048	3.544359	0.162998	13.911390	115.926967	0.071151	10.172320	1.161915	1.393010	1	1	1	1
FBtr0336705	aux-RC	0.040756	NOTEST	0.0107	NOTEST	1.003578	-1.315661	1.546411	-0.841218	93.636072	31.258718	9.038946	7.815318	13.744800	6.538440	1	1	1	1
FBtr0307278	Mnt-RJ	0.023613	NOTEST	0.0033	NOTEST	1.598868	-2.363498	1.932635	-0.758543	64.068974	8.342957	7.068842	6.965139	11.538700	11.883050	1	1	1	1
FBtr0079013	qtc-RB	0.031884	0.156168	0.006	0.151	1.220967	-0.901831	1.649134	1.786260	35.584838	2.845838	21.794621	0.098538	25.066400	15.225400	1	1	1	1
FBtr0083563	Mdh2-RA	0.046577	0.129511	0.0138	0.1078	-0.027877	-0.587357	0.278210	0.795043	13.674990	0.901068	23.959023	0.898977	112.521500	99.346800	1	0	1	1
FBtr0305152	cwo-RC	0.038686	NOTEST	0.0095	NOTEST	1.029679	-2.221518	1.875083	0.363210	17.672633	37.146709	10.273924	11.086410	10.616300	11.476600	1	1	1	1
FBtr0077397	hoe1-RA	0.040136	0.094619	0.0103	0.0586	0.932625	-0.109888	2.733209	2.646429	59.465667	74.250188	6.876348	8.016293	25.352850	27.735300	1	1	1	1
FBtr0306634	CG42668-RN	0.016056	NOTEST	0.0015	NOTEST	1.713399	-1.156644	2.424335	-0.684328	13.276481	10.746692	8.275127	7.688477	3.901835	4.074450	1	1	1	1
FBtr0329872	SLO2-RL	0.037648	NOTEST	0.0087	NOTEST	0.806751	-4.771168	1.686202	4.482510	10.625685	15.086627	7.704757	7.881502	35.046450	27.463450	1	1	1	1
FBtr0070159	CG13364-RA	0.009138	0.075496	0.0005	0.0368	2.871679	0.027261	3.436665	0.574915	43.798223	78.171558	23.884197	1.663220	147.529500	190.477500	1	1	1	1
FBtr0114541	St1-RB	0.031077	0.123039	0.0057	0.0982	1.119271	-0.615140	2.047967	1.331502	24.986371	34.977701	0.214682	1.424304	32.788450	46.388350	1	1	1	1
FBtr0334524	Xrp1-RG	0.014403	NOTEST	0.0012	NOTEST	1.862874	-3.305238	2.920593	1.680691	6.085714	35.701623	5.600760	11.644602	15.930650	41.477450	1	1	1	1
FBtr0303578	Lpin-RH	0.023905	NOTEST	0.0034	NOTEST	1.455295	-1.782190	1.564898	-0.675925	45.839949	17.241172	7.676643	9.194420	2.990040	8.385780	1	1	0	1
FBtr0074973	Shal-RA	0.015557	0.115578	0.0014	0.0864	1.551797	-0.652093	2.278368	0.131349	11.527807	89.446784	19.843717	1.142558	4.562040	3.751640	1	0	1	1
FBtr0070479	eIF2Bbeta-RA	0.016056	0.130246	0.0015	0.1093	1.575505	-0.579802	2.627696	0.627722	5.854581	61.521157	22.695331	2.621019	11.753850	16.259700	1	1	1	1
FBtr0333369	Cdc27-RB	0.042346	NOTEST	0.0114	NOTEST	0.612997	0.275064	2.586535	1.214775	20.030906	27.356370	22.368228	0.188348	8.412970	10.552400	1	0	1	1
