geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0085460	Kul-RA	0.045864	0.146368	0.0133	0.135	0.754286	-0.822112	1.755554	0.401096	23.751455	7.339222	21.510561	18.617838	17.836050	16.117950	1	1	1	1
FBtr0085462	Obp99b-RA	0.038318	NOTEST	0.0093	NOTEST	-0.208620	-5.916590	2.327068	-0.689708	49.071207	42.702547	15.557005	14.957239	1.390685	0.861434	1	0	1	1
FBtr0083560	CG14314-RA	0.008325	0.09011	0.0004	0.0532	2.312259	-0.010291	4.045450	0.307082	5.456842	31.047734	22.470965	22.250039	5.764305	5.300165	1	1	1	1
FBtr0071058	CG11368-RA	0.006281	0.103733	0.0002	0.0703	1.514946	-0.207237	2.499651	2.016323	0.325453	3.301659	0.731229	20.537166	798.306000	650.428500	1	1	1	1
FBtr0331664	Ndae1-RJ	0.0	0.159647	0.0	0.1567	2.344171	-0.982414	6.832345	2.814290	12.396977	14.279084	20.622736	21.032399	8.849905	6.015140	1	1	1	1
FBtr0076137	CG6083-RA	0.020077	NOTEST	0.0024	NOTEST	1.495873	-1.328863	2.467558	1.899559	32.066740	22.502187	22.898076	22.068916	9.226435	6.770750	1	0	1	1
FBtr0331716	rdgB-RI	0.023613	NOTEST	0.0033	NOTEST	1.704986	-2.928346	1.941908	1.000154	16.845807	9.976167	21.285931	19.373878	160.329000	141.110000	1	1	1	1
FBtr0083642	fru-RC	0.011853	NOTEST	0.0008	NOTEST	2.092770	-2.331607	2.300103	1.644095	22.420780	16.016860	19.743371	20.649062	9.500130	2.850615	1	1	1	1
FBtr0085551	Tace-RA	0.020585	NOTEST	0.0025	NOTEST	1.239449	-2.452523	2.380274	-0.040732	1.057264	13.388418	23.869527	23.034095	14.229350	9.149760	1	1	1	1
FBtr0087744	GstE14-RA	0.014986	0.100896	0.0013	0.0668	1.104069	-0.289472	2.237055	0.015459	8.463866	64.739609	20.693206	22.666726	17.336650	14.595750	1	0	1	1
FBtr0084172	ND-42-RA	0.025698	0.130088	0.0039	0.1088	0.973126	-0.669252	1.740770	1.331393	13.657303	2.955544	20.996691	21.184629	32.623900	29.481950	1	1	1	1
FBtr0082195	gammaSnap2-RA	0.031884	NOTEST	0.006	NOTEST	0.320823	-2.112824	2.491256	2.618539	1.140987	4.461007	23.853915	21.128786	6.746610	4.361585	1	1	1	1
FBtr0079150	CG13999-RA	0.004004	NOTEST	0.0001	NOTEST	2.508022	-1.066604	2.974646	-0.931266	12.736936	18.012316	6.474716	14.460013	7.160500	3.568990	1	1	1	1
FBtr0273393	ND-B17.2-RB	0.0	NOTEST	0.0	NOTEST	3.847776	-1.280799	4.569268	1.327893	0.426268	1.964602	23.028345	20.632774	126.967500	108.723000	1	0	1	1
FBtr0074505	CG6847-RA	0.030821	NOTEST	0.0056	NOTEST	1.658483	-2.008575	3.197905	-0.749826	25.905296	36.297643	0.108400	22.006473	1.737890	1.113645	1	1	1	1
FBtr0332898	CG15309-RC	0.044123	NOTEST	0.0124	NOTEST	0.875431	-5.196118	1.430258	0.475315	65.722562	0.077293	20.385769	12.620250	21.728200	13.196900	1	1	1	1
FBtr0087242	clu-RA	0.017516	NOTEST	0.0018	NOTEST	1.047144	-0.232722	2.272329	4.642972	9.715142	11.508801	19.488384	19.993934	21.553700	20.291200	1	0	1	1
FBtr0110834	CG31030-RB	0.032454	NOTEST	0.0062	NOTEST	1.202178	-1.397197	3.697567	1.001141	2.592288	2.550536	13.604956	15.786032	32.585650	18.847000	1	1	1	1
FBtr0304603	pros-RH	0.03291	0.108461	0.0064	0.0763	1.175592	-0.516397	1.765995	2.103086	120.679465	109.626943	10.754622	13.354318	55.361400	38.452700	1	1	1	1
FBtr0071170	CG1632-RA	0.022706	NOTEST	0.003	NOTEST	1.765873	-2.214882	3.218418	3.102464	36.301747	1.731186	19.171249	15.188883	5.886715	2.668205	1	1	1	1
FBtr0329963	CG10188-RC	0.00999	NOTEST	0.0006	NOTEST	1.908311	-1.220502	2.348767	-0.995655	8.698752	14.280640	19.149065	20.820681	16.013800	10.600300	1	0	1	1
FBtr0309285	CG33543-RD	0.004004	0.133064	0.0001	0.1139	1.717609	-0.604395	6.160081	0.943915	14.445079	12.054414	21.260591	20.222167	24.606900	13.813600	1	1	1	1
FBtr0076329	Ilp2-RA	0.022218	NOTEST	0.0028	NOTEST	0.889854	-1.440786	3.230741	0.331967	15.062128	10.434490	21.474919	19.911860	169.231500	119.150000	1	1	1	1
FBtr0300178	gol-RC	0.035867	0.13561	0.0077	0.1175	0.538906	-0.683178	0.942762	0.207360	33.001155	28.318264	11.274999	12.002830	28.726250	24.648450	1	1	1	1
FBtr0112806	fw-RB	0.018307	0.109481	0.002	0.0778	1.799123	-0.242689	3.838071	1.612813	5.104914	11.713472	22.951162	19.813293	3.713110	1.852760	1	1	1	1
FBtr0301812	CG41128-RB	0.04338	0.125286	0.0121	0.1017	0.012339	-0.703174	4.354452	2.687713	10.601018	7.763976	19.946953	18.747798	494.084000	344.698500	1	1	1	1
FBtr0301959	Tm1-RM	0.019809	0.085284	0.0023	0.0475	1.895036	-0.066256	2.052606	0.407098	34.696416	10.568945	20.435744	21.940783	114.962000	104.860500	1	1	1	1
FBtr0085712	Cyp4c3-RA	0.035093	0.089761	0.0074	0.0528	1.317892	-0.047213	3.172946	2.884654	2.721328	16.455943	21.246641	19.118442	3.163070	1.519685	1	1	1	1
FBtr0079251	Cpr-RB	0.023905	NOTEST	0.0034	NOTEST	1.426223	-1.110158	2.534669	0.341059	21.705168	23.707271	21.593152	22.585661	25.415300	23.168950	1	1	1	1
FBtr0077646	CG17265-RA	0.019809	NOTEST	0.0023	NOTEST	0.507105	-2.429117	2.270157	-0.561208	43.239127	25.586213	16.961842	21.467992	2.044810	1.560050	1	1	1	1
FBtr0082479	CG31211-RA	0.022501	0.135736	0.0029	0.1177	1.145904	-0.636335	1.900930	1.916675	77.952131	9.176898	22.774507	22.939633	15.126850	9.385540	1	1	1	1
FBtr0073613	CG9360-RA	0.043228	NOTEST	0.012	NOTEST	0.356170	-1.650808	2.710955	1.671902	12.440230	7.689674	20.606051	18.147192	61.529400	58.379300	1	1	1	1
FBtr0091785	CG33784-RA	0.008325	NOTEST	0.0004	NOTEST	2.317193	-2.660319	2.784616	0.458903	93.367126	10.654224	6.208676	19.793198	3.629555	1.287845	1	1	1	1
