geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0335462	CG9886-RB	NOTEST	0.043683	NOTEST	0.0115	-2.044021	1.142511	-1.560467	2.069128	6.578650	18.305793	14.232271	17.213054	1.808070	1.193965	1	1	1	1
FBtr0074014	CG9164-RB	0.143249	0.028027	0.1279	0.0044	-0.743120	1.552583	0.400502	4.085782	1.150580	59.774138	2.160866	5.963137	7.040645	5.641870	1	1	1	1
FBtr0084847	tobi-RA	0.137928	0.045142	0.1186	0.0128	-0.867904	-0.158856	-0.769407	0.908933	90.789014	22.966514	15.650903	12.126652	12.822450	15.294700	1	1	1	1
FBtr0344009	CG5916-RB	NOTEST	0.046673	NOTEST	0.0137	-2.057372	0.800325	-1.041666	1.471197	15.137907	11.441878	19.329782	19.365185	8.916530	7.133965	0	1	1	1
FBtr0300894	nSyb-RG	0.118258	0.045142	0.088	0.0128	-0.437796	0.738781	0.525347	3.356260	59.932424	14.980035	5.158536	6.237414	360.059000	256.826000	1	1	1	1
FBtr0100660	kuz-RC	NOTEST	0.046723	NOTEST	0.0138	-0.849335	0.567079	0.780063	1.945255	77.998044	94.267081	9.194163	9.439198	20.538850	18.947700	0	1	1	1
FBtr0086633	CG15096-RB	NOTEST	0.043444	NOTEST	0.0113	-3.037688	1.154491	0.919508	3.463441	13.855755	23.927396	21.094780	23.769374	233.653000	191.559000	1	1	1	1
FBtr0112357	CG34166-RA	0.08987	0.0	0.0525	0.0	-0.233586	0.999738	0.210651	1.942743	25.634999	43.975107	14.351434	12.367075	32.723050	19.910850	1	1	1	1
FBtr0303898	nAChRalpha6-RG	0.095022	0.032888	0.0581	0.006	-0.209393	1.138740	0.570600	1.738641	2.615711	4.705353	3.727888	4.853408	21.609150	15.171150	1	1	1	1
FBtr0074972	CG9231-RA	0.119259	0.031618	0.0896	0.0056	-0.500340	1.264583	0.474234	1.613230	43.778993	98.277664	16.783091	16.304678	59.329300	51.074750	0	1	1	1
FBtr0308249	CG31998-RB	0.113612	0.038551	0.0819	0.0087	-0.578447	0.990762	-0.137936	1.672587	0.650570	1.972807	13.968688	15.428416	41.135300	38.369300	1	1	1	1
FBtr0083739	Dl-RA	NOTEST	0.044142	NOTEST	0.0119	-6.598813	0.811620	-3.173010	2.413883	124.784754	8.202437	12.605756	17.528914	8.395350	6.459270	1	1	1	1
FBtr0332219	Syt1-RF	0.124766	0.005754	0.0978	0.0002	-0.535242	2.915476	0.596781	4.009181	5.506102	93.006380	5.423284	5.517269	88.750150	34.723200	1	1	1	1
FBtr0074617	wgn-RA	0.097888	0.049534	0.0617	0.0158	-0.378907	0.481663	0.370263	0.969584	5.202587	8.076847	17.527879	18.924808	18.506250	17.915450	1	1	1	1
FBtr0301978	ATbp-RB	0.115619	0.015004	0.085	0.0013	-0.466761	1.206502	0.654801	3.592836	10.904951	7.935729	18.859283	18.875998	4.211535	3.464475	1	1	1	1
FBtr0083866	CG5023-RA	NOTEST	0.046723	NOTEST	0.0138	-1.165152	0.617608	-0.520765	0.855746	1.361949	16.386254	1.981832	6.134113	27.058700	12.680700	1	1	1	1
FBtr0089496	Gdh-RB	NOTEST	0.042524	NOTEST	0.0107	-2.066346	0.741501	-1.354587	1.407085	0.138092	67.407432	0.048543	1.272877	21.258600	12.360600	1	1	1	1
FBtr0300621	Teh2-RB	NOTEST	0.005754	NOTEST	0.0002	-2.365403	2.910291	-0.092913	3.928914	3.194062	8.252116	1.189924	2.864819	35.746550	22.736750	0	1	1	1
FBtr0344910	chrb-RE	0.079678	0.036386	0.0417	0.0078	-0.327440	0.623902	0.745170	1.051671	44.070739	57.376074	13.037666	13.686988	68.758850	39.561150	1	1	1	1
FBtr0079283	CG9497-RA	0.124741	0.040144	0.0977	0.0094	-0.521271	0.812796	0.349810	1.050894	24.948652	2.755422	0.201954	1.108734	5.255675	3.595570	1	1	1	1
FBtr0071424	Yp2-RA	NOTEST	0.013512	NOTEST	0.001	-3.836219	0.911930	-1.170425	2.489427	34.843592	76.247518	2.327223	3.629487	1052.580000	425.743000	1	1	1	1
FBtr0333678	NfI-RC	0.098363	0.036087	0.0623	0.0077	-0.358449	1.183007	0.416220	2.383568	12.303360	7.820223	20.570075	18.339611	56.909650	43.534200	1	1	1	1
FBtr0089972	Gat-RA	NOTEST	0.034557	NOTEST	0.007	-2.746462	0.675923	-1.708888	0.910167	18.734535	11.291178	16.530269	15.771030	126.428500	67.668600	0	1	1	1
FBtr0100580	ewg-RF	0.111398	0.047923	0.0792	0.0147	-0.404926	0.725539	0.346591	1.596229	8.962916	8.302174	19.298592	18.207906	19.358450	14.180800	1	1	1	1
FBtr0303107	CG7971-RF	0.078733	0.030327	0.0408	0.0052	-0.174968	1.243302	0.417634	1.363679	15.290016	5.590799	23.917921	3.184185	8.700365	5.888030	1	1	1	1
FBtr0081251	CG13082-RA	0.108248	0.0	0.075	0.0	-0.263000	3.509477	0.744735	4.562634	105.296926	86.040467	10.650098	9.257673	3.698695	1.981640	1	1	1	1
FBtr0082767	CG9813-RC	NOTEST	0.030643	NOTEST	0.0053	-3.378570	0.646589	-1.228162	4.937605	15.013806	12.321475	20.763694	15.728769	71.367950	56.669400	1	1	1	1
FBtr0332133	dbo-RB	NOTEST	0.035342	NOTEST	0.0073	-1.136304	0.989081	0.358310	3.130105	17.097951	19.955809	9.643098	9.647963	11.753150	8.988300	1	1	1	1
FBtr0113477	CG6006-RC	NOTEST	0.045335	NOTEST	0.0129	-1.871245	0.937500	-0.665465	1.642871	32.744172	8.834751	12.977024	4.288016	4.414775	3.292515	1	1	1	1
FBtr0073033	CG32278-RA	0.076646	0.041734	0.0389	0.0103	0.161182	1.148795	0.661980	2.394380	11.145099	2.699783	20.097833	20.072501	63.670700	48.382050	1	1	1	1
FBtr0082179	CG3940-RA	NOTEST	0.040424	NOTEST	0.0096	-1.122660	0.914427	0.038464	2.417567	11.394231	7.645745	6.485461	6.055339	31.891700	25.116350	0	1	1	1
FBtr0071397	CG15247-RA	NOTEST	0.04226	NOTEST	0.0105	-2.890497	1.012888	-2.087037	1.632459	18.614836	10.574274	21.634696	4.042650	2.099530	1.656625	1	1	1	1
FBtr0089291	Wnt4-RA	NOTEST	0.042754	NOTEST	0.0109	-0.697707	0.811953	0.302034	1.312102	6.273372	16.356977	3.257666	4.129372	2.929910	1.823130	0	1	1	1
FBtr0073421	sesB-RA	0.094061	0.018637	0.0571	0.0019	-0.175073	0.034533	0.700766	0.416851	6.239461	44.269344	5.373846	4.296009	1370.635000	961.756500	1	1	1	1
FBtr0072255	AANAT1-RB	0.103478	0.025112	0.0684	0.0036	-0.164639	1.757501	0.959576	2.761801	53.566484	7.107350	4.249173	4.794186	35.363700	30.703800	1	1	1	1
FBtr0339154	GABA-B-R2-RC	0.151491	0.032697	0.1417	0.0059	-0.827619	0.539479	0.256521	2.381521	13.108827	2.659675	21.618449	2.180746	8.912225	3.777270	1	1	1	1
FBtr0343981	ATPsyndelta-RC	NOTEST	0.024513	NOTEST	0.0034	-3.519240	0.789166	-2.817938	1.131322	118.927509	23.382020	13.336053	15.480945	9.117765	7.297050	1	1	1	1
FBtr0308125	fred-RF	NOTEST	0.021143	NOTEST	0.0025	-2.617338	1.783843	-1.450314	2.398121	11.069696	20.553645	18.064239	19.424195	13.237250	10.834250	0	1	1	1
FBtr0337051	CG6293-RB	NOTEST	0.024935	NOTEST	0.0035	-1.047425	1.237465	-0.288289	1.683304	6.352315	8.130310	18.146628	17.923788	5.559675	3.987500	1	1	1	1
