geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0335462	CG9886-RB	NOTEST	0.043683	NOTEST	0.0115	-2.044021	1.142511	-1.560467	2.069128	6.578650	18.305793	14.232271	17.213054	1.808070	1.193965	1	1	1	1
FBtr0074014	CG9164-RB	0.143249	0.028027	0.1279	0.0044	-0.743120	1.552583	0.400502	4.085782	1.150580	59.774138	2.160866	5.963137	7.040645	5.641870	1	1	1	1
FBtr0344009	CG5916-RB	NOTEST	0.046673	NOTEST	0.0137	-2.057372	0.800325	-1.041666	1.471197	15.137907	11.441878	19.329782	19.365185	8.916530	7.133965	0	1	1	1
FBtr0301978	ATbp-RB	0.115619	0.015004	0.085	0.0013	-0.466761	1.206502	0.654801	3.592836	10.904951	7.935729	18.859283	18.875998	4.211535	3.464475	1	1	1	1
FBtr0083739	Dl-RA	NOTEST	0.044142	NOTEST	0.0119	-6.598813	0.811620	-3.173010	2.413883	124.784754	8.202437	12.605756	17.528914	8.395350	6.459270	1	1	1	1
FBtr0079283	CG9497-RA	0.124741	0.040144	0.0977	0.0094	-0.521271	0.812796	0.349810	1.050894	24.948652	2.755422	0.201954	1.108734	5.255675	3.595570	1	1	1	1
FBtr0303107	CG7971-RF	0.078733	0.030327	0.0408	0.0052	-0.174968	1.243302	0.417634	1.363679	15.290016	5.590799	23.917921	3.184185	8.700365	5.888030	1	1	1	1
FBtr0081251	CG13082-RA	0.108248	0.0	0.075	0.0	-0.263000	3.509477	0.744735	4.562634	105.296926	86.040467	10.650098	9.257673	3.698695	1.981640	1	1	1	1
FBtr0332133	dbo-RB	NOTEST	0.035342	NOTEST	0.0073	-1.136304	0.989081	0.358310	3.130105	17.097951	19.955809	9.643098	9.647963	11.753150	8.988300	1	1	1	1
FBtr0113477	CG6006-RC	NOTEST	0.045335	NOTEST	0.0129	-1.871245	0.937500	-0.665465	1.642871	32.744172	8.834751	12.977024	4.288016	4.414775	3.292515	1	1	1	1
FBtr0071397	CG15247-RA	NOTEST	0.04226	NOTEST	0.0105	-2.890497	1.012888	-2.087037	1.632459	18.614836	10.574274	21.634696	4.042650	2.099530	1.656625	1	1	1	1
FBtr0089291	Wnt4-RA	NOTEST	0.042754	NOTEST	0.0109	-0.697707	0.811953	0.302034	1.312102	6.273372	16.356977	3.257666	4.129372	2.929910	1.823130	0	1	1	1
FBtr0339154	GABA-B-R2-RC	0.151491	0.032697	0.1417	0.0059	-0.827619	0.539479	0.256521	2.381521	13.108827	2.659675	21.618449	2.180746	8.912225	3.777270	1	1	1	1
FBtr0343981	ATPsyndelta-RC	NOTEST	0.024513	NOTEST	0.0034	-3.519240	0.789166	-2.817938	1.131322	118.927509	23.382020	13.336053	15.480945	9.117765	7.297050	1	1	1	1
FBtr0337051	CG6293-RB	NOTEST	0.024935	NOTEST	0.0035	-1.047425	1.237465	-0.288289	1.683304	6.352315	8.130310	18.146628	17.923788	5.559675	3.987500	1	1	1	1
FBtr0076030	Klp68D-RA	NOTEST	0.013512	NOTEST	0.001	-2.255198	1.570910	1.715803	2.226716	3.961738	0.959884	22.508530	1.746584	11.681500	10.603900	0	1	1	1
FBtr0113424	CG32121-RB	NOTEST	0.003712	NOTEST	0.0001	-2.324067	1.686586	0.248122	4.774884	9.071850	95.285049	17.509093	4.613096	2.871810	2.322740	1	1	1	1
FBtr0076656	ZC3H3-RA	0.103416	0.042756	0.0683	0.011	-0.264955	0.908059	1.811449	3.265360	2.696512	3.757969	2.016784	4.738991	3.309365	3.042790	1	1	1	1
FBtr0072635	CG9119-RA	NOTEST	0.038333	NOTEST	0.0086	-1.392920	0.655623	0.169198	1.257712	44.185889	84.101779	7.271156	10.377832	7.823165	4.199990	1	1	1	1
FBtr0078926	CG14650-RA	0.10487	0.030327	0.0704	0.0052	-0.311137	1.171691	-0.104418	1.687190	1.899346	42.641532	0.525151	2.491443	10.917200	10.347500	1	1	1	1
FBtr0333265	roq-RC	NOTEST	0.025455	NOTEST	0.0037	-1.276270	1.456974	-1.185225	1.949203	77.796381	40.473774	9.192521	13.550895	10.092050	6.647690	1	1	1	1
FBtr0344326	CG31224-RB	NOTEST	0.024052	NOTEST	0.0033	-1.831816	1.175118	-0.945746	1.336136	10.866915	1.524200	19.577277	1.322711	7.205840	6.152355	0	1	1	1
FBtr0079253	CG9505-RA	0.094061	0.016938	0.0571	0.0016	-0.037072	0.806925	1.518260	2.040790	49.421623	38.980414	3.412616	3.046236	8.147575	7.529270	1	1	1	1
FBtr0335230	CG2747-RF	NOTEST	0.039006	NOTEST	0.0089	-2.219032	0.807766	-0.422777	3.211330	27.516727	1.023654	20.250998	21.802268	4.441350	2.168435	1	1	1	1
FBtr0071110	CG2258-RB	NOTEST	0.025789	NOTEST	0.0038	-1.472076	0.476603	-1.262152	0.957546	21.348309	29.158297	9.939564	16.888016	6.017975	3.804300	1	1	1	1
FBtr0308083	RyR-RJ	NOTEST	0.042524	NOTEST	0.0107	-1.993826	1.020639	0.446965	4.425759	20.847565	3.948230	19.905952	16.558367	5.655105	3.783460	1	1	1	1
FBtr0330102	fz-RC	NOTEST	0.044527	NOTEST	0.0123	-3.700291	0.746547	-0.277382	1.985903	46.773870	4.690439	14.583601	16.850167	5.635215	4.236295	0	1	1	1
FBtr0075763	Hsc70-1-RD	0.145375	0.025789	0.1316	0.0038	-0.752035	0.769057	-0.708042	2.737030	8.916592	76.931139	3.663848	4.788099	9.922240	5.446905	1	1	1	1
FBtr0084803	dan-RA	0.080721	0.044884	0.0428	0.0126	-0.098979	0.886505	1.006251	1.697190	2.896490	77.233931	3.028671	5.881643	1.983930	1.264085	1	1	1	1
FBtr0085537	Rnb-RA	0.140292	0.0	0.1231	0.0	-0.750234	0.922794	1.269172	2.385772	14.966313	0.021425	20.412952	23.644065	3.358755	2.917805	1	1	1	1
FBtr0309501	kirre-RF	NOTEST	0.035342	NOTEST	0.0073	-1.190592	0.472005	-0.430572	1.604128	58.017115	18.693962	12.649465	15.087354	6.586975	5.199400	1	1	1	1
FBtr0301312	plh-RB	NOTEST	0.040256	NOTEST	0.0095	-1.335822	1.089713	0.527875	1.140671	4.355038	44.701617	4.622502	22.719932	3.898020	1.401825	1	1	1	1
FBtr0083335	nonA-l-RA	NOTEST	0.022182	NOTEST	0.0028	-1.773868	1.369675	-0.929867	2.315259	66.491514	24.773901	16.857371	20.950298	11.229500	10.565650	0	1	1	1
FBtr0306541	CG11374-RC	NOTEST	0.014577	NOTEST	0.0012	-3.078101	1.319261	2.397983	2.438459	6.087736	51.240768	4.912407	7.540876	3.371770	2.259010	1	1	1	1
