geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0300453	CG32638-RB	0.14485	0.033998	0.1306	0.0067	-0.751496	0.533460	-0.229119	0.641947	5.336940	8.599462	17.610810	17.514904	23.700100	41.121800	1	1	1	1
FBtr0072908	CG1275-RD	0.143249	0.036087	0.1282	0.0077	-0.777559	0.641076	-0.261211	1.595538	51.583407	11.132669	12.249845	0.478706	14.593050	19.891200	1	1	1	1
FBtr0300451	CG31205-RB	NOTEST	0.014133	NOTEST	0.0011	-1.901048	1.287545	-1.753548	1.452936	30.965719	55.182117	1.626997	2.708020	22.584800	65.294600	1	1	1	1
FBtr0076705	Rab19-RA	NOTEST	0.013512	NOTEST	0.001	-1.526078	1.762597	-0.064169	2.219932	12.384033	0.445944	20.589639	0.031854	12.040400	13.387300	0	1	1	1
FBtr0076493	eIF4E1-RF	0.137591	0.031288	0.1181	0.0055	-0.658639	0.988387	0.326107	2.753297	48.401726	83.704259	2.407537	4.308147	21.699650	24.794100	1	1	1	1
FBtr0343537	Usp30-RB	NOTEST	0.049053	NOTEST	0.0155	-3.926392	0.227297	-1.556416	0.406357	15.207507	83.798725	5.774088	4.303706	12.831600	14.548600	0	1	1	1
FBtr0078730	CG2182-RA	0.102715	0.015004	0.0677	0.0013	-0.283820	1.641767	0.055538	2.277402	3.031846	57.477758	0.671434	2.427728	15.125900	21.234350	0	1	1	1
FBtr0111280	CG3107-RC	0.106518	0.044527	0.0724	0.0123	-0.248158	0.758552	0.117116	1.627062	5.183467	3.837522	22.798140	23.114874	13.674850	16.087000	1	1	1	1
FBtr0076270	galla-2-RA	0.096314	0.044016	0.0598	0.0118	-0.177442	1.043950	0.244496	1.758175	95.395244	21.466273	18.477753	19.399913	16.256050	20.519950	1	1	1	1
FBtr0339709	wtrw-RD	NOTEST	0.014577	NOTEST	0.0012	-2.171396	1.946222	-0.186608	3.573217	93.725444	6.605638	3.204183	17.999318	22.864800	39.188450	1	1	1	1
FBtr0339099	Snp-RD	NOTEST	0.039858	NOTEST	0.0093	-4.476570	1.193250	-3.561966	1.632034	77.292660	17.981793	9.532171	6.351161	17.530300	26.324400	1	1	1	1
FBtr0071771	Vps35-RB	0.139165	0.044159	0.1214	0.012	-0.630777	0.870674	-0.293857	1.749648	16.907322	5.719644	17.081204	18.496982	14.306200	17.844600	1	1	1	1
FBtr0071653	Egfr-RA	NOTEST	0.021821	NOTEST	0.0027	-2.406288	1.579842	0.038812	3.126507	48.721672	48.712092	6.983819	4.293229	17.465750	24.917250	1	1	1	1
FBtr0084847	tobi-RA	0.137928	0.045142	0.1186	0.0128	-0.867904	-0.158856	-0.769407	0.908933	90.789014	22.966514	15.650903	12.126652	12.822450	15.294700	1	1	1	1
FBtr0074243	CG9911-RA	NOTEST	0.009636	NOTEST	0.0005	-3.325839	2.025235	0.162355	2.964351	9.165386	66.298214	0.939122	3.656676	16.788100	22.784600	1	1	1	1
FBtr0301447	loj-RE	0.133659	0.042756	0.112	0.011	-0.750647	0.359311	-0.512602	0.480396	6.752288	71.498298	6.269657	4.859828	20.865300	22.096250	1	1	1	1
FBtr0085821	kek6-RA	0.08692	0.010249	0.0496	0.0006	-0.058167	2.194904	0.659565	2.857897	27.998355	17.801386	21.450246	20.868650	22.144650	20.478500	1	1	1	1
FBtr0082265	pug-RA	NOTEST	0.044621	NOTEST	0.0124	-2.527490	0.957005	-1.681140	2.390764	2.074911	2.541982	14.858351	3.849817	14.279500	24.436100	1	1	1	1
FBtr0080883	her-RA	0.156967	0.017474	0.1517	0.0017	-0.874153	1.323895	-0.107850	1.382325	5.752545	80.859437	5.404158	4.711855	14.946200	14.896900	1	1	1	1
FBtr0072912	CG5707-RA	0.079155	0.034557	0.0412	0.007	0.097195	0.983388	2.034011	4.696054	30.613425	1.268165	1.720946	1.550741	15.481250	17.616800	1	1	1	1
FBtr0339124	ACC-RF	0.108248	0.022182	0.075	0.0028	-0.289444	0.774592	0.279771	2.440562	8.974857	86.670435	5.976446	4.122712	12.561850	12.340700	1	1	1	1
FBtr0113744	RpL15-RC	NOTEST	0.033524	NOTEST	0.0063	-1.838569	0.415140	0.964812	1.657201	2.476237	0.278385	22.851931	0.903390	20.038300	24.939550	1	1	1	1
FBtr0302149	Mlf-RE	0.146031	0.022182	0.1325	0.0028	-0.746638	1.229550	-0.109673	2.648082	1.764360	68.776527	3.119024	3.736747	14.509900	12.291200	1	1	1	1
FBtr0078423	ORMDL-RA	NOTEST	0.04386	NOTEST	0.0117	-1.102647	0.643178	-0.183935	2.304004	4.997413	3.825535	4.720825	3.787375	12.531250	16.435300	1	1	1	1
FBtr0305315	CG1965-RB	NOTEST	0.030643	NOTEST	0.0053	-1.064497	1.157286	-0.010419	1.659772	43.582497	36.641413	0.930737	2.692655	14.280800	13.409050	1	1	1	1
FBtr0300484	lolal-RF	NOTEST	0.010249	NOTEST	0.0006	-2.279335	1.530116	-1.544242	3.930213	55.673911	74.515140	4.154833	4.374166	16.033900	21.620450	1	1	1	1
FBtr0331566	CG4825-RB	0.144126	0.032697	0.1297	0.0059	-0.748261	1.102724	-0.531782	1.489033	11.184472	8.490118	17.589632	17.439400	19.351200	21.649100	1	1	1	1
FBtr0300693	CG11073-RB	NOTEST	0.034557	NOTEST	0.007	-1.201832	0.766292	0.255815	0.869405	31.597110	37.795614	5.383932	4.270237	14.659050	18.452600	1	1	1	1
FBtr0345422	Eip55E-RB	0.094166	0.044142	0.0572	0.0119	-0.093498	0.828812	-0.039700	1.601365	14.334668	5.240831	20.353832	18.404473	14.368450	18.089800	1	1	1	1
FBtr0333701	CG11155-RD	0.118461	0.036386	0.0884	0.0078	-0.389656	0.940972	1.275132	2.204733	54.009326	6.553738	5.054634	6.199522	22.021150	10.806750	0	1	1	1
FBtr0334661	CG33521-RG	0.075301	0.01179	0.0375	0.0008	0.179180	1.108381	1.068789	3.967608	1.892172	0.059684	20.630574	0.344647	14.352850	10.380500	1	1	1	1
FBtr0084707	CG7016-RA	0.115207	0.049426	0.0845	0.0157	-0.311239	0.692788	0.102059	0.833957	77.122537	82.210987	6.689319	6.926842	17.106700	25.155050	1	1	1	1
