geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0078730	CG2182-RA	0.102715	0.015004	0.0677	0.0013	-0.283820	1.641767	0.055538	2.277402	3.031846	57.477758	0.671434	2.427728	15.125900	21.234350	0	1	1	1
FBtr0339099	Snp-RD	NOTEST	0.039858	NOTEST	0.0093	-4.476570	1.193250	-3.561966	1.632034	77.292660	17.981793	9.532171	6.351161	17.530300	26.324400	1	1	1	1
FBtr0300451	CG31205-RB	NOTEST	0.014133	NOTEST	0.0011	-1.901048	1.287545	-1.753548	1.452936	30.965719	55.182117	1.626997	2.708020	22.584800	65.294600	1	1	1	1
FBtr0347603	Rh6-RC	0.143249	0.043683	0.1279	0.0115	-0.717630	0.966044	-0.422577	2.168447	19.459139	16.721912	10.027989	9.130624	326.374000	592.936000	1	1	1	1
FBtr0073518	rho-4-RB	0.151491	0.031618	0.1417	0.0056	-0.869283	1.425220	-0.340441	1.977045	92.294694	94.034497	8.877825	11.348487	4.391560	7.568805	1	1	1	1
FBtr0080768	Gli-RD	NOTEST	0.048668	NOTEST	0.0152	-2.427951	0.732564	-0.908495	1.639590	9.833234	85.715141	7.250594	10.039557	3.695930	8.260390	1	1	1	1
FBtr0085210	CG5646-RA	NOTEST	0.015004	NOTEST	0.0013	-5.054097	1.141263	-3.241913	4.120050	15.523270	24.599960	8.970939	13.076271	10.390250	21.610650	1	1	1	1
FBtr0088632	CG13741-RA	NOTEST	0.042756	NOTEST	0.011	-1.489045	0.666186	-0.220435	1.332060	41.848747	69.939926	22.942568	3.141047	1.275495	4.028155	1	1	1	1
FBtr0080930	Cse1-RA	0.083576	0.033074	0.0457	0.0061	-0.044744	1.024129	1.646673	1.419159	60.483690	21.284159	8.800887	13.710468	6.308635	12.087200	1	1	1	1
FBtr0074875	SREBP-RC	0.076646	0.034557	0.0387	0.007	0.263745	1.343903	0.414226	1.839985	13.091861	96.977154	6.585593	6.965364	51.185850	75.517200	1	1	1	1
FBtr0073278	Faa-RA	NOTEST	0.027332	NOTEST	0.0042	-1.125511	1.826142	0.613551	2.429446	31.311395	70.989235	1.367309	8.595559	16.180600	24.046700	1	1	1	1
FBtr0082648	Dtg-RA	NOTEST	0.038029	NOTEST	0.0085	-2.383555	0.979841	-0.397889	2.973144	13.031453	81.932194	13.868183	8.412083	5.855535	14.861900	0	1	1	1
FBtr0082851	Hrb87F-RA	NOTEST	0.027683	NOTEST	0.0043	-1.053409	1.572422	2.359048	3.973777	4.266152	1.942542	4.457785	3.390935	15.213700	22.817450	0	1	1	1
FBtr0079782	rost-RA	NOTEST	0.020616	NOTEST	0.0024	-1.911214	1.557125	3.169343	3.266815	26.174424	33.432782	0.468584	1.466357	35.656200	55.506100	1	1	1	1
FBtr0076001	CAH2-RA	0.076646	0.003712	0.0388	0.0001	-0.062603	0.225171	2.734838	2.934992	1.229716	0.010996	0.186259	0.256796	21.738500	34.149250	1	1	1	1
FBtr0079606	CG7778-RA	NOTEST	0.047923	NOTEST	0.0147	-1.906290	0.838105	-1.778697	0.948492	21.885380	77.083514	8.729964	8.217579	24.412400	36.314600	1	1	1	1
FBtr0077326	Obp19c-RA	NOTEST	0.0	NOTEST	0.0	-4.370396	2.707742	-0.532711	3.877136	106.170001	0.463744	10.137413	23.521548	1.167415	2.602555	1	1	1	1
FBtr0084035	CG7044-RA	0.159825	0.035983	0.1569	0.0076	-0.982594	1.097649	-0.316102	3.362133	103.859572	95.124595	10.433866	11.567221	5.209255	9.638810	0	1	1	1
FBtr0076714	CG7194-RA	NOTEST	0.03446	NOTEST	0.0069	-2.380159	1.016698	-1.777537	1.223772	5.326582	18.584383	15.249787	13.441472	1.316145	3.353365	1	1	1	1
FBtr0290323	net-RB	0.093086	0.024513	0.0561	0.0034	-0.369343	1.218710	0.373476	2.104188	10.676292	12.620270	19.259826	18.824408	6.091050	9.239290	1	1	1	1
FBtr0077442	CG15436-RA	NOTEST	0.023417	NOTEST	0.0031	-5.034777	1.129352	-1.134865	3.436579	44.099258	67.653696	22.852873	2.305444	1.975420	3.069495	1	1	1	1
FBtr0082735	CG11686-RA	0.090974	0.01179	0.0537	0.0008	0.044921	2.369613	2.926332	4.282510	53.704495	17.172980	4.203402	4.732444	27.688000	57.102550	1	1	1	1
FBtr0086982	CG15611-RA	0.079452	0.017474	0.0414	0.0017	-0.227961	1.966120	0.755299	2.075173	37.312972	25.770899	1.803930	0.569091	4.952730	9.492285	1	1	1	1
FBtr0089546	CG5002-RA	NOTEST	0.038333	NOTEST	0.0086	-8.858048	0.660678	2.271035	1.831871	120.593555	90.155033	11.884993	10.940110	5.089500	10.899950	0	1	1	1
FBtr0306351	Mvl-RG	0.085102	0.044016	0.0478	0.0118	0.115388	0.814089	2.213187	1.837421	1.890454	84.331302	1.207549	1.339444	18.368650	30.818950	1	1	1	1
FBtr0077705	CG31689-RC	NOTEST	0.017474	NOTEST	0.0017	-4.135048	1.346878	0.031308	2.236236	70.487496	91.619515	7.408555	5.093629	33.103900	51.482100	1	1	1	1
FBtr0082265	pug-RA	NOTEST	0.044621	NOTEST	0.0124	-2.527490	0.957005	-1.681140	2.390764	2.074911	2.541982	14.858351	3.849817	14.279500	24.436100	1	1	1	1
FBtr0088306	trsn-RA	NOTEST	0.0455	NOTEST	0.013	-5.236327	0.390311	-2.252706	0.704136	26.963577	75.963359	0.717333	18.076791	5.902155	10.975400	1	1	1	1
FBtr0070809	CG15771-RA	0.08848	0.020616	0.0513	0.0024	-0.247550	0.977175	-0.099878	2.118323	25.834434	67.243812	1.326602	3.842126	24.530200	33.434450	1	1	1	1
FBtr0083183	spn-E-RA	NOTEST	0.012733	NOTEST	0.0009	-1.287735	1.617283	0.511872	1.927334	16.943998	5.407701	18.125119	18.306804	0.682460	1.751435	0	1	1	1
FBtr0087747	CG4716-RA	NOTEST	0.012733	NOTEST	0.0009	-1.428335	2.276678	-1.156895	2.916925	3.144176	1.224396	23.326996	1.914895	424.126000	695.892500	1	1	1	1
FBtr0300123	bnl-RC	0.11467	0.0	0.0838	0.0	-0.374205	3.224353	1.104452	3.998308	6.636733	41.422379	5.891506	13.976061	3.471670	12.502650	1	1	1	1
FBtr0072127	gbb-RA	0.125278	0.028027	0.0991	0.0044	-0.521547	1.186604	0.188084	1.316677	11.772700	1.792392	3.272352	3.279365	17.105150	25.359850	1	1	1	1
FBtr0083354	CG14907-RA	0.092764	0.019923	0.0558	0.0022	-0.072346	1.211040	0.980426	2.452657	65.319078	35.491090	7.636240	10.593814	10.195200	38.168150	1	1	1	1
FBtr0299905	CG6675-RB	NOTEST	0.025112	NOTEST	0.0036	-2.147400	1.566158	-0.254903	2.090761	28.413602	78.198913	11.850260	11.268504	2.467780	3.810680	1	1	1	1
FBtr0077545	CG3604-RA	0.078042	0.021564	0.0401	0.0026	0.189789	1.658872	2.574312	2.503276	12.209333	20.737830	6.955772	10.092637	14.889650	35.950300	1	1	1	1
FBtr0081005	dl-RA	NOTEST	0.014133	NOTEST	0.0011	-2.771955	1.739361	-1.511182	3.001347	43.106119	72.095960	2.148739	3.302491	1.527795	3.353770	1	1	1	1
FBtr0082771	Lip3-RA	NOTEST	0.015735	NOTEST	0.0014	-1.366563	1.370788	0.870130	1.922413	7.325258	1.850155	0.553991	2.235388	0.364333	1.160745	0	1	1	1
FBtr0084913	CG14545-RA	NOTEST	0.044016	NOTEST	0.0118	-1.757715	0.583887	-0.392614	0.759992	66.656878	22.433888	13.015930	21.409568	0.039630	2.012360	0	1	0	1
FBtr0082898	CG9631-RA	NOTEST	0.021143	NOTEST	0.0025	-1.980252	1.581808	-0.362135	1.769297	47.398906	6.943474	6.483646	4.803515	13.136800	18.705750	1	1	1	1
FBtr0344026	CG42394-RD	NOTEST	0.014133	NOTEST	0.0011	-1.731724	0.311697	-1.094910	3.456908	9.809723	0.035971	1.363474	0.336590	9.430120	17.268800	1	1	1	1
FBtr0113378	CG30460-RE	NOTEST	0.030643	NOTEST	0.0053	-1.709652	1.231381	0.035263	1.413731	19.169136	23.719261	9.849308	4.266071	4.185250	6.549635	1	1	1	1
FBtr0076476	CG3448-RB	NOTEST	0.047923	NOTEST	0.0148	-2.102757	0.907957	0.916585	1.905105	25.103374	71.903856	17.877748	13.285411	3.913000	14.399850	1	1	1	1
FBtr0071269	Moe-RD	NOTEST	0.044159	NOTEST	0.012	-2.791208	0.782881	-0.349324	4.881925	2.478007	4.419490	15.644278	16.941802	92.616550	151.705500	1	1	1	1
FBtr0078008	Nnf1b-RA	NOTEST	0.031288	NOTEST	0.0055	-1.803201	1.420589	1.061528	1.496931	1.555421	96.145374	2.909799	2.794874	0.337319	1.237180	0	1	1	1
FBtr0302711	CG42673-RD	NOTEST	0.009636	NOTEST	0.0005	-1.079090	2.483115	-0.598774	2.670072	7.348062	13.475745	6.623721	4.267907	3.464095	6.699005	1	1	1	1
FBtr0088331	Or46a-RB	NOTEST	0.01179	NOTEST	0.0008	-5.177098	1.812787	-0.236486	2.404555	89.266570	10.915984	3.668621	7.150903	0.049291	2.148850	0	1	0	1
FBtr0273277	CG5535-RC	NOTEST	0.021821	NOTEST	0.0027	-2.236267	1.837910	-0.556267	2.795517	11.706312	5.540437	20.363259	16.595850	3.410585	7.865425	1	1	1	1
FBtr0085679	CG9717-RA	0.095156	0.0	0.0584	0.0	-0.154349	2.826314	0.716763	5.803843	40.526608	16.145583	3.294673	21.609138	9.169230	21.766450	0	1	1	1
FBtr0089223	PlexA-RA	0.146719	0.003712	0.1336	0.0001	-0.782662	3.180937	1.542855	3.466522	3.703814	43.006582	3.850708	3.932130	27.853950	44.106100	1	1	1	1
FBtr0078484	CG7130-RA	NOTEST	0.007274	NOTEST	0.0003	-1.198584	2.850508	1.392843	3.023854	54.218947	32.835827	13.132158	12.998378	2.890440	19.498100	1	1	1	1
FBtr0082259	Irp-1B-RA	NOTEST	0.012733	NOTEST	0.0009	-2.703073	1.588933	-1.554456	1.817920	43.798307	4.026720	4.161506	4.822114	29.610800	42.912650	1	1	1	1
FBtr0079200	Arpc4-RA	0.101965	0.042978	0.0665	0.0111	-0.128517	0.805904	0.431917	1.636842	1.522403	73.352952	2.149839	4.509849	11.171450	19.628500	1	1	1	1
FBtr0344740	Skp2-RE	NOTEST	0.013512	NOTEST	0.001	-2.689448	1.656879	-0.263698	1.891875	105.422396	56.889079	10.675470	13.861924	1.422290	3.407575	1	1	1	1
FBtr0089656	JhI-21-RB	NOTEST	0.023417	NOTEST	0.0031	-4.005148	1.132031	0.874532	2.902397	35.185860	121.236755	17.409531	10.945945	17.255700	29.956600	0	1	1	1
FBtr0332979	CG18869-RB	NOTEST	0.049797	NOTEST	0.016	-1.911041	0.695860	-0.809685	1.131038	94.149202	10.606745	11.668876	6.185141	0.211136	2.103820	0	1	0	1
FBtr0273263	Mmp1-RC	NOTEST	0.023784	NOTEST	0.0032	-5.346517	1.030461	-1.953303	5.038744	34.925769	82.229321	14.470495	10.003185	3.433235	14.271400	1	1	1	1
FBtr0079106	GluRIIA-RI	NOTEST	0.021143	NOTEST	0.0025	-1.140400	1.417825	1.841796	3.494817	75.967121	93.622018	6.310604	3.903994	2.760630	5.904235	0	1	1	1
FBtr0339769	CG15890-RB	0.101965	0.015735	0.0667	0.0014	-0.341974	1.770956	2.490251	1.832219	67.163307	81.920653	5.676038	10.141753	4.797275	7.113625	1	1	1	1
FBtr0343517	Mur2B-RC	NOTEST	0.018191	NOTEST	0.0018	-2.016140	1.968716	-1.798042	2.498561	90.968538	88.344382	4.321696	3.029438	1.546925	3.358620	1	1	1	1
FBtr0075952	SmD1-RA	NOTEST	0.042756	NOTEST	0.011	-1.944707	0.598038	-0.985853	1.604871	18.830112	15.420651	20.239979	19.028212	10.316300	15.521500	1	1	1	1
FBtr0078962	CG12581-RA	NOTEST	0.034766	NOTEST	0.0071	-1.391350	1.065590	-0.348138	1.344693	26.870481	10.209014	1.602943	2.974437	5.750825	11.356500	1	1	1	1
FBtr0077459	CG15431-RA	NOTEST	0.043683	NOTEST	0.0115	-1.410960	0.863466	0.094668	3.011618	36.901135	52.497532	2.299404	11.154917	11.309900	19.450650	0	1	1	1
FBtr0085414	dgt6-RA	NOTEST	0.049797	NOTEST	0.016	-2.779584	0.798951	-0.440913	0.861751	99.311528	7.218793	11.922153	19.878265	0.794609	1.408365	0	1	1	1
FBtr0083581	CG7675-RA	NOTEST	0.049214	NOTEST	0.0156	-2.286120	0.950545	-0.007743	3.497774	5.085667	9.812898	5.110327	3.314404	13.487550	50.550250	1	1	1	1
FBtr0336486	CG14906-RC	0.093008	0.045743	0.056	0.0131	-0.099821	0.620236	2.747946	1.253430	87.724979	77.243362	7.399807	9.507054	4.138200	13.083200	1	1	1	1
FBtr0088191	Listericin-RA	0.080518	0.01179	0.0426	0.0008	0.026953	2.362178	1.421847	2.806922	25.786415	21.781392	23.770863	20.586881	101.971750	299.532500	1	1	1	1
FBtr0072529	Gk1-RA	NOTEST	0.025112	NOTEST	0.0036	-1.382875	1.432186	-1.309505	1.743456	2.972779	66.776613	3.899781	5.917793	48.052950	69.329800	1	1	1	1
FBtr0300453	CG32638-RB	0.14485	0.033998	0.1306	0.0067	-0.751496	0.533460	-0.229119	0.641947	5.336940	8.599462	17.610810	17.514904	23.700100	41.121800	1	1	1	1
FBtr0087494	CG30197-RA	NOTEST	0.042978	NOTEST	0.0111	-1.625239	0.950999	-1.240171	1.479183	52.596421	7.165985	1.486625	3.928732	190.425500	350.739500	1	1	1	1
FBtr0077008	Ldh-RA	NOTEST	0.003712	NOTEST	0.0001	-1.713769	1.880868	1.482992	2.224363	16.208865	35.501954	19.853359	12.414000	2.138445	14.940020	1	1	1	1
FBtr0071933	CG2852-RA	NOTEST	0.047375	NOTEST	0.0143	-1.468792	0.701360	-1.167065	2.922113	3.284031	7.737794	2.641728	3.632499	118.284500	163.965000	1	1	1	1
FBtr0071096	RpS14b-RA	0.092402	0.033869	0.0553	0.0065	-0.117080	1.242512	1.141776	4.199087	37.187508	4.764955	2.436961	3.787033	100.310500	153.282500	1	1	1	1
FBtr0334496	CG9757-RB	NOTEST	0.046723	NOTEST	0.0138	-1.600666	0.770973	1.736399	1.259419	3.517595	1.733989	23.165972	20.774867	0.192374	3.826280	0	1	0	1
FBtr0071653	Egfr-RA	NOTEST	0.021821	NOTEST	0.0027	-2.406288	1.579842	0.038812	3.126507	48.721672	48.712092	6.983819	4.293229	17.465750	24.917250	1	1	1	1
FBtr0076410	CG6749-RA	0.124366	0.0	0.0966	0.0	-0.460436	3.240574	1.072996	3.444000	3.077348	67.409848	3.109338	6.941916	2.271340	5.544720	1	1	1	1
FBtr0083751	CG5835-RA	NOTEST	0.005754	NOTEST	0.0002	-3.720008	1.678406	-2.168353	3.102888	24.154276	92.598466	1.971199	3.945520	7.676535	14.900800	1	1	1	1
FBtr0075775	Frl-RA	NOTEST	0.029125	NOTEST	0.0048	-1.479749	0.794967	-0.948665	2.877765	47.255030	85.633415	3.400414	4.698797	0.959593	3.279435	0	1	1	1
FBtr0099990	kay-RB	0.128258	0.044379	0.104	0.0122	-0.591940	0.962429	0.352542	2.861916	86.844781	105.318866	7.899163	7.930409	6.050800	16.349600	1	1	1	1
