geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0347285	CG33939-RB	0.009138	0.040674	0.0005	0.0097	2.314766	1.018579	2.623401	3.240230	9.033293	35.915875	2.974114	1.200461	8.808735	6.119495	1	1	1	1
FBtr0088422	Pfk-RB	0.008325	0.0	0.0004	0.0	2.594640	3.419732	2.660043	3.563821	7.072845	54.020371	5.164728	5.836708	46.248050	41.121250	0	1	1	1
FBtr0331842	CG7564-RB	0.019809	0.01179	0.0023	0.0008	1.393129	1.461249	3.673767	3.214461	59.268394	76.103618	2.539358	3.186702	28.147050	26.338500	1	0	1	1
FBtr0089050	Ady43A-RA	0.023063	0.0	0.0031	0.0	0.778586	1.736664	1.285436	4.243164	23.273527	0.368183	1.092425	0.570176	20.199350	11.391500	1	1	1	1
FBtr0078015	dock-RC	0.047831	0.010249	0.0146	0.0006	0.601219	2.396552	1.093065	3.099360	14.908906	13.785725	21.300949	20.518795	29.119200	26.251050	1	1	1	1
FBtr0082568	CG4115-RA	0.020077	0.021821	0.0024	0.0027	1.717497	1.461855	1.988207	2.163770	81.827563	30.331646	4.852461	0.818407	5.510535	5.453580	1	1	1	1
FBtr0077334	obst-A-RA	0.024682	0.01179	0.0036	0.0008	1.214282	1.311068	3.370801	2.240218	60.847267	65.595480	4.729837	4.702554	7.223970	6.335900	1	1	1	1
FBtr0083361	Scp2-RA	0.025698	0.047923	0.0039	0.0148	1.529934	0.854867	3.613207	3.016919	4.366789	1.944785	4.994291	3.296978	296.295000	241.021500	1	0	1	1
FBtr0329987	tadr-RC	0.006281	0.007274	0.0002	0.0003	3.536237	2.993807	5.323922	3.987912	19.478312	22.936606	19.512007	20.809731	19.070650	13.709400	1	1	1	1
FBtr0331960	Pkc53E-RF	0.030821	0.025112	0.0056	0.0036	1.486684	1.273573	1.628674	1.749647	14.385540	36.396102	19.995315	19.642889	126.786500	84.904450	1	1	1	1
FBtr0345602	CG6983-RB	0.008325	0.037722	0.0004	0.0084	2.797300	1.147817	3.273548	3.091230	40.994188	87.002941	23.835812	22.224920	225.747000	135.032500	1	1	1	1
FBtr0304001	Rbp1-like-RB	0.042034	0.027683	0.0113	0.0043	0.997224	1.740865	4.289791	6.032368	3.380519	4.173456	2.604012	3.380535	69.054250	61.960900	0	1	1	1
FBtr0075457	CG5027-RA	0.0	0.005754	0.0	0.0002	1.991784	1.987412	3.758846	5.783120	0.103992	0.108856	23.369806	23.952414	19.243200	15.650050	1	1	1	1
FBtr0071091	spidey-RA	0.026354	0.014577	0.0041	0.0012	1.269775	2.443421	2.609693	3.191411	23.916861	8.324326	0.797373	2.046858	28.310500	24.461850	1	0	1	1
FBtr0083784	ort-RA	0.031077	0.033524	0.0057	0.0063	1.800815	1.397483	5.709664	2.538644	3.425594	8.127227	20.680585	5.452794	10.363095	8.885225	1	1	1	1
FBtr0299698	prom-RB	0.0	0.028574	0.0	0.0046	4.609234	1.912637	5.203864	2.244600	24.064535	19.208633	19.892604	21.780184	11.896220	8.519690	1	1	1	1
FBtr0342673	CG11099-RB	0.011853	0.011106	0.0008	0.0007	2.166575	2.035948	2.198071	3.088602	25.866064	91.633174	22.458320	0.153622	45.975850	30.044000	1	1	1	1
FBtr0084214	PyK-RA	0.008325	0.007274	0.0004	0.0003	1.827000	2.490021	1.967390	3.659387	11.545050	1.441287	23.198491	0.485298	72.089950	40.237450	1	1	1	1
FBtr0080336	CG17211-RA	0.041811	0.022646	0.0112	0.0029	0.572944	1.796396	2.210841	2.972708	63.158033	77.227902	5.479468	6.786683	7.151555	2.834145	1	1	1	1
FBtr0083139	CG6654-RA	0.021654	0.044159	0.0027	0.012	0.561997	0.983410	0.950175	2.091090	15.910004	1.950819	21.710516	21.350303	16.096950	14.640750	1	1	1	1
FBtr0072150	Fmo-1-RA	0.010993	0.012733	0.0007	0.0009	2.452105	2.286681	3.193554	5.244070	16.325647	1.277215	21.691025	21.302825	9.782175	8.107080	1	1	1	1
FBtr0077323	CG15456-RA	0.036062	0.019089	0.0079	0.002	0.371748	1.537528	0.710211	3.568831	79.728889	12.806762	20.035066	19.531696	8.968685	7.821715	1	1	1	1
FBtr0080095	CG18302-RA	0.023613	0.014133	0.0033	0.0011	0.842830	1.625425	1.113380	1.825720	89.942433	64.074193	14.795599	13.493449	7.026815	4.072785	1	1	1	1
FBtr0071883	blw-RA	0.038686	0.044527	0.0095	0.0123	0.839667	0.407415	1.199233	1.948965	15.993146	0.599953	21.155691	22.232688	171.549000	142.799000	1	1	1	1
FBtr0074695	CG7990-RA	0.040464	0.014133	0.0106	0.0011	1.100241	1.950423	2.162348	2.510717	23.432038	23.542595	23.754203	23.359100	48.688100	32.047350	0	1	1	1
FBtr0301297	CG9775-RD	0.049428	0.044621	0.0157	0.0124	0.724257	0.611428	2.189698	1.399672	1.318892	1.523346	2.035689	2.840518	33.913350	27.597200	0	1	1	1
FBtr0076688	CdsA-RA	0.0	0.009636	0.0	0.0005	3.121981	2.213356	3.464468	2.565582	2.144389	1.367852	22.329153	21.467452	449.531000	289.796500	1	1	1	1
FBtr0083358	CG10340-RA	0.010993	0.016938	0.0007	0.0016	2.281104	1.833208	3.116521	3.589736	10.800447	2.970485	21.374389	19.838119	22.869800	22.018350	1	1	1	1
FBtr0074949	Gbeta76C-RA	0.0	0.0	0.0	0.0	3.344613	3.770627	4.069468	5.844060	1.292355	1.255141	22.507284	23.470720	203.973000	181.855000	1	1	1	1
FBtr0310444	CG1628-RC	0.009138	0.01179	0.0005	0.0008	1.841132	1.837206	2.361944	2.857470	94.810469	94.710906	11.581165	11.627356	41.231850	30.451850	1	1	1	1
FBtr0299796	CG42329-RA	0.014986	0.04386	0.0013	0.0117	2.065883	1.234251	2.859916	1.749589	29.226736	24.963113	4.019053	23.962817	8.976235	5.947255	1	1	1	1
FBtr0302409	CG17691-RE	0.032454	0.007274	0.0062	0.0003	1.233034	2.302880	2.053953	2.763293	1.471257	6.351261	2.968954	3.233749	173.692000	168.376500	1	1	1	1
FBtr0073294	DOR-RD	0.020077	0.029125	0.0024	0.0048	1.036400	1.255706	1.350065	2.346931	47.438882	57.515836	3.672974	4.693020	34.804700	23.707000	1	1	1	1
FBtr0305965	CG14661-RB	0.011853	0.016399	0.0008	0.0015	1.696927	2.180730	3.640642	2.898154	0.038293	15.823626	0.407128	21.677513	301.748000	270.165500	1	1	1	1
FBtr0111188	CG40486-RB	0.014986	0.024513	0.0013	0.0034	2.072742	0.691995	2.076449	0.931742	29.434264	58.276821	19.906341	14.082076	34.723550	23.086500	1	1	1	1
FBtr0088438	Pka-R2-RB	0.018307	0.039006	0.002	0.0089	1.160533	0.759793	3.587983	4.740092	7.732762	8.447341	6.636006	5.164434	72.014000	68.330100	0	1	1	1
FBtr0110906	Ekar-RB	0.035982	0.028027	0.0078	0.0044	1.178490	0.905062	3.801612	3.997514	1.765070	0.689705	3.022559	1.884863	29.150950	22.607650	1	1	1	1
FBtr0084853	CG10553-RA	0.014986	0.024935	0.0013	0.0035	1.771382	1.542306	5.311366	2.726679	0.991317	4.324544	21.638148	19.011628	45.730250	39.123150	1	1	1	1
FBtr0339237	CG11221-RB	0.017147	0.035056	0.0017	0.0072	1.506694	1.233837	2.559044	1.532097	10.588502	35.538451	7.683231	8.750832	15.905650	10.887600	1	1	1	1
FBtr0072162	CG11388-RA	0.008325	0.0	0.0004	0.0	2.541877	3.503890	3.477205	3.965109	14.830567	0.704310	22.502331	23.291614	37.200500	28.570050	1	1	1	1
FBtr0088333	Hdc-RA	0.007493	0.024052	0.0003	0.0033	2.124631	1.609469	3.621197	2.479027	0.931442	15.516106	22.665911	21.987982	16.326400	13.726800	1	1	1	1
FBtr0083179	alpha-Man-IIb-RA	0.021208	0.028867	0.0026	0.0047	2.015102	1.499976	3.336454	3.447544	1.948901	0.781992	20.920636	21.856396	20.101950	13.018900	1	1	1	1
FBtr0084139	CG6656-RA	0.028909	0.008746	0.0049	0.0004	1.792507	2.973948	2.092563	4.382467	18.933727	2.521767	21.763221	3.451183	65.264250	55.888750	1	1	1	1
FBtr0073362	CG7509-RA	0.034291	0.019923	0.0071	0.0022	1.058486	1.415064	1.760877	3.069513	10.869587	7.547055	17.646485	16.723445	24.864650	14.657350	1	1	1	1
FBtr0308238	CG7582-RB	0.034291	0.030065	0.0071	0.0051	0.557503	1.134304	1.797002	2.312721	14.981374	39.126637	21.318573	20.680707	19.640150	11.636050	1	1	1	1
FBtr0100009	drd-RA	0.023507	0.021821	0.0032	0.0027	1.589715	1.768460	2.505336	1.960814	76.338045	95.455010	8.338006	7.762962	8.954555	5.215435	1	1	1	1
FBtr0334606	gish-RM	0.039267	0.028574	0.0098	0.0046	1.099842	1.366979	3.505262	2.925208	65.721015	84.910479	6.643530	6.935961	62.312600	50.665300	1	1	1	1
FBtr0331658	Ndae1-RD	0.0	0.032412	0.0	0.0058	4.035417	1.022818	4.759526	2.362601	12.372584	4.034207	22.627579	21.779620	5.972500	3.164125	1	1	1	1
FBtr0074216	UQCR-14-RA	0.008325	0.003712	0.0004	0.0001	3.203238	2.309501	4.168936	5.165520	17.977933	1.581157	21.890000	22.908619	401.671000	360.183000	0	1	1	1
FBtr0075424	Cpr72Ec-RA	0.004004	0.0	0.0001	0.0	2.445545	2.887158	5.366279	3.963556	0.093761	0.878558	0.714568	1.464665	97.797850	65.487400	1	1	1	1
FBtr0076648	GAPsec-RA	0.037798	0.047375	0.0089	0.0143	-0.003795	0.533885	5.756573	3.377954	80.145521	1.418554	4.858311	21.862600	6.302085	6.249185	1	1	1	1
FBtr0084949	boss-RA	0.0	0.0	0.0	0.0	3.823085	3.256157	5.958005	5.588983	1.265728	0.683369	23.357817	0.102609	58.675150	40.996450	1	1	1	1
FBtr0088471	trpl-RA	0.00999	0.033998	0.0006	0.0067	2.006272	1.265368	3.273816	2.038453	75.904231	25.730212	9.337808	9.397158	400.432000	249.907000	1	1	1	1
FBtr0344849	Cyt-c-p-RB	0.010993	0.045335	0.0007	0.0129	2.364729	0.647835	2.994673	1.755050	21.672860	12.326727	23.148381	20.584163	459.191500	357.466500	1	0	1	1
FBtr0332631	CG17493-RC	0.026062	0.003712	0.004	0.0001	1.251186	1.929293	2.256040	3.794741	2.751827	0.307037	22.320335	22.875838	45.625700	29.805900	1	1	1	1
FBtr0084864	CG10514-RA	0.047318	0.048814	0.0142	0.0154	1.010038	0.772905	2.111881	4.470758	23.121108	5.065551	23.773247	19.831402	5.507915	5.302750	1	1	1	1
FBtr0308835	Ih-RK	0.031642	0.026577	0.0059	0.004	1.194678	1.714867	2.740151	2.180250	0.623715	31.583723	1.624830	0.989548	58.025100	42.287700	1	1	1	1
FBtr0112900	Gpo1-RD	0.022706	0.045743	0.003	0.0131	1.332763	0.776933	2.227783	2.175027	7.958611	98.986471	6.640911	7.002718	33.037750	26.469950	1	1	1	1
FBtr0112907	Pli-RB	0.030085	0.014577	0.0053	0.0012	1.696472	1.367625	2.246242	2.221290	14.163932	21.496104	18.355969	17.376346	61.732450	50.992750	1	1	1	1
FBtr0305559	CG4168-RB	0.011853	0.015735	0.0008	0.0014	2.707314	1.885798	3.141717	2.530041	1.930173	8.552245	20.715256	22.380221	13.930050	8.864805	1	1	1	1
FBtr0070907	kdn-RA	0.0	0.003712	0.0	0.0001	3.517571	2.973555	4.313846	4.755210	34.765701	0.034644	1.091742	0.165130	164.621000	94.016000	1	1	1	1
FBtr0343324	CG12541-RE	0.030526	0.01179	0.0055	0.0008	1.474571	2.279392	3.537605	2.542338	44.867407	14.681566	0.044455	23.366507	8.837780	8.050450	1	1	1	1
FBtr0078536	CG11241-RA	0.018307	0.048207	0.002	0.015	1.257136	0.719509	2.622096	3.166049	103.337066	3.864749	16.803417	16.394892	8.380915	7.758610	1	1	1	1
FBtr0087780	CG3955-RA	0.04638	0.009636	0.0136	0.0005	-0.092873	1.125876	2.050975	3.303637	8.760819	13.078071	19.249347	20.853381	15.743550	11.600650	1	1	1	1
FBtr0075471	CG4962-RA	0.013672	0.042351	0.0011	0.0106	2.200329	0.703004	2.541932	3.523666	96.864821	83.613123	9.068210	4.085830	12.188100	6.696945	1	1	1	1
FBtr0077418	CG15630-RA	0.0	0.032697	0.0	0.0059	4.394046	1.223807	5.096853	2.287902	2.845944	5.622213	21.660919	22.557112	40.733200	34.893600	1	1	1	1
FBtr0076556	CG5644-RA	0.016056	0.047102	0.0015	0.0141	0.864749	0.867442	2.414417	1.405805	15.403515	1.355183	21.523988	22.237276	7.174565	3.588515	1	1	1	1
FBtr0110894	CG34134-RA	0.012983	0.010249	0.001	0.0006	1.831012	1.204821	5.688154	6.535605	16.222363	0.477042	21.508149	22.333468	22.438300	26.262300	1	1	1	1
FBtr0081207	CG10237-RA	0.011853	0.016399	0.0008	0.0015	2.149502	1.561680	2.815356	2.352917	67.995434	6.945280	19.132460	17.831753	25.412850	21.026600	1	1	1	1
FBtr0300179	gol-RD	0.0	0.003712	0.0	0.0001	3.831244	3.385915	5.646383	5.830871	33.554819	78.229500	12.733669	9.357233	34.637950	27.231550	1	1	1	1
FBtr0309960	b-RB	0.024912	0.044379	0.0037	0.0122	0.645929	0.873212	1.867365	2.618561	14.721596	3.539709	20.723448	19.405396	17.461850	10.431500	1	1	1	1
FBtr0080485	kek4-RA	0.022706	0.0	0.003	0.0	2.102918	3.232143	4.468761	5.372260	3.137421	1.372321	20.494378	21.137051	21.854250	16.996900	1	1	1	1
FBtr0080489	CG16974-RA	0.0	0.0	0.0	0.0	3.069238	3.660353	4.980069	5.504105	0.249643	1.077380	22.799567	0.985075	57.513350	46.022550	1	1	1	1
FBtr0082548	Cpn-RB	0.004004	0.0	0.0001	0.0	3.998215	4.012543	5.307273	4.251506	31.846776	1.527224	0.103428	22.795770	95.431100	77.971450	1	1	1	1
FBtr0083712	NP15.6-RA	0.018021	0.044142	0.0019	0.0119	1.156110	0.889138	1.243362	1.024226	18.949183	19.594682	22.495426	0.289389	85.426900	73.432950	1	1	1	1
FBtr0331392	mwh-RA	0.020585	0.030327	0.0025	0.0052	2.338763	1.404183	4.633141	2.043067	61.577680	68.635695	7.059135	7.918205	3.556195	1.506315	1	1	1	1
FBtr0087047	inaC-RA	0.0	0.0	0.0	0.0	4.904050	3.722817	8.494568	6.479224	1.152927	0.719497	1.105253	0.652077	316.923000	263.461000	1	1	1	1
FBtr0073955	eag-RA	0.022218	0.046386	0.0028	0.0135	1.561187	0.744463	2.753520	1.414586	33.207504	13.247007	23.080339	23.068280	26.674000	20.427200	1	1	1	1
FBtr0082438	CG6834-RA	0.011853	0.003712	0.0008	0.0001	2.705220	3.749758	5.223390	4.682338	13.871136	50.735170	5.095610	4.523997	27.879800	27.832950	1	1	1	1
FBtr0303422	Eip63F-1-RD	0.007493	0.020338	0.0003	0.0023	2.986205	1.497478	3.684800	2.026388	1.620395	1.868396	22.309576	21.228066	57.640300	38.396100	1	1	1	1
FBtr0078619	Gasp-RA	0.015557	0.014133	0.0014	0.0011	2.242315	2.308521	2.731901	2.718853	2.846104	47.304243	4.117852	1.283759	20.849500	10.838100	1	1	1	1
FBtr0079992	CG5037-RA	0.04338	0.044229	0.0121	0.0121	1.005099	0.518910	1.593358	1.216475	24.444825	46.733411	20.103502	18.710371	23.342650	21.865400	0	1	1	1
FBtr0346536	Pdp1-RP	0.012983	0.01179	0.001	0.0008	1.071997	2.290434	2.521554	2.618323	32.787555	42.481851	13.004767	10.856030	202.004500	161.536500	1	1	1	1
FBtr0331634	CG42367-RC	0.006281	0.011106	0.0002	0.0007	1.799251	1.969331	3.426599	4.265777	5.272488	12.644922	21.189087	19.876474	2.404805	2.632970	1	1	1	1
FBtr0332936	CG1695-RC	0.00999	0.023784	0.0006	0.0032	2.957588	1.611806	3.386276	2.414480	12.402187	31.426044	19.321716	20.090249	22.817500	19.465200	1	1	1	1
FBtr0082375	Ugt35b-RA	0.0	0.0	0.0	0.0	3.739573	3.682246	5.386857	6.034174	1.526594	1.118008	1.431090	23.826207	68.302450	43.968400	1	1	1	1
FBtr0075384	CG4842-RA	0.009138	0.005754	0.0005	0.0002	2.655441	2.571477	4.562428	3.380176	2.050267	0.353199	22.873249	22.616920	57.813100	50.428650	1	1	1	1
FBtr0333223	nmo-RH	0.009138	0.023009	0.0005	0.003	1.403179	1.822527	1.810628	2.142976	85.628414	23.172867	10.219631	12.524988	67.392950	49.753200	1	1	1	1
FBtr0072102	Eglp4-RA	0.0411	0.0	0.0109	0.0	0.812972	2.851610	2.343371	5.149727	47.623446	53.465248	4.074511	4.162065	77.778100	57.335250	1	1	1	1
FBtr0472597	CG11891-RH	0.0	0.0	0.0	0.0	3.394382	3.724918	8.163791	4.340198	21.605442	14.399093	23.223233	21.199342	23.952000	17.711800	1	1	1	1
FBtr0307047	chinmo-RH	0.018893	0.047923	0.0021	0.0147	1.335238	0.676616	1.841121	1.583225	108.318599	24.815028	10.119170	11.073414	32.654000	27.100050	1	1	1	1
FBtr0079799	Cks30A-RA	0.015557	0.009636	0.0014	0.0005	2.088108	2.696625	6.475451	6.530198	99.973415	103.039052	6.699441	7.530825	5.962250	3.130420	1	1	1	1
FBtr0078179	CG5618-RA	0.012521	0.003712	0.0009	0.0001	1.538144	2.292018	2.510901	4.102344	18.174731	0.689814	22.325561	0.906882	37.146400	31.222750	1	1	1	1
FBtr0076795	lqf-RA	0.0	0.0	0.0	0.0	2.889165	2.960924	4.261630	4.017205	0.099840	2.203125	23.375178	23.482817	24.848400	15.222000	1	1	1	1
