geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0335491	Slob-RK	0.007493	0.023784	0.0003	0.0032	1.847579	1.251643	2.442454	2.746304	30.891272	17.932709	9.105796	8.227350	22.734700	23.631300	1	1	1	1
FBtr0076273	CG6409-RA	0.02971	0.033524	0.0052	0.0063	1.392493	1.251348	1.942619	1.478871	7.801948	7.625616	18.618160	18.669385	67.468800	155.171000	1	1	1	1
FBtr0081087	bsf-RA	0.0	0.011106	0.0	0.0007	2.793646	2.469950	3.919502	3.065247	10.503245	9.772178	19.721101	19.194274	19.112700	26.636450	1	0	1	1
FBtr0331960	Pkc53E-RF	0.030821	0.025112	0.0056	0.0036	1.486684	1.273573	1.628674	1.749647	14.385540	36.396102	19.995315	19.642889	126.786500	84.904450	1	1	1	1
FBtr0088425	RpLP0-like-RA	0.037648	0.016938	0.0087	0.0016	1.068110	2.201920	1.952626	2.761756	72.674201	0.689901	23.086942	21.976649	7.576000	9.613330	1	1	1	1
FBtr0089050	Ady43A-RA	0.023063	0.0	0.0031	0.0	0.778586	1.736664	1.285436	4.243164	23.273527	0.368183	1.092425	0.570176	20.199350	11.391500	1	1	1	1
FBtr0300598	ATPCL-RF	0.025698	0.047102	0.0039	0.0141	1.340352	0.981763	3.122408	1.804278	49.285017	86.061067	6.057420	8.718252	15.319650	24.675700	1	1	1	1
FBtr0078015	dock-RC	0.047831	0.010249	0.0146	0.0006	0.601219	2.396552	1.093065	3.099360	14.908906	13.785725	21.300949	20.518795	29.119200	26.251050	1	1	1	1
FBtr0078787	RpII18-RA	0.014403	0.003712	0.0012	0.0001	1.989274	1.777387	2.504511	3.615406	14.528149	2.136897	23.271495	0.581568	15.307300	17.540300	1	1	1	1
FBtr0112922	Gasp-RB	0.030821	0.0	0.0056	0.0	1.201576	4.352443	2.109280	5.368036	0.647193	14.559743	1.966358	0.917017	17.058650	21.956950	1	1	1	1
FBtr0087678	CG6191-RA	0.033164	0.0	0.0065	0.0	1.056001	3.230273	1.768638	3.320542	40.927436	17.585309	2.229133	2.586358	21.224100	20.349400	1	1	1	1
FBtr0078995	CG14043-RA	0.030526	0.019427	0.0055	0.0021	0.593286	1.576525	0.904568	1.882415	76.153600	74.970665	20.865760	20.484754	7.659905	9.157265	1	0	1	1
FBtr0088227	CG12325-RA	0.034646	0.033869	0.0072	0.0065	1.163143	0.874977	2.912714	1.432796	55.814473	27.018640	22.391918	23.561172	5.139150	5.627960	1	1	1	1
FBtr0088228	nclb-RA	0.035344	0.005754	0.0075	0.0002	0.968701	1.840036	2.164982	2.516671	52.179002	30.070195	22.791317	0.450593	13.012600	15.468400	1	1	1	1
FBtr0071682	pirk-RA	0.027998	0.047375	0.0045	0.0143	0.795475	0.991887	1.285383	1.684289	12.804556	12.693349	3.945257	23.566788	2.166800	3.819380	1	1	1	1
FBtr0114615	l(2)05287-RB	0.026062	0.046723	0.004	0.0138	1.143651	0.613837	2.261546	3.804061	7.415970	1.708987	21.663856	22.140282	4.500630	5.488075	0	1	1	1
FBtr0080937	CG17996-RA	0.019426	0.015004	0.0022	0.0013	0.789875	1.387914	2.371788	2.912205	9.738132	11.504437	19.503191	20.275471	24.281450	25.549700	1	1	1	1
FBtr0300276	CG6967-RC	0.008325	0.026577	0.0004	0.004	4.467581	1.410109	4.686401	2.712846	17.641752	9.179888	22.216811	18.988568	1.871050	1.661940	1	1	1	1
FBtr0070777	CG15784-RA	0.008325	0.003712	0.0004	0.0001	2.939604	3.668774	4.200284	6.909640	18.975684	52.499774	8.110188	12.434804	76.393050	698.874000	1	1	1	1
FBtr0080117	CG17124-RA	0.022706	0.014133	0.003	0.0011	1.209219	1.810828	1.690878	1.860956	21.428724	9.970187	18.674830	19.098596	88.468500	112.410500	1	1	1	1
