geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0076273	CG6409-RA	0.02971	0.033524	0.0052	0.0063	1.392493	1.251348	1.942619	1.478871	7.801948	7.625616	18.618160	18.669385	67.468800	155.171000	1	1	1	1
FBtr0081087	bsf-RA	0.0	0.011106	0.0	0.0007	2.793646	2.469950	3.919502	3.065247	10.503245	9.772178	19.721101	19.194274	19.112700	26.636450	1	0	1	1
FBtr0071682	pirk-RA	0.027998	0.047375	0.0045	0.0143	0.795475	0.991887	1.285383	1.684289	12.804556	12.693349	3.945257	23.566788	2.166800	3.819380	1	1	1	1
FBtr0070777	CG15784-RA	0.008325	0.003712	0.0004	0.0001	2.939604	3.668774	4.200284	6.909640	18.975684	52.499774	8.110188	12.434804	76.393050	698.874000	1	1	1	1
FBtr0081822	CG2767-RA	0.00999	0.0	0.0006	0.0	1.441642	2.719138	6.048426	3.672540	0.743002	0.082866	22.844834	23.589354	78.246600	129.815000	1	1	1	1
FBtr0087455	Cyp6a8-RA	0.038458	0.031288	0.0094	0.0055	0.608240	1.063615	0.833032	2.368345	45.565885	93.911473	3.268397	5.500949	16.416900	23.334900	1	1	1	1
FBtr0084824	CG31300-RA	0.007493	0.019427	0.0003	0.0021	2.436084	2.000999	3.173460	3.431944	7.235876	19.305089	21.761794	22.667593	22.710250	38.845650	1	1	1	1
FBtr0100559	Hsp22-RB	0.039267	0.005754	0.0098	0.0002	1.265870	2.893038	1.498966	3.149610	62.619225	35.945453	13.860053	12.398225	12.320150	208.420000	1	1	1	1
FBtr0088346	CAP-RE	0.042794	0.005754	0.0117	0.0002	0.384925	1.662158	2.184323	2.117050	9.403828	52.627958	19.156295	16.920473	69.297250	121.814000	1	1	1	1
FBtr0084264	CG33110-RA	0.020077	0.008746	0.0024	0.0004	1.635112	3.734043	1.977414	4.008810	78.630571	78.929808	6.968792	8.125379	19.172750	29.086500	1	1	1	1
FBtr0110882	Wdr62-RB	0.037648	0.026261	0.0088	0.0039	0.288171	1.551893	0.513212	2.125763	7.269059	54.382321	6.247394	5.664678	13.240100	26.132200	1	1	1	1
FBtr0072164	EbpIII-RA	0.012983	0.04264	0.001	0.0108	0.354030	0.547948	2.795988	0.810871	12.335278	10.889574	20.515512	18.581002	1108.540000	1876.165000	1	1	1	1
FBtr0078070	Pph13-RA	0.022501	0.019923	0.0029	0.0022	2.064050	1.977120	3.437699	3.086543	4.051924	37.796855	19.113793	20.903404	6.911895	11.692200	1	1	1	1
FBtr0343368	c11.1-RB	0.007493	0.005754	0.0003	0.0002	1.624817	3.077311	2.302176	3.573754	24.933928	97.020290	10.949535	11.999709	13.185150	27.266000	1	1	1	1
