FBtr0343537	Usp30-RB
FBtr0078730	CG2182-RA
FBtr0073443	Dlic-RD
FBtr0330668	Rab5-RG
FBtr0075035	Mkp3-RB
FBtr0300451	CG31205-RB
FBtr0335465	CG13085-RB
FBtr0074014	CG9164-RB
FBtr0088909	Corin-RB
FBtr0080168	abo-RA
FBtr0339710	dsx-RF
FBtr0078422	Alg11-RA
FBtr0078423	ORMDL-RA
FBtr0083565	14-3-3epsilon-RA
FBtr0308892	CG40498-RG
FBtr0088632	CG13741-RA
FBtr0089145	CG31998-RA
FBtr0073678	Tomosyn-RC
FBtr0332882	AspRS-RB
FBtr0303898	nAChRalpha6-RG
FBtr0300058	CG32441-RD
FBtr0077652	GABPI-RA
FBtr0113196	CG1208-RB
FBtr0346864	caps-RE
FBtr0332863	Cyp312a1-RB
FBtr0308599	Doa-RY
FBtr0082851	Hrb87F-RA
FBtr0100014	Ir62a-RA
FBtr0086552	SdhA-RB
FBtr0113107	Liprin-gamma-RD
FBtr0071772	Vps35-RA
FBtr0084999	Ald-RD
FBtr0088128	CG13204-RA
FBtr0088646	Ggamma1-RB
FBtr0087789	sug-RA
FBtr0342886	CG42672-RK
FBtr0333889	Fhos-RJ
FBtr0078675	CG2082-RA
FBtr0301156	Zasp66-RM
FBtr0071197	CG1440-RA
FBtr0304000	Tao-RG
FBtr0332219	Syt1-RF
FBtr0299748	Doa-RS
FBtr0083414	m-cup-RA
FBtr0306755	cnc-RL
FBtr0071458	CG32687-RA
FBtr0073471	Ran-RB
FBtr0343010	CG33143-RF
FBtr0112741	ND-MWFE-RB
FBtr0345289	Thor-RB
FBtr0077442	CG15436-RA
FBtr0076135	RIOK1-RB
FBtr0300621	Teh2-RB
FBtr0082735	CG11686-RA
FBtr0089013	Glo1-RA
FBtr0077462	Vps53-RA
FBtr0100344	sv-RF
FBtr0074354	CG9132-RB
FBtr0077537	CG2818-RA
FBtr0110915	Dys-RD
FBtr0071424	Yp2-RA
FBtr0081958	CAHbeta-RA
FBtr0083524	Odj-RA
FBtr0077745	ND-B17.2-RA
FBtr0086034	CG1344-RA
FBtr0077705	CG31689-RC
FBtr0087636	CG6329-RD
FBtr0082265	pug-RA
FBtr0071351	CG7766-RA
FBtr0078959	CG9780-RA
FBtr0070254	CG14778-RA
FBtr0303107	CG7971-RF
FBtr0070809	CG15771-RA
FBtr0301331	cdc14-RC
FBtr0336484	CG9795-RF
FBtr0334671	gfzf-RE
FBtr0345104	Svil-RW
FBtr0332139	UbcE2M-RC
FBtr0331984	SmydA-7-RB
FBtr0302354	alpha-Est9-RC
FBtr0339379	Adk3-RD
FBtr0082329	CG6621-RA
FBtr0334559	Efa6-RH
FBtr0301529	Rab26-RD
FBtr0088014	Oda-RC
FBtr0114627	Ehbp1-RF
FBtr0304688	CG42613-RH
FBtr0075206	CycT-RA
FBtr0072127	gbb-RA
FBtr0304680	unc-104-RG
FBtr0084077	mod(mdg4)-RR
FBtr0339973	CG32944-RG
