geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0087881	CG8785-RA	0.006281	0.077381	0.0002	0.0388	2.962410	0.134343	4.354825	2.817968	61.700187	57.593680	7.203100	6.493015	4.213485	6.441315	1	1	1	1
FBtr0339660	CG44325-RB	0.004004	NOTEST	0.0001	NOTEST	2.593826	-2.088010	4.198075	1.621873	1.574588	44.524372	3.066905	2.573726	166.744000	478.897000	1	1	1	1
FBtr0087605	RN-tre-RA	0.04338	0.096151	0.0121	0.0603	0.581946	-0.204714	2.316077	1.530933	5.739770	5.718861	5.822938	4.602015	9.760395	14.202850	1	1	1	1
FBtr0086701	Pepck-RA	0.046117	0.117706	0.0134	0.0894	0.545392	-0.468436	3.377738	0.979999	5.956920	9.233520	17.977931	6.855069	144.563000	498.318000	1	1	1	1
FBtr0340240	Akap200-RF	0.045609	NOTEST	0.013	NOTEST	-0.353874	-1.143484	0.574307	-0.059479	40.324132	34.668060	15.197536	15.776632	31.036950	45.578700	1	1	1	1
FBtr0089056	Cyp9b1-RA	0.016684	0.148592	0.0016	0.1393	1.640490	-0.822308	2.277136	0.173896	59.074944	62.306672	4.654773	5.233267	9.121350	16.127200	1	1	1	1
FBtr0072117	bw-RA	0.012521	NOTEST	0.0009	NOTEST	1.963185	-1.914702	3.884932	1.878697	18.244615	5.488489	22.094151	18.397484	7.497595	15.892100	1	1	1	1
FBtr0114541	St1-RB	0.031077	0.123039	0.0057	0.0982	1.119271	-0.615140	2.047967	1.331502	24.986371	34.977701	0.214682	1.424304	32.788450	46.388350	1	1	1	1
FBtr0334524	Xrp1-RG	0.014403	NOTEST	0.0012	NOTEST	1.862874	-3.305238	2.920593	1.680691	6.085714	35.701623	5.600760	11.644602	15.930650	41.477450	1	1	1	1
FBtr0071690	CG10433-RA	0.040464	0.081867	0.0106	0.0435	0.660547	-0.152536	1.794677	0.962776	3.194892	0.535829	0.674572	22.455318	677.369000	904.896000	1	1	1	1
FBtr0075274	CG7728-RA	0.020077	0.10354	0.0024	0.0701	1.379194	-0.280280	1.923869	1.295351	17.117094	71.616991	21.188354	23.535360	2.910295	4.374755	1	1	1	1
FBtr0083702	Xrp1-RC	0.018307	NOTEST	0.002	NOTEST	0.951476	-7.857200	0.999910	0.676811	89.559723	10.274001	11.145007	17.138047	5.386150	27.560850	1	1	1	1
FBtr0091748	primo-1-RB	0.027998	0.131182	0.0045	0.1105	1.387778	-0.776812	2.270124	-0.659164	28.361829	75.858027	23.670294	2.150844	26.341950	36.877150	1	1	1	1
FBtr0084601	CG6356-RA	0.040287	NOTEST	0.0104	NOTEST	1.256976	-1.681781	3.866982	3.561820	73.280814	101.911583	8.016257	10.522534	27.159050	45.910850	1	0	1	1
FBtr0299697	Mlp60A-RB	0.024315	0.082797	0.0035	0.0446	0.974901	0.062846	3.320824	0.633453	0.288381	1.038546	22.867338	1.626821	2.904640	11.929800	1	1	1	1
FBtr0330233	jbug-RM	0.012983	0.104783	0.001	0.0719	1.898415	-0.300709	2.690133	1.120632	22.166609	13.122202	23.151613	20.562812	9.058110	13.029750	1	1	1	1
FBtr0076822	CG7506-RA	0.030324	NOTEST	0.0054	NOTEST	0.881652	-3.442695	2.684106	0.478784	21.937687	15.059514	21.156491	17.870250	11.429800	18.085050	1	0	1	1
FBtr0089422	RpS7-RA	0.012521	0.087936	0.0009	0.0506	1.591442	-0.266464	2.644612	0.421196	14.413313	1.295363	0.173134	2.187886	687.168000	951.302000	1	1	1	1
