#transcriptID	transcriptSymbol
FBtr0330700	Slob-RD
FBtr0334543	Pak-RI
FBtr0075958	vih-RA
FBtr0299582	Tlk-RH
FBtr0079638	CG8475-RA
FBtr0300982	bsk-RE
FBtr0078413	AcCoAS-RA
FBtr0076715	Arl5-RA
FBtr0300379	CaMKII-RJ
FBtr0343377	Cdc7-RB
FBtr0087594	PheRS-m-RA
FBtr0346308	Fpgs-RB
FBtr0333753	Tlk-RM
FBtr0082594	CG5641-RA
FBtr0299893	Pka-R1-RO
FBtr0333220	Mkp3-RD
FBtr0081162	AsnRS-RA
FBtr0072755	ABCB7-RB
FBtr0072064	Pi3K59F-RA
FBtr0084399	fzo-RA
FBtr0086701	Pepck-RA
FBtr0343286	Unc-89-RG
FBtr0080331	ThrRS-RB
FBtr0079437	ninaC-RA
FBtr0084755	beta4GalT7-RA
FBtr0345640	LeuRS-RB
FBtr0070568	CG10802-RA
FBtr0343583	l(1)G0196-RP
FBtr0302662	rdgA-RC
FBtr0085922	CG2201-RC
FBtr0340240	Akap200-RF
FBtr0071280	l(1)G0020-RA
FBtr0073151	Scsalpha-RA
FBtr0335276	Src42A-RB
FBtr0085921	CG2201-RA
FBtr0340120	Dsor1-RB
FBtr0089084	Eph-RC
FBtr0331635	CG5853-RB
FBtr0083560	CG14314-RA
FBtr0075517	Arl1-RA
FBtr0300555	PMCA-RJ
FBtr0336666	Trap1-RB
FBtr0307552	Mccc1-RD
FBtr0071313	Dsor1-RA
FBtr0310323	CG13185-RD
FBtr0334748	Srpk79D-RM
FBtr0302185	sgg-RO
FBtr0299929	sqa-RB
FBtr0339440	Pfrx-RN
FBtr0334895	tst-RB
FBtr0082535	Lk6-RB
FBtr0333218	Pdk1-RJ
FBtr0110973	Mhcl-RF
FBtr0333697	CG32195-RC
FBtr0076106	CG32091-RB
FBtr0081638	Dpck-RA
FBtr0077189	Rpt6-RA
FBtr0089451	anne-RG
FBtr0334640	Lrrk-RC
FBtr0112920	RhoGAP1A-RB
FBtr0072117	bw-RA
FBtr0304964	Cam-RD
FBtr0088264	Galphao-RB
FBtr0089734	r-RA
FBtr0072470	Pdk1-RB
FBtr0333673	CaMKII-RK
FBtr0071168	Trxr-1-RB
FBtr0334482	bt-RH
FBtr0073434	Hsp60A-RA
FBtr0089553	Ubc10-RA
FBtr0113205	CG7878-RA
FBtr0336459	CG31145-RF
FBtr0084852	CG10560-RA
FBtr0112788	Lrrk-RB
FBtr0072320	Adck-RA
FBtr0333914	CG17698-RF
FBtr0073697	CG32649-RA
FBtr0336705	aux-RC
FBtr0110922	Eip63E-RH
