#transcriptID	transcriptSymbol
FBtr0300191	Atpalpha-RI
FBtr0339663	Gart-RC
FBtr0079089	tkv-RD
FBtr0305087	CG9990-RE
FBtr0339705	Dgkepsilon-RB
FBtr0089192	Arf102F-RA
FBtr0335462	CG9886-RB
FBtr0071653	Egfr-RA
FBtr0082265	pug-RA
FBtr0302046	Mi-2-RC
FBtr0077705	CG31689-RC
FBtr0077706	CG31689-RD
FBtr0090026	MRP-RN
FBtr0089853	CG33298-RB
FBtr0339124	ACC-RF
FBtr0078154	CG3164-RB
FBtr0078156	CG4822-RA
FBtr0072212	SERCA-RE
FBtr0332882	AspRS-RB
FBtr0089515	Atpalpha-RG
FBtr0076545	Argk-RD
FBtr0078247	Pitslre-RA
FBtr0079175	eIF4A-RA
FBtr0079176	eIF4A-RC
FBtr0331868	Rac1-RB
FBtr0075763	Hsc70-1-RD
FBtr0078649	Rm62-RC
FBtr0100013	CG33970-RB
FBtr0071937	Cdk9-RA
FBtr0333718	shi-RO
FBtr0072995	CG11486-RD
FBtr0083590	PKD-RB
FBtr0340455	hppy-RD
FBtr0074121	shi-RA
FBtr0076553	Galk-RA
FBtr0342882	Rgk3-RE
FBtr0082226	pont-RA
FBtr0334283	Rgk1-RB
FBtr0070468	sgg-RE
FBtr0304000	Tao-RG
FBtr0299748	Doa-RS
FBtr0073471	Ran-RB
FBtr0333404	smid-RI
FBtr0083143	Act88F-RA
FBtr0075562	dop-RA
FBtr0089386	CG1354-RB
FBtr0076030	Klp68D-RA
FBtr0330706	Slob-RJ
FBtr0089496	Gdh-RB
FBtr0331654	Chd1-RC
FBtr0335186	CG8475-RC
FBtr0078770	PEK-RA
FBtr0076135	RIOK1-RB
FBtr0087842	Iswi-RB
FBtr0112836	Btk29A-RE
FBtr0331920	hpo-RB
FBtr0100676	btl-RB
FBtr0083819	Ask1-RB
FBtr0070216	AMPKalpha-RA
FBtr0304680	unc-104-RG
FBtr0071351	CG7766-RA
FBtr0306031	CG9270-RC
FBtr0082434	Blm-RA
FBtr0304025	Sik3-RB
FBtr0089082	Eph-RA
FBtr0100662	Act5C-RC
FBtr0084151	dnd-RA
FBtr0308599	Doa-RY
FBtr0346437	Rab6-RB
FBtr0071108	Gclc-RB
FBtr0084583	Slimp-RA
FBtr0090019	MRP-RG
FBtr0079975	me31B-RA
FBtr0339379	Adk3-RD
FBtr0070582	Rala-RB
FBtr0083183	spn-E-RA
FBtr0333325	Atpalpha-RK
FBtr0343281	SERCA-RI
FBtr0300558	PMCA-RM
FBtr0332139	UbcE2M-RC
FBtr0084637	beta-PheRS-RA
FBtr0088601	Pkn-RB
FBtr0330329	Ack-like-RA
FBtr0075391	st-RA
FBtr0301529	Rab26-RD
FBtr0074718	Pfrx-RH
FBtr0074492	CG6762-RA
FBtr0084322	CG17141-RA
FBtr0305071	gish-RJ
FBtr0078870	CG1129-RB
FBtr0339973	CG32944-RG
FBtr0290019	Slik-RF
FBtr0080065	nmd-RA
FBtr0087214	Rho1-RD
FBtr0087217	Rho1-RG
