#GOIgroup	motifID	motifSymbol	N	K	n	k	BG	pval	rank	qval	youngMedianExpression	enrichmentScore	youngExpr	oldExpr
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	MA1459.1	M1BP	15016	9532	11	0	0.634789557805	NO_TEST	NO_TEST	NO_TEST	9.016085	1.63342047349	9.016085	11.34435
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0014018	Rel_SANGER_5	15016	8140	11	0	0.542088438998	NO_TEST	NO_TEST	NO_TEST	22.72215	1.63342047349	22.72215	46.08365
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0035481_2	CG12605_SOLEXA_5	15016	9323	11	0	0.620871070858	NO_TEST	NO_TEST	NO_TEST	83.94435	1.63342047349	83.94435	61.45405
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_9	lola-PT_SANGER_5	15016	5236	11	4	0.348694725626	0.32823639135489513	124	0.3547070680770641	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_8	lola-PW_SANGER_5	15016	8586	11	0	0.57179009057	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_5	lola-PD_SANGER_5	15016	8983	11	0	0.598228556207	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_4	lola-PY_SANGER_2.5	15016	5470	11	5	0.364278103356	0.17384605756502491	77	0.2900834769419823	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_7	lola-PQ_SANGER_5	15016	10087	11	0	0.671750133191	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_6	lola-PO_SANGER_5	15016	10697	11	0	0.7123734683	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_3	lola-PU_SANGER_5	15016	8067	11	0	0.537226957912	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_2	lola_SOLEXA_5	15016	7894	11	0	0.525705913692	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0003396	shn-F1-2_SANGER_5	15016	8062	11	0	0.536893979755	NO_TEST	NO_TEST	NO_TEST	10.68725	1.63342047349	10.68725	14.76425
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0004795	retn_SANGER_5	15016	5962	11	2	0.397043153969	0.8771906328707678	NO_TEST	NO_TEST	9.63727	1.63342047349	9.63727	9.07666
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0259938	cwo_SANGER_5	15016	5559	11	7	0.370205114544	0.017709589555091984	14	0.1562268609831238	12.1817	1.63342047349	12.1817	17.08465
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0017578	dm_Max_SANGER_10	15016	6189	11	5	0.41216036228	0.27393582898464375	115	0.3160372915961506	15.4343	1.63342047349	15.4343	15.05585
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0035407	CG14962_SANGER_5	15016	8606	11	0	0.573122003197	NO_TEST	NO_TEST	NO_TEST	13.37265	1.63342047349	13.37265	14.5415
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0035405	pfk_SANGER_5	15016	9018	11	0	0.600559403303	NO_TEST	NO_TEST	NO_TEST	4.05678	1.63342047349	4.05678	5.70541
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0004893	bowl_SANGER_5	15016	6958	11	9	0.46337240277	0.002896828195335051	1	0.11932046156320675	6.165725	1.63342047349	6.165725	7.829745
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0040765_2	luna_SOLEXA_5	15016	10858	11	0	0.723095364944	NO_TEST	NO_TEST	NO_TEST	6.232	1.63342047349	6.232	8.730195
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0000459	disco_SANGER_5	15016	6696	11	5	0.445924347363	0.3563835076699383	131	0.36283779745608186	9.973195	1.63342047349	9.973195	9.89573
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	MA0532.1	Stat92E	15016	8573	11	0	0.570924347363	NO_TEST	NO_TEST	NO_TEST	105.625	1.63342047349	105.625	137.584
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	MA0529.2	BEAF-32	15016	7321	11	1	0.487546616942	0.9926787193468551	NO_TEST	NO_TEST	15.27005	1.63342047349	15.27005	20.03675
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0036900	CG8765_SANGER_5	15016	7757	11	0	0.5165823122	NO_TEST	NO_TEST	NO_TEST	6.65179	1.63342047349	6.65179	7.142775
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0000210_8	br-PL_SANGER_5	15016	5635	11	4	0.375266382525	0.39925411990778575	NO_TEST	NO_TEST	14.4025	1.63342047349	14.4025	10.54955
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0001078	ftz-f1_FlyReg	15016	9913	11	0	0.66016249334	NO_TEST	NO_TEST	NO_TEST	20.66265	1.63342047349	20.66265	17.9413
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	MA0530.1	cnc::maf-S	15016	8426	11	0	0.561134789558	NO_TEST	NO_TEST	NO_TEST	86.09565	1.63342047349	86.09565	132.16
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0013948	Eip93F_SANGER_10	15016	10363	11	0	0.690130527437	NO_TEST	NO_TEST	NO_TEST	77.09935	1.63342047349	77.09935	87.4338
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0000210_2	br-Z2_FlyReg	15016	4492	11	4	0.299147575919	0.2083583050655807	95	0.29389487240829276	14.4025	1.63342047349	14.4025	10.54955
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0000210_6	br_SOLEXA_10	15016	5283	11	4	0.351824720298	0.3364262534884679	126	0.3567509105274273	14.4025	1.63342047349	14.4025	10.54955
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0000210_7	br-PE_SANGER_5	15016	4542	11	4	0.302477357485	0.21571771864348244	97	0.2940428091759386	14.4025	1.63342047349	14.4025	10.54955
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0002521	pho_FlyReg	15016	9378	11	0	0.624533830581	NO_TEST	NO_TEST	NO_TEST	38.24535	1.63342047349	38.24535	36.19635
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005612	Sox14_SANGER_10	15016	9008	11	0	0.59989344699	NO_TEST	NO_TEST	NO_TEST	5.179935	1.63342047349	5.179935	7.53377
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0001185_2	her_SOLEXA_10	15016	7688	11	0	0.511987213639	NO_TEST	NO_TEST	NO_TEST	19.27115	1.63342047349	19.27115	19.92875
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0032587	CG5953_SANGER_5	15016	9671	11	0	0.644046350559	NO_TEST	NO_TEST	NO_TEST	4.948905	1.63342047349	4.948905	11.2564
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0032741	Side_SANGER_5	15016	9959	11	0	0.663225892381	NO_TEST	NO_TEST	NO_TEST	4.497075	1.63342047349	4.497075	6.09094
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0261283_4	HLH106_SANGER_5_3	15016	6669	11	4	0.444126265317	0.5874100508911735	NO_TEST	NO_TEST	52.8721	1.63342047349	52.8721	80.018
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0261283_3	HLH106_SANGER_5_2	15016	4655	11	6	0.310002663825	0.02591630868736904	22	0.1562268609831238	52.8721	1.63342047349	52.8721	80.018
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0261283_2	HLH106_SANGER_5_1	15016	5361	11	5	0.357019179542	0.16073027401434054	71	0.2900834769419823	52.8721	1.63342047349	52.8721	80.018
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0263108	BtbVII_SANGER_5	15016	7657	11	0	0.509922749068	NO_TEST	NO_TEST	NO_TEST	25.59195	1.63342047349	25.59195	27.70985
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0038787	CG4360_F1-3_SANGER_2.5	15016	10957	11	0	0.729688332445	NO_TEST	NO_TEST	NO_TEST	8.787295	1.63342047349	8.787295	10.79195
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0008649	dei_da_SANGER_5	15016	7555	11	0	0.503129994672	NO_TEST	NO_TEST	NO_TEST	4.546245	1.63342047349	4.546245	6.227545
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0024321	NK7.1_Cell	15016	7360	11	7	0.490143846564	0.10098871912867798	55	0.24297447385565604	19.79385	1.63342047349	19.79385	27.9616
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0002733	HLHmbeta_SANGER_10	15016	7670	11	0	0.510788492275	NO_TEST	NO_TEST	NO_TEST	5.017895	1.63342047349	5.017895	7.20712
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0039350	jigr1_SANGER_5	15016	12537	11	0	0.834909429941	NO_TEST	NO_TEST	NO_TEST	12.32145	1.63342047349	12.32145	14.9557
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_28	lola-PU_SOLEXA	15016	8278	11	0	0.551278636121	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_29	lola-PW_SOLEXA	15016	10397	11	0	0.692394778903	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	MA0085.1	Su(H)	15016	7990	11	0	0.532099094299	NO_TEST	NO_TEST	NO_TEST	8.39558	1.63342047349	8.39558	9.615365
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0000459_2	disco_SOLEXA_5	15016	6709	11	3	0.44679009057	0.8030332261189843	NO_TEST	NO_TEST	9.973195	1.63342047349	9.973195	9.89573
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0261283	HLH106_SANGER_10	15016	5361	11	5	0.357019179542	0.16073027401434054	70	0.2900834769419823	52.8721	1.63342047349	52.8721	80.018
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_21	lola-PG_SOLEXA	15016	7952	11	0	0.529568460309	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
DAVID_RLCs_transcriptGroups0.05_Cluster10_phospholipid_biosynthetic_process_maxBG0.5	FBgn0005630_22	lola-PJ_SOLEXA	15016	8464	11	0	0.563665423548	NO_TEST	NO_TEST	NO_TEST	214.2865	1.63342047349	214.2865	240.502
