#transcriptID	transcriptSymbol
FBtr0071676	Tim10-RA
FBtr0087594	PheRS-m-RA
FBtr0074971	CG14100-RA
FBtr0071168	Trxr-1-RB
FBtr0084577	mRpS24-RA
FBtr0084272	mRpL45-RA
FBtr0339954	CG16935-RB
FBtr0084399	fzo-RA
FBtr0273393	ND-B17.2-RB
FBtr0290024	CG7394-RB
FBtr0074330	mRpL22-RA
FBtr0086156	SdhB-RA
FBtr0076822	CG7506-RA
FBtr0343147	Tim9a-RB
FBtr0301238	CG9249-RB
FBtr0331227	mRpL28-RB
FBtr0073151	Scsalpha-RA
FBtr0073482	Tim8-RA
FBtr0075672	mRpL39-RA
FBtr0301812	CG41128-RB
FBtr0334890	COX5A-RC
FBtr0331384	CG14806-RB
FBtr0079218	slmo-RB
FBtr0079128	CG7277-RA
FBtr0087675	Roe1-RA
FBtr0073434	Hsp60A-RA
FBtr0084172	ND-42-RA
FBtr0070459	tko-RB
FBtr0085694	aralar1-RA
