#transcriptID	transcriptSymbol
FBtr0303476	CG11089-RB
FBtr0301698	UGP-RD
FBtr0089496	Gdh-RB
FBtr0333857	CG6767-RG
FBtr0339663	Gart-RC
FBtr0077008	Ldh-RA
FBtr0345982	CG10932-RB
FBtr0079495	LKRSDH-RA
FBtr0077245	Cbs-RB
FBtr0081764	Prat-RA
FBtr0084999	Ald-RD
FBtr0332597	Aldh-RB
FBtr0112860	Nc73EF-RI
FBtr0086552	SdhA-RB
FBtr0084327	Irp-1A-RA
FBtr0309246	AMPdeam-RJ
FBtr0100590	Adh-RE
FBtr0100594	Adh-RI
FBtr0085390	CG11899-RA
FBtr0339379	Adk3-RD
FBtr0079876	yip2-RA
FBtr0345317	Shmt-RC
FBtr0082026	CG8129-RB
FBtr0077909	Eno-RA
FBtr0310660	Ald-RK
FBtr0113687	Gfat1-RA
FBtr0345422	Eip55E-RB
FBtr0334646	Hn-RD
FBtr0089329	Inos-RA
FBtr0085584	Tpi-RC
FBtr0075344	CG9674-RD
FBtr0082259	Irp-1B-RA
