#transcriptID	transcriptSymbol
FBtr0075952	SmD1-RA
FBtr0079368	x16-RA
FBtr0306252	SC35-RD
FBtr0303107	CG7971-RF
FBtr0083374	Sf3a1-RA
FBtr0339986	Pcf11-RG
FBtr0087842	Iswi-RB
FBtr0077381	CG3294-RA
FBtr0078649	Rm62-RC
FBtr0083183	spn-E-RA
FBtr0082851	Hrb87F-RA
FBtr0082854	sqd-RA
FBtr0078944	eIF3a-RA
FBtr0339710	dsx-RF
FBtr0084583	Slimp-RA
FBtr0070829	mof-RA
FBtr0343281	SERCA-RI
FBtr0087347	fus-RB
FBtr0332328	x16-RB
FBtr0076027	yps-RA
FBtr0079565	Rack1-RA
FBtr0300269	heph-RU
FBtr0331404	Sf3b3-RC
FBtr0070894	Spx-RA
FBtr0336727	Sxl-RZ
FBtr0083335	nonA-l-RA
FBtr0082434	Blm-RA
FBtr0300267	heph-RS
FBtr0080009	Cnot4-RA
FBtr0305315	CG1965-RB
FBtr0346646	eIF3a-RD
FBtr0332059	CG6610-RB
FBtr0083963	Syp-RE
FBtr0083961	Syp-RF
FBtr0075198	Pep-RA
FBtr0073766	CG15747-RA
FBtr0345076	CG42724-RM
FBtr0072212	SERCA-RE
FBtr0308791	sm-RU
FBtr0336458	srl-RE
FBtr0308793	sm-RW
FBtr0072374	CG3594-RA
FBtr0345075	CG42724-RL
FBtr0070499	CG2685-RA
FBtr0081291	CG10466-RA
FBtr0074232	nonA-RA
