geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0340240	Akap200-RF	0.045609	NOTEST	0.013	NOTEST	-0.353874	-1.143484	0.574307	-0.059479	40.324132	34.668060	15.197536	15.776632	31.036950	45.578700	1	1	1	1
FBtr0072117	bw-RA	0.012521	NOTEST	0.0009	NOTEST	1.963185	-1.914702	3.884932	1.878697	18.244615	5.488489	22.094151	18.397484	7.497595	15.892100	1	1	1	1
FBtr0075274	CG7728-RA	0.020077	0.10354	0.0024	0.0701	1.379194	-0.280280	1.923869	1.295351	17.117094	71.616991	21.188354	23.535360	2.910295	4.374755	1	1	1	1
FBtr0083781	Nup58-RA	0.046577	NOTEST	0.0138	NOTEST	0.704603	-3.002753	0.778184	0.972866	1.797533	11.904200	12.595843	15.568938	3.888110	6.082705	1	1	1	1
FBtr0330233	jbug-RM	0.012983	0.104783	0.001	0.0719	1.898415	-0.300709	2.690133	1.120632	22.166609	13.122202	23.151613	20.562812	9.058110	13.029750	1	1	1	1
FBtr0076822	CG7506-RA	0.030324	NOTEST	0.0054	NOTEST	0.881652	-3.442695	2.684106	0.478784	21.937687	15.059514	21.156491	17.870250	11.429800	18.085050	1	0	1	1
FBtr0071832	CG4752-RA	0.026062	NOTEST	0.004	NOTEST	0.911723	-1.215528	2.823071	2.752427	8.224640	5.473876	19.017806	17.043073	9.784655	14.085700	1	1	1	1
FBtr0086674	GstE6-RA	0.028433	NOTEST	0.0047	NOTEST	1.352557	-0.704217	1.712996	0.342008	44.930510	4.605786	4.303219	16.125426	59.254300	140.929500	1	0	1	1
FBtr0301839	Ppn-RG	0.032454	NOTEST	0.0062	NOTEST	1.260023	-2.943469	1.285133	3.360177	21.186713	22.707415	21.609409	22.984578	18.271750	28.213500	1	1	1	1
FBtr0072235	eIF6-RA	0.007493	NOTEST	0.0003	NOTEST	1.645430	-1.156912	2.775490	0.195866	18.515955	32.431559	22.459360	18.711539	9.352345	16.072450	1	0	1	1
FBtr0345229	Dip-B-RD	0.010993	NOTEST	0.0007	NOTEST	2.315130	-1.795373	2.629476	0.964558	36.036774	13.900828	2.233171	20.603966	14.018250	20.966550	1	1	1	1
FBtr0330378	PSR-RB	0.017516	NOTEST	0.0018	NOTEST	1.315157	-1.251491	1.901587	1.528153	16.675384	24.872032	22.137431	22.907084	9.078400	12.744500	1	0	1	1
FBtr0331756	CG9917-RB	0.024315	NOTEST	0.0035	NOTEST	1.044068	-1.673341	1.990403	-0.361614	33.257689	17.019253	21.730710	22.098735	44.560950	62.230950	1	1	1	1
FBtr0078700	Vha26-RB	0.033164	0.120619	0.0065	0.0942	1.156320	-0.538869	3.983191	0.302676	91.575332	8.494575	21.672388	21.401503	58.027000	90.866100	1	1	1	1
FBtr0071690	CG10433-RA	0.040464	0.081867	0.0106	0.0435	0.660547	-0.152536	1.794677	0.962776	3.194892	0.535829	0.674572	22.455318	677.369000	904.896000	1	1	1	1
FBtr0083702	Xrp1-RC	0.018307	NOTEST	0.002	NOTEST	0.951476	-7.857200	0.999910	0.676811	89.559723	10.274001	11.145007	17.138047	5.386150	27.560850	1	1	1	1
FBtr0072866	HBS1-RA	0.049033	NOTEST	0.0155	NOTEST	0.059067	-1.411977	2.425862	0.796136	14.459523	5.791493	20.623006	17.838477	5.235010	9.876195	1	0	1	1
FBtr0076106	CG32091-RB	0.009138	NOTEST	0.0005	NOTEST	1.192504	-1.530883	2.632226	0.583826	11.146944	12.304630	19.834665	19.735052	6.568770	9.162675	1	0	1	1
FBtr0085795	rod-RA	0.030085	NOTEST	0.0053	NOTEST	1.107937	-1.093485	2.144194	2.721232	63.233147	10.712185	20.237317	21.339094	1.107095	1.926480	1	1	1	1
FBtr0079299	Aatf-RA	0.047472	NOTEST	0.0144	NOTEST	0.185936	-1.417917	1.007644	0.328302	17.387662	58.691704	22.198189	16.088723	3.438735	5.668080	1	1	1	1
FBtr0333697	CG32195-RC	0.017147	NOTEST	0.0017	NOTEST	1.217023	-4.301824	4.385271	-0.752505	18.888025	15.238052	21.065263	21.475969	8.764185	16.337650	1	0	1	1
FBtr0339979	CG33469-RB	0.041496	0.152683	0.0111	0.1457	0.853064	-0.950796	1.160447	-0.617620	18.138953	112.520511	8.960706	12.012427	1.934465	9.857600	1	1	1	1
FBtr0078212	knrl-RA	0.035591	NOTEST	0.0076	NOTEST	0.697524	-1.979578	2.616787	2.269403	61.916314	1.958822	3.652401	22.922601	3.611775	6.335935	1	0	1	1
FBtr0082760	GILT1-RA	0.038236	NOTEST	0.0092	NOTEST	0.300556	-1.878590	4.158024	2.020504	10.728186	11.449020	19.829275	19.588232	94.745750	132.441000	1	1	1	1
FBtr0075852	cmb-RB	0.019426	NOTEST	0.0022	NOTEST	1.248347	-1.796770	3.835764	2.606542	81.232028	16.561071	20.519550	21.406964	6.944785	11.908050	1	0	1	1
FBtr0071102	sn-RB	0.007493	0.079669	0.0003	0.0411	3.357178	-0.194865	3.849654	0.287605	17.291476	47.230216	22.119908	18.566055	46.256350	94.902350	1	1	1	1
FBtr0079697	CG13097-RA	0.026354	0.092836	0.0041	0.0566	1.179087	-0.140432	1.963946	1.090522	14.154635	27.406823	21.181927	23.304674	4.145570	6.059550	1	1	1	1
FBtr0074097	CG15602-RA	0.043228	NOTEST	0.012	NOTEST	0.341461	-1.373404	0.939701	-0.021224	0.295702	16.022227	23.845332	21.560851	8.673100	12.592900	1	0	1	1
FBtr0082572	GstD5-RA	0.043045	NOTEST	0.0119	NOTEST	0.809602	-1.705375	3.499093	-0.560823	72.611251	1.422962	7.657318	21.089881	1.515620	11.415700	1	1	1	1
FBtr0079095	cl-RA	0.012521	0.114341	0.0009	0.085	1.010088	-0.377807	3.059925	1.799540	32.421668	0.905213	23.720719	22.616497	28.950950	47.246300	1	1	1	1
FBtr0082404	ninaG-RA	0.028909	NOTEST	0.0049	NOTEST	1.358534	-3.367186	1.939686	0.214769	4.909536	29.160381	21.682914	22.150629	10.376935	18.598450	1	1	1	1
FBtr0083876	Rh3-RA	0.004004	NOTEST	0.0001	NOTEST	1.037006	-1.304540	2.757157	0.312602	8.129146	7.055857	18.914699	17.554752	450.858000	929.489500	1	0	1	1
FBtr0086143	Tdc1-RA	0.00999	0.095901	0.0006	0.06	1.707462	-0.099941	3.007507	1.908403	10.475070	91.692504	23.454332	21.400126	5.133190	9.922895	1	0	1	1
FBtr0089028	Tsp42Ei-RA	0.049564	NOTEST	0.0158	NOTEST	0.585566	-2.926071	0.866021	-1.944448	20.202559	28.634314	18.287514	16.827588	7.185920	13.533250	1	1	1	1
FBtr0088524	Updo-RA	0.034122	0.125956	0.007	0.1026	0.874376	-0.584575	1.340122	-0.137008	13.526588	11.609976	20.863091	19.395450	11.875150	17.345250	1	1	1	1
FBtr0333453	Rpn10-RB	0.028773	NOTEST	0.0048	NOTEST	0.673737	0.057315	1.350624	0.488299	26.437448	16.912633	22.754534	21.365732	20.514650	29.621500	1	0	1	1
FBtr0081427	CG9336-RA	0.0	NOTEST	0.0	NOTEST	3.101982	-1.687805	3.516676	-0.352338	15.454850	81.695963	21.609645	23.631894	251.933500	377.808500	1	0	1	1
FBtr0334067	E(z)-RC	0.04544	NOTEST	0.0129	NOTEST	0.571630	-1.407643	1.045622	-1.031692	37.383045	18.360075	22.310737	21.454400	8.106225	12.307600	1	1	1	1
FBtr0085362	CG11842-RA	0.040136	NOTEST	0.0103	NOTEST	0.777056	-2.896142	1.765226	-0.272157	20.057792	18.969176	22.438859	22.336079	35.288100	56.044800	1	0	1	1
