FBID	0	4	8	12	16	20	24	28	32	36	40	44
FBtr0070000	0.292982	0	0.000453221	0	1.41426	0	0.000470454	0.118461	0	0.191075	0.13336	0.575765
FBtr0307554	2.46641	1.96863	2.9583	0.790111	3.10322	0.289881	5.89243	6.93661	0	4.05211	0	2.02971
FBtr0307555	33.5205	31.79	29.4239	38.5897	33.0489	37.9977	29.7287	27.6618	32.937	29.6544	35.6094	35.4364
FBtr0070002	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070003	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301569	0.122868	0.162449	3.32823e-06	4.98461e-05	0.0769553	1.4145e-05	0.108802	4.40356e-05	0.132904	5.05092e-05	0.267684	0.186603
FBtr0343166	2.93892e-05	2.67796e-05	0.135323	0.131985	3.33924e-05	0.202469	2.80363e-05	0.118333	2.8076e-05	0.131984	3.27629e-05	2.85545e-05
FBtr0070029	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301572	0	0.167285	0	0	0.198173	0	0	0	0.342168	0	0	0
FBtr0070032	0	0.0568278	0	0	0	0	0	0	0	0	0	0
FBtr0070035	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070036	3.27122	1.40552	2.18283	2.48462	1.66504	2.66123	3.2589	2.01546	0.884577	1.06484	1.33611	1.46771
FBtr0070045	25.0118	21.7245	21.6678	31.9856	21.4854	28.3939	17.3654	19.2755	21.6138	18.0278	24.7834	21.5207
FBtr0070046	29.1759	26.4635	25.5067	39.7692	26.3832	27.9385	24.9379	25.3225	29.8945	23.4358	37.3506	24.8851
FBtr0299869	1733.15	1819.44	1511.38	1399.33	1514.21	3264.81	1584.72	1586.51	1481.06	1400.11	1665.3	2430.13
FBtr0299870	157.095	157.639	144.919	100.212	153.173	262.392	172.089	150.309	125.346	136.825	181.467	255.27
FBtr0333910	19.122	13.915	18.2269	24.1431	14.3442	21.754	15.6915	14.5394	16.4538	13.8018	20.3433	15.8614
FBtr0070063	1.52596	1.73094	1.56635	0.396268	1.14924	1.35577	2.51138	1.10334	1.7819	0.89062	1.05944	1.17895
FBtr0332992	7.99456	7.49557	7.18333	8.54536	7.74327	7.3445	7.36094	7.16679	7.24286	7.16907	7.9056	7.34071
FBtr0070064	0.0484722	1.94375	3.85455	0	0.01911	6.06246	17.1109	11.0966	2.08453	9.86332	0.000408931	0.0568746
