#transcriptID	transcriptSymbol
FBtr0304963	Cam-RC
FBtr0331356	trp-RB
FBtr0083736	cry-RA
FBtr0082548	Cpn-RB
FBtr0080291	Rh5-RA
FBtr0078023	ninaA-RA
FBtr0078825	rtp-RA
FBtr0087047	inaC-RA
FBtr0331960	Pkc53E-RF
FBtr0100670	norpA-RC
FBtr0076599	Arr2-RA
FBtr0085844	faf-RC
FBtr0085450	Obp99a-RA
FBtr0088333	Hdc-RA
FBtr0302661	rdgA-RB
FBtr0340327	t-RB
FBtr0082785	Act87E-RA
FBtr0076688	CdsA-RA
FBtr0310059	mbl-RO
FBtr0084949	boss-RA
FBtr0078508	laza-RA
FBtr0088471	trpl-RA
FBtr0074949	Gbeta76C-RA
FBtr0087832	Galphaq-RD
FBtr0071909	inaD-RA
FBtr0334836	ninaC-RD
FBtr0080182	porin-RA
FBtr0070651	norpA-RA
FBtr0086992	mbl-RB
FBtr0079797	Ggamma30A-RC
FBtr0302388	CG30054-RE
