#transcriptID	transcriptSymbol
FBtr0085409	Slbp-RA
FBtr0114586	egl-RB
FBtr0070961	CG14438-RA
FBtr0330356	bru3-RN
FBtr0081374	La-RA
FBtr0331638	Cnot4-RK
FBtr0305149	Imp-RK
FBtr0304112	Cnot4-RH
FBtr0346192	heph-RZ
FBtr0077966	CG4887-RA
FBtr0087242	clu-RA
FBtr0076843	lark-RC
FBtr0301660	tho2-RB
FBtr0077454	CG15440-RA
FBtr0339103	CG44249-RA
FBtr0075672	mRpL39-RA
FBtr0084755	beta4GalT7-RA
FBtr0080347	bru1-RD
FBtr0082803	B52-RD
FBtr0331542	CG18178-RB
FBtr0089451	anne-RG
FBtr0085608	CG7903-RA
FBtr0089101	gw-RF
FBtr0075208	Edc3-RB
FBtr0306738	fne-RC
