#transcriptID	transcriptSymbol
FBtr0082375	Ugt35b-RA
FBtr0300456	Cyp4ac2-RB
FBtr0344013	CG5903-RB
FBtr0335491	Slob-RK
FBtr0076674	Culd-RA
FBtr0332800	Rac2-RB
FBtr0335011	mino-RE
FBtr0345094	Svil-RF
FBtr0301847	NKAIN-RF
FBtr0081371	CG16798-RA
FBtr0078023	ninaA-RA
FBtr0077247	bves-RB
FBtr0081276	CG10337-RA
FBtr0334094	ND-SGDH-RB
FBtr0073217	Ero1L-RB
FBtr0339098	CG44247-RB
FBtr0331356	trp-RB
FBtr0072102	Eglp4-RA
FBtr0083852	Xport-A-RA
FBtr0088746	Cyp4e1-RA
FBtr0300100	Sugb-RE
FBtr0079992	CG5037-RA
FBtr0084712	CG11069-RA
FBtr0343324	CG12541-RE
FBtr0072858	CG5687-RA
FBtr0088905	Cyt-b5-RB
FBtr0084264	CG33110-RA
FBtr0079250	Cpr-RA
FBtr0085345	wat-RA
FBtr0082926	CG31321-RB
FBtr0084054	ETHR-RA
FBtr0078785	CG1161-RA
FBtr0071909	inaD-RA
FBtr0112803	Fas1-RD
FBtr0110906	Ekar-RB
FBtr0070494	Syx4-RA
FBtr0332883	Nmda1-RI
FBtr0075548	CG7272-RA
FBtr0079797	Ggamma30A-RC
FBtr0079496	CG7149-RA
FBtr0273437	Cubn-RB
FBtr0077181	CG10674-RA
FBtr0070368	Pex5-RB
FBtr0080291	Rh5-RA
FBtr0074870	CG14186-RA
FBtr0336692	Tao-RJ
FBtr0072162	CG11388-RA
FBtr0073375	Con-RA
FBtr0084107	CG3337-RA
FBtr0076688	CdsA-RA
FBtr0113101	ND-B12-RB
FBtr0083179	alpha-Man-IIb-RA
FBtr0329987	tadr-RC
FBtr0273310	Tsp97E-RD
FBtr0080850	CG5861-RA
FBtr0345147	CG9449-RK
FBtr0075355	Baldspot-RA
FBtr0085733	Alp4-RA
FBtr0345216	gb-RB
FBtr0077330	Syx16-RA
FBtr0075023	CG6836-RA
FBtr0086691	PIG-O-RA
FBtr0077886	CG17646-RA
FBtr0073484	dlg1-RF
FBtr0084139	CG6656-RA
FBtr0331952	CG43340-RQ
FBtr0075457	CG5027-RA
FBtr0083663	CG31229-RA
FBtr0085438	Cnx99A-RB
FBtr0345919	Mgstl-RC
FBtr0084362	CG13833-RA
FBtr0300179	gol-RD
FBtr0308238	CG7582-RB
FBtr0080182	porin-RA
FBtr0071091	spidey-RA
FBtr0083784	ort-RA
FBtr0074344	CG4928-RA
FBtr0074695	CG7990-RA
FBtr0077425	bdl-RA
FBtr0089023	Tsp42Ef-RA
FBtr0086026	CG14591-RB
FBtr0080114	CG6495-RA
FBtr0301763	Nrg-RE
FBtr0080485	kek4-RA
FBtr0331658	Ndae1-RD
FBtr0330704	Slob-RH
FBtr0080528	CG18507-RB
FBtr0080527	CG18507-RA
FBtr0332295	Rph-RC
FBtr0073257	Teh3-RA
FBtr0083712	NP15.6-RA
FBtr0079041	Rtnl1-RD
FBtr0078942	CG31522-RA
FBtr0309113	hts-RP
FBtr0087456	Cyp6a21-RA
FBtr0087455	Cyp6a8-RA
FBtr0074684	CG8034-RA
FBtr0086033	CG7881-RA
FBtr0344186	CG40498-RJ
FBtr0088141	Drip-RA
FBtr0332909	asrij-RB
FBtr0300466	CG42492-RA
FBtr0076974	MCU-RE
FBtr0300465	CG42492-RC
FBtr0073955	eag-RA
FBtr0078694	Rheb-RB
FBtr0300956	CG30427-RE
FBtr0084949	boss-RA
FBtr0306944	CG43341-RA
FBtr0079949	CG4908-RA
FBtr0074925	Cyp305a1-RA
FBtr0078508	laza-RA
FBtr0082666	kar-RA
FBtr0088471	trpl-RA
FBtr0300818	CG17324-RB
FBtr0074046	CG7872-RA
FBtr0305056	NKAIN-RK
FBtr0071625	CG4302-RA
FBtr0071624	CG15661-RA
FBtr0112890	fz2-RC
FBtr0072706	cue-RA
FBtr0082338	Ugt86Da-RA
FBtr0114558	Cyp4aa1-RB
FBtr0077830	AIF-RA
FBtr0070886	CG4660-RA
FBtr0344362	CG45049-RF
FBtr0079637	SLC5A11-RA
FBtr0085405	Cisd2-RA
FBtr0072196	CG3907-RA
FBtr0088440	CG1418-RA
FBtr0080397	spict-RA
FBtr0075643	CG6878-RA
FBtr0082526	ClC-a-RA
FBtr0082298	CG14694-RA
FBtr0100009	drd-RA
FBtr0077266	CG15449-RA
FBtr0081890	Dhod-RA
FBtr0306937	CG43340-RG
FBtr0078592	Osi2-RB
FBtr0075679	dlp-RA
FBtr0084285	CG5326-RA
FBtr0347147	Tango9-RB
FBtr0111188	CG40486-RB
FBtr0077884	CG31937-RA
FBtr0302661	rdgA-RB
FBtr0299698	prom-RB
FBtr0079507	CG13794-RA
FBtr0088764	CG2121-RA
FBtr0073428	CG2076-RA
FBtr0110850	LPCAT-RB
FBtr0079382	nrv2-RA
FBtr0308835	Ih-RK
FBtr0077576	Hydr2-RA
FBtr0345485	Cyp6w1-RB
FBtr0070420	Vinc-RA
FBtr0301055	app-RK
FBtr0331506	CG43779-RA
FBtr0081249	CG33116-RA
FBtr0082747	Dic1-RB
FBtr0345089	Svil-RG
FBtr0333768	Smr-RG
FBtr0306943	CG43340-RO
FBtr0087290	bug-RA
FBtr0310444	CG1628-RC
FBtr0074216	UQCR-14-RA
FBtr0082374	Ugt35a-RA
FBtr0076961	SP1173-RB
FBtr0088592	Cyp4p1-RA
FBtr0299796	CG42329-RA
FBtr0084723	CG31121-RA
FBtr0071883	blw-RA
FBtr0076199	CG7888-RC
