#transcriptID	transcriptSymbol
FBtr0330706	Slob-RJ
FBtr0078247	Pitslre-RA
FBtr0075035	Mkp3-RB
FBtr0335186	CG8475-RC
FBtr0079089	tkv-RD
FBtr0076135	RIOK1-RB
FBtr0339705	Dgkepsilon-RB
FBtr0339379	Adk3-RD
FBtr0299748	Doa-RS
FBtr0083590	PKD-RB
FBtr0331920	hpo-RB
FBtr0100676	btl-RB
FBtr0335462	CG9886-RB
FBtr0071937	Cdk9-RA
FBtr0342801	sktl-RB
FBtr0083819	Ask1-RB
FBtr0072995	CG11486-RD
FBtr0070216	AMPKalpha-RA
FBtr0071653	Egfr-RA
FBtr0340455	hppy-RD
FBtr0330329	Ack-like-RA
FBtr0071351	CG7766-RA
FBtr0075125	CG32195-RA
FBtr0076553	Galk-RA
FBtr0079565	Rack1-RA
FBtr0088601	Pkn-RB
FBtr0070468	sgg-RE
FBtr0304025	Sik3-RB
FBtr0304000	Tao-RG
FBtr0074718	Pfrx-RH
FBtr0086034	CG1344-RA
FBtr0089082	Eph-RA
FBtr0112836	Btk29A-RE
FBtr0305339	Cks85A-RB
FBtr0305071	gish-RJ
FBtr0078770	PEK-RA
FBtr0072529	Gk1-RA
FBtr0339973	CG32944-RG
FBtr0290019	Slik-RF
FBtr0308599	Doa-RY
FBtr0079283	CG9497-RA
FBtr0075562	dop-RA
FBtr0076545	Argk-RD
