#transcriptID	transcriptSymbol
FBtr0113477	CG6006-RC
FBtr0300621	Teh2-RB
FBtr0331697	lili-RB
FBtr0300191	Atpalpha-RI
FBtr0300453	CG32638-RB
FBtr0072908	CG1275-RD
FBtr0113196	CG1208-RB
FBtr0331519	CG43783-RG
FBtr0331516	CG43783-RA
FBtr0345104	Svil-RW
FBtr0304810	CG43078-RD
FBtr0307540	mmd-RE
FBtr0083751	CG5835-RA
FBtr0080915	mdy-RA
FBtr0100427	Acsl-RE
FBtr0085468	Dop1R2-RB
FBtr0333702	Cadps-RF
FBtr0305087	CG9990-RE
FBtr0339705	Dgkepsilon-RB
FBtr0336974	Ir41a-RC
FBtr0339709	wtrw-RD
FBtr0344026	CG42394-RD
FBtr0334144	Vti1b-RA
FBtr0305007	pasi1-RB
FBtr0077513	capu-RA
FBtr0331566	CG4825-RB
FBtr0087202	CG8320-RA
FBtr0074014	CG9164-RB
FBtr0072349	Letm1-RC
FBtr0071653	Egfr-RA
FBtr0110915	Dys-RD
FBtr0078156	CG4822-RA
FBtr0343535	CG6903-RB
FBtr0301447	loj-RE
FBtr0085821	kek6-RA
FBtr0303885	CG31886-RC
FBtr0343537	Usp30-RB
FBtr0332845	bves-RC
FBtr0070254	CG14778-RA
FBtr0345238	alpha-Man-IIb-RC
FBtr0077705	CG31689-RC
FBtr0077706	CG31689-RD
FBtr0081863	nac-RA
FBtr0090026	MRP-RN
FBtr0113030	jp-RC
FBtr0089853	CG33298-RB
FBtr0088431	PIG-N-RA
FBtr0089082	Eph-RA
FBtr0072694	rho-RA
FBtr0300511	alpha-Man-Ia-RJ
FBtr0329884	NaPi-T-RB
FBtr0346268	Cyp4g15-RC
FBtr0088824	slv-RA
FBtr0086133	Cyp6a2-RA
FBtr0080768	Gli-RD
FBtr0080769	Gli-RE
FBtr0085210	CG5646-RA
FBtr0078154	CG3164-RB
FBtr0330324	CG43740-RC
FBtr0345629	oys-RD
FBtr0308083	RyR-RJ
FBtr0333701	CG11155-RD
FBtr0080686	CG15279-RA
FBtr0303229	CG9536-RB
FBtr0300894	nSyb-RG
FBtr0088434	oys-RA
FBtr0100660	kuz-RC
FBtr0309865	PlexA-RF
FBtr0308592	Ctr1A-RB
FBtr0072745	CG12004-RA
FBtr0333544	frtz-RB
FBtr0088646	Ggamma1-RB
FBtr0071269	Moe-RD
FBtr0339154	GABA-B-R2-RC
FBtr0330102	fz-RC
FBtr0089515	Atpalpha-RG
FBtr0303898	nAChRalpha6-RG
FBtr0302226	uex-RE
FBtr0300058	CG32441-RD
FBtr0077652	GABPI-RA
FBtr0073518	rho-4-RB
FBtr0308125	fred-RF
FBtr0306556	spir-RF
FBtr0083334	Fas1-RC
FBtr0330163	Tsp96F-RB
FBtr0346864	caps-RE
FBtr0114598	CG8008-RB
FBtr0337051	CG6293-RB
FBtr0113389	CG31103-RB
FBtr0345950	Mctp-RF
FBtr0074972	CG9231-RA
FBtr0070493	CG32795-RC
FBtr0304833	nrm-RE
FBtr0070864	CG6067-RA
FBtr0345392	CG8180-RC
FBtr0079062	Cyp28d1-RA
FBtr0331868	Rac1-RB
FBtr0074669	Mec2-RA
FBtr0074745	Sec61gamma-RA
FBtr0332863	Cyp312a1-RB
FBtr0081118	CG33120-RA
FBtr0330647	Amnionless-RB
FBtr0330400	Rab3-GEF-RG
FBtr0331866	CG2211-RB
FBtr0082648	Dtg-RA
FBtr0078770	PEK-RA
FBtr0100883	mt:ND6-RA
FBtr0100013	CG33970-RB
FBtr0308249	CG31998-RB
FBtr0079931	Trp1-RA
FBtr0100014	Ir62a-RA
FBtr0086552	SdhA-RB
FBtr0082991	CG14855-RA
FBtr0089137	Syt7-RA
FBtr0073506	Spase25-RA
FBtr0300558	PMCA-RM
FBtr0305946	SLO2-RH
FBtr0340452	CG10737-RW
FBtr0088331	Or46a-RB
FBtr0079782	rost-RA
FBtr0086145	Hsepi-RA
FBtr0301529	Rab26-RD
FBtr0073173	CG10866-RA
FBtr0342624	CG1662-RB
FBtr0088640	RyR-RA
FBtr0071272	Moe-RC
FBtr0077768	PIG-Wa-RA
FBtr0073068	PHGPx-RD
FBtr0114451	CG10353-RC
FBtr0308591	CG34449-RD
FBtr0305681	PK1-R-RE
FBtr0273277	CG5535-RC
FBtr0072972	Pgant6-RA
FBtr0333889	Fhos-RJ
FBtr0302563	kar-RB
FBtr0075025	Sfxn2-RA
FBtr0308627	scrib-RK
FBtr0304000	Tao-RG
FBtr0078937	CG31523-RA
FBtr0089223	PlexA-RA
FBtr0074617	wgn-RA
FBtr0113033	Schip1-RB
FBtr0080436	CG5287-RA
FBtr0088718	CG14767-RA
FBtr0083801	CG6184-RA
FBtr0113164	CG6024-RC
FBtr0078484	CG7130-RA
FBtr0079800	Eaat1-RB
FBtr0343010	CG33143-RF
FBtr0100676	btl-RB
FBtr0074345	CG4928-RB
FBtr0079283	CG9497-RA
FBtr0333813	pain-RB
FBtr0084284	AdipoR-RB
FBtr0303148	Ptp99A-RF
FBtr0331598	Syt12-RB
FBtr0089546	CG5002-RA
FBtr0336452	LpR2-RI
FBtr0089628	CG10383-RA
FBtr0083203	blp-RA
FBtr0330253	CG9410-RE
FBtr0089145	CG31998-RA
FBtr0083857	ninaE-RA
FBtr0301140	CG5021-RD
FBtr0309501	kirre-RF
FBtr0330706	Slob-RJ
FBtr0079089	tkv-RD
FBtr0071181	ND-75-RB
FBtr0339077	Trpm-RE
FBtr0335186	CG8475-RC
FBtr0307500	Ptr-RB
FBtr0337039	tinc-RG
FBtr0089656	JhI-21-RB
FBtr0079040	Rtnl1-RE
FBtr0082735	CG11686-RA
FBtr0086535	CG7744-RA
FBtr0307033	Nlg2-RB
FBtr0083583	CG7675-RC
FBtr0071583	Lapsyn-RA
FBtr0086982	CG15611-RA
FBtr0100635	slo-RN
FBtr0084357	CG17119-RA
FBtr0331920	hpo-RB
FBtr0086662	IM1-RA
FBtr0089549	aft-RA
FBtr0087007	Sply-RA
FBtr0334612	Nrx-1-RH
FBtr0301316	Eaat2-RC
FBtr0301096	CG42540-RB
FBtr0301312	plh-RB
FBtr0345900	CG4666-RB
FBtr0113338	cpx-RM
FBtr0070582	Rala-RB
FBtr0072304	CG13585-RB
FBtr0074680	nAChRalpha7-RA
FBtr0087815	Balat-RA
FBtr0089394	Vamp7-RA
FBtr0335502	CG13116-RB
FBtr0071351	CG7766-RA
FBtr0085778	chp-RA
