#transcriptID	transcriptSymbol
FBtr0344013	CG5903-RB
FBtr0089944	CG9272-RA
FBtr0089497	Gdh-RF
FBtr0089318	mRpL13-RA
FBtr0077168	AlaRS-m-RA
FBtr0070907	kdn-RA
FBtr0081890	Dhod-RA
FBtr0071860	bonsai-RA
FBtr0077830	AIF-RA
FBtr0071883	blw-RA
FBtr0303846	CG15093-RE
FBtr0076974	MCU-RE
FBtr0083053	mRpS10-RA
FBtr0079058	mRpL24-RA
FBtr0340673	Nna1-RC
FBtr0330615	CG12895-RB
FBtr0083663	CG31229-RA
FBtr0111011	mRpL34-RA
FBtr0344849	Cyt-c-p-RB
FBtr0080182	porin-RA
FBtr0088176	dare-RA
FBtr0079532	Sirup-RA
FBtr0080994	mEFTs-RA
FBtr0079413	mEFG1-RA
FBtr0079696	mRpL51-RA
FBtr0074216	UQCR-14-RA
FBtr0086126	Mccc2-RA
FBtr0335205	Gdh-RD
