#transcriptID	transcriptSymbol
FBtr0339497	CG1461-RB
FBtr0081822	CG2767-RA
FBtr0332800	Rac2-RB
FBtr0089497	Gdh-RF
FBtr0072141	Taldo-RA
FBtr0084214	PyK-RA
FBtr0088681	Pgi-RC
FBtr0084213	PyK-RB
FBtr0070907	kdn-RA
FBtr0088422	Pfk-RB
FBtr0073833	AMPdeam-RC
FBtr0332618	Gapdh2-RC
FBtr0085715	CG15547-RA
FBtr0087891	Ak6-RA
FBtr0300598	ATPCL-RF
FBtr0310059	mbl-RO
FBtr0078015	dock-RC
FBtr0100479	Gapdh1-RB
FBtr0344633	sr-RE
FBtr0302409	CG17691-RE
FBtr0331810	CG7430-RB
FBtr0081882	CG8036-RC
FBtr0070953	l(1)G0255-RA
FBtr0086992	mbl-RB
FBtr0302115	Eno-RF
FBtr0345074	CG9674-RI
FBtr0335205	Gdh-RD
