geneID	symbol
FBtr0334543	Pak-RI
FBtr0339660	CG44325-RB
FBtr0080001	pim-RA
FBtr0087605	RN-tre-RA
FBtr0082245	Timp-RB
FBtr0086701	Pepck-RA
FBtr0088052	PI31-RC
FBtr0078230	CG5262-RA
FBtr0089056	Cyp9b1-RA
FBtr0332087	toe-RB
FBtr0336705	aux-RC
FBtr0307278	Mnt-RJ
FBtr0079013	qtc-RB
FBtr0083563	Mdh2-RA
FBtr0305152	cwo-RC
FBtr0077397	hoe1-RA
FBtr0306634	CG42668-RN
FBtr0329872	SLO2-RL
FBtr0070159	CG13364-RA
FBtr0114541	St1-RB
FBtr0334524	Xrp1-RG
FBtr0303578	Lpin-RH
FBtr0074973	Shal-RA
FBtr0070479	eIF2Bbeta-RA
FBtr0333369	Cdc27-RB
FBtr0070423	FarO-RA
FBtr0080118	CG17124-RB
FBtr0070925	CG12219-RA
FBtr0346192	heph-RZ
FBtr0088997	p47-RA
FBtr0076956	ple-RA
FBtr0076957	ple-RB
FBtr0084671	CG13625-RA
FBtr0290216	CG13012-RB
FBtr0071777	Oatp58Dc-RA
FBtr0079783	CG13101-RA
FBtr0273313	CG13022-RB
FBtr0345609	Cyp4d2-RB
FBtr0330302	CG33203-RF
FBtr0445734	CG8369-RE
FBtr0079163	obst-E-RA
FBtr0075757	CG32137-RA
FBtr0074903	Tom20-RA
FBtr0080347	bru1-RD
FBtr0079609	CG7781-RA
FBtr0306753	cnc-RJ
FBtr0333400	CG12091-RB
FBtr0113205	CG7878-RA
FBtr0085608	CG7903-RA
FBtr0082099	CG9444-RA
FBtr0091748	primo-1-RB
FBtr0076715	Arl5-RA
FBtr0084601	CG6356-RA
FBtr0299697	Mlp60A-RB
FBtr0075051	CG32202-RA
FBtr0301708	Men-b-RC
FBtr0076501	UGP-RA
FBtr0332361	CG8086-RJ
FBtr0332362	CG8086-RK
FBtr0335429	CG31523-RE
FBtr0089422	RpS7-RA
FBtr0071350	Bx42-RA
FBtr0346637	qkr58E-1-RD
FBtr0089939	Sod3-RB
FBtr0303757	Kank-RG
FBtr0335198	Cchl-RB
FBtr0081221	CG17549-RA
FBtr0302185	sgg-RO
FBtr0339598	tx-RB
FBtr0339612	CG12290-RB
FBtr0081638	Dpck-RA
FBtr0086675	GstE7-RA
FBtr0086676	GstE8-RA
FBtr0086671	GstE3-RA
FBtr0290138	CG42235-RE
FBtr0086044	Gp210-RA
FBtr0100589	Adh-RC
FBtr0340120	Dsor1-RB
FBtr0333617	Diap1-RD
FBtr0344176	Pde8-RC
FBtr0344177	Pde8-RD
FBtr0334275	Hph-RA
FBtr0082607	GstD1-RA
FBtr0079437	ninaC-RA
FBtr0273349	CG13305-RC
FBtr0081257	CG13077-RA
FBtr0071637	Tmtc3-RA
FBtr0070233	CG3719-RA
FBtr0303587	Mur2B-RB
FBtr0072083	angel-RA
FBtr0085921	CG2201-RA
FBtr0345108	Svil-RAA
FBtr0300555	PMCA-RJ
FBtr0301528	RabX5-RB
FBtr0075143	CG7402-RA
FBtr0331505	CG43778-RD
