geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0080768	Gli-RD	NOTEST	0.048668	NOTEST	0.0152	-2.427951	0.732564	-0.908495	1.639590	9.833234	85.715141	7.250594	10.039557	3.695930	8.260390	1	1	1	1
FBtr0085210	CG5646-RA	NOTEST	0.015004	NOTEST	0.0013	-5.054097	1.141263	-3.241913	4.120050	15.523270	24.599960	8.970939	13.076271	10.390250	21.610650	1	1	1	1
FBtr0088632	CG13741-RA	NOTEST	0.042756	NOTEST	0.011	-1.489045	0.666186	-0.220435	1.332060	41.848747	69.939926	22.942568	3.141047	1.275495	4.028155	1	1	1	1
FBtr0080930	Cse1-RA	0.083576	0.033074	0.0457	0.0061	-0.044744	1.024129	1.646673	1.419159	60.483690	21.284159	8.800887	13.710468	6.308635	12.087200	1	1	1	1
FBtr0273263	Mmp1-RC	NOTEST	0.023784	NOTEST	0.0032	-5.346517	1.030461	-1.953303	5.038744	34.925769	82.229321	14.470495	10.003185	3.433235	14.271400	1	1	1	1
FBtr0273277	CG5535-RC	NOTEST	0.021821	NOTEST	0.0027	-2.236267	1.837910	-0.556267	2.795517	11.706312	5.540437	20.363259	16.595850	3.410585	7.865425	1	1	1	1
FBtr0084035	CG7044-RA	0.159825	0.035983	0.1569	0.0076	-0.982594	1.097649	-0.316102	3.362133	103.859572	95.124595	10.433866	11.567221	5.209255	9.638810	0	1	1	1
FBtr0290323	net-RB	0.093086	0.024513	0.0561	0.0034	-0.369343	1.218710	0.373476	2.104188	10.676292	12.620270	19.259826	18.824408	6.091050	9.239290	1	1	1	1
FBtr0077442	CG15436-RA	NOTEST	0.023417	NOTEST	0.0031	-5.034777	1.129352	-1.134865	3.436579	44.099258	67.653696	22.852873	2.305444	1.975420	3.069495	1	1	1	1
FBtr0086982	CG15611-RA	0.079452	0.017474	0.0414	0.0017	-0.227961	1.966120	0.755299	2.075173	37.312972	25.770899	1.803930	0.569091	4.952730	9.492285	1	1	1	1
FBtr0084357	CG17119-RA	NOTEST	0.026973	NOTEST	0.0041	-1.338875	1.192538	-0.546670	3.021318	15.955201	96.136057	9.768594	8.933204	6.499905	17.339000	1	1	1	1
FBtr0089546	CG5002-RA	NOTEST	0.038333	NOTEST	0.0086	-8.858048	0.660678	2.271035	1.831871	120.593555	90.155033	11.884993	10.940110	5.089500	10.899950	0	1	1	1
FBtr0088306	trsn-RA	NOTEST	0.0455	NOTEST	0.013	-5.236327	0.390311	-2.252706	0.704136	26.963577	75.963359	0.717333	18.076791	5.902155	10.975400	1	1	1	1
