#transcriptID	transcriptSymbol
FBtr0345229	Dip-B-RD
FBtr0082376	Ugt86De-RA
FBtr0082607	GstD1-RA
FBtr0082378	Ugt86Di-RA
FBtr0308841	l(2)01289-RL
FBtr0080465	CG6523-RA
FBtr0078060	shv-RA
FBtr0074748	Zw-RA
FBtr0070127	SkpA-RC
FBtr0087744	GstE14-RA
FBtr0072755	ABCB7-RB
FBtr0070233	CG3719-RA
FBtr0072084	mRpL43-RA
FBtr0074242	CG9911-RB
FBtr0084458	CG10375-RA
FBtr0086136	l(2)01289-RA
FBtr0076622	GstO3-RA
FBtr0083503	Prx3-RA
FBtr0076766	CG8042-RA
FBtr0079255	CG9507-RA
FBtr0082572	GstD5-RA
FBtr0082570	GstD3-RA
FBtr0079095	cl-RA
FBtr0100589	Adh-RC
FBtr0071832	CG4752-RA
FBtr0086674	GstE6-RA
FBtr0086675	GstE7-RA
FBtr0086676	GstE8-RA
FBtr0086671	GstE3-RA
FBtr0290256	yki-RD
FBtr0075566	AIMP2-RB
FBtr0077189	Rpt6-RA
FBtr0073067	PHGPx-RA
FBtr0079840	Trx-2-RA
