#transcriptID	transcriptSymbol
FBtr0330704	Slob-RH
FBtr0335491	Slob-RK
FBtr0339237	CG11221-RB
FBtr0333223	nmo-RH
FBtr0336692	Tao-RJ
FBtr0087047	inaC-RA
FBtr0331960	Pkc53E-RF
FBtr0332570	CG4629-RE
FBtr0086457	par-1-RH
FBtr0079282	CG9498-RA
FBtr0334606	gish-RM
FBtr0083399	GckIII-RA
FBtr0076556	CG5644-RA
FBtr0084864	CG10514-RA
FBtr0082438	CG6834-RA
FBtr0084824	CG31300-RA
FBtr0301488	Lkb1-RJ
FBtr0334836	ninaC-RD
FBtr0334483	bt-RI
FBtr0290055	CG31370-RB
FBtr0114505	CG10513-RB
FBtr0084853	CG10553-RA
FBtr0084851	CG10562-RA
FBtr0073539	CG1561-RB
FBtr0111274	CG17528-RC
