#transcriptID	transcriptSymbol
FBtr0300456	Cyp4ac2-RB
FBtr0072150	Fmo-1-RA
FBtr0340622	ND-24-RB
FBtr0089944	CG9272-RA
FBtr0085405	Cisd2-RA
FBtr0079041	Rtnl1-RD
FBtr0345074	CG9674-RI
FBtr0073217	Ero1L-RB
FBtr0076688	CdsA-RA
FBtr0087456	Cyp6a21-RA
FBtr0087455	Cyp6a8-RA
FBtr0088746	Cyp4e1-RA
FBtr0110850	LPCAT-RB
FBtr0088905	Cyt-b5-RB
FBtr0345485	Cyp6w1-RB
FBtr0078694	Rheb-RB
FBtr0086691	PIG-O-RA
FBtr0079250	Cpr-RA
FBtr0114558	Cyp4aa1-RB
FBtr0076204	Mocs1-RA
FBtr0074925	Cyp305a1-RA
FBtr0085438	Cnx99A-RB
FBtr0290130	CG6910-RB
FBtr0086148	Fmo-2-RA
FBtr0344849	Cyt-c-p-RB
FBtr0078225	CG11796-RA
FBtr0088592	Cyp4p1-RA
FBtr0084289	CG5346-RA
