#transcriptID	transcriptSymbol
FBtr0300191	Atpalpha-RI
FBtr0339663	Gart-RC
FBtr0089356	lola-RQ
FBtr0082179	CG3940-RA
FBtr0111280	CG3107-RC
FBtr0077245	Cbs-RB
FBtr0083590	PKD-RB
FBtr0072029	CG3530-RA
FBtr0081764	Prat-RA
FBtr0071548	grau-RA
FBtr0089747	Mlc2-RA
FBtr0110915	Dys-RD
FBtr0302046	Mi-2-RC
FBtr0075499	Diap1-RB
FBtr0345238	alpha-Man-IIb-RC
FBtr0303464	CNBP-RB
FBtr0339710	dsx-RF
FBtr0346268	Cyp4g15-RC
FBtr0308854	CG43427-RJ
FBtr0333312	dnc-RP
FBtr0086732	CG5098-RA
FBtr0333702	Cadps-RF
FBtr0072212	SERCA-RE
FBtr0089515	Atpalpha-RG
FBtr0076656	ZC3H3-RA
FBtr0081846	stck-RC
FBtr0333489	TfIIB-RB
FBtr0273263	Mmp1-RC
FBtr0080932	Cyt-b5-r-RA
FBtr0079062	Cyp28d1-RA
FBtr0332863	Cyp312a1-RB
FBtr0077381	CG3294-RA
FBtr0082649	CG6225-RA
FBtr0087536	SmydA-1-RA
FBtr0340452	CG10737-RW
FBtr0086256	Hil-RA
FBtr0300511	alpha-Man-Ia-RJ
FBtr0308131	sd-RM
FBtr0330071	Awh-RD
FBtr0087789	sug-RA
FBtr0340678	Nna1-RH
FBtr0072972	Pgant6-RA
FBtr0334699	Sulf1-RB
FBtr0081617	Mlp84B-RB
FBtr0332870	CanA-14F-RD
FBtr0112836	Btk29A-RE
FBtr0301978	ATbp-RB
FBtr0075198	Pep-RA
FBtr0086994	mbl-RD
FBtr0084284	AdipoR-RB
FBtr0309217	CG14231-RB
FBtr0089386	CG1354-RB
FBtr0076832	Cyp4d8-RA
FBtr0071181	ND-75-RB
FBtr0070515	dnc-RD
FBtr0310659	Actn-RH
FBtr0084691	tld-RA
FBtr0070829	mof-RA
FBtr0072349	Letm1-RC
FBtr0080839	chif-RB
FBtr0321313	chif-RD
FBtr0086133	Cyp6a2-RA
FBtr0077531	drm-RA
FBtr0077439	Elp3-RA
FBtr0081958	CAHbeta-RA
FBtr0085558	Sry-delta-RA
FBtr0307537	zld-RD
FBtr0304744	pps-RB
FBtr0334661	CG33521-RG
FBtr0345873	Cyp317a1-RC
FBtr0332219	Syt1-RF
FBtr0332102	E(bx)-RH
FBtr0336714	Rim-RR
FBtr0335166	Cyp309a1-RB
FBtr0075151	Eip75B-RD
FBtr0083731	Cyp12a4-RA
FBtr0082294	SelR-RC
FBtr0077909	Eno-RA
FBtr0333325	Atpalpha-RK
FBtr0299918	stw-RA
FBtr0332023	Ca-alpha1D-RH
FBtr0334671	gfzf-RE
FBtr0343281	SERCA-RI
FBtr0075898	MICAL-like-RA
FBtr0077571	msl-2-RA
FBtr0081971	Ada-RA
FBtr0078139	mbm-RA
FBtr0090003	Ca-alpha1D-RD
FBtr0084327	Irp-1A-RA
FBtr0088690	Cyp6a13-RA
FBtr0080009	Cnot4-RA
FBtr0087297	Diap2-RB
FBtr0334646	Hn-RD
FBtr0077971	Tgt-RA
FBtr0342913	noc-RB
FBtr0340254	CG6870-RB
FBtr0082259	Irp-1B-RA
FBtr0081397	Hr38-RB
