#transcriptID	transcriptSymbol
FBtr0334283	Rgk1-RB
FBtr0089496	Gdh-RB
FBtr0335186	CG8475-RC
FBtr0085468	Dop1R2-RB
FBtr0331868	Rac1-RB
FBtr0330668	Rab5-RG
FBtr0080541	Sos-RA
FBtr0339379	Adk3-RD
FBtr0082648	Dtg-RA
FBtr0089192	Arf102F-RA
FBtr0075952	SmD1-RA
FBtr0343046	Wnt5-RB
FBtr0089137	Syt7-RA
FBtr0333718	shi-RO
FBtr0113338	cpx-RM
FBtr0070582	Rala-RB
FBtr0089291	Wnt4-RA
FBtr0072577	RabX6-RA
FBtr0071351	CG7766-RA
FBtr0346437	Rab6-RB
FBtr0076705	Rab19-RA
FBtr0088646	Ggamma1-RB
FBtr0342882	Rgk3-RE
FBtr0301529	Rab26-RD
FBtr0083334	Fas1-RC
FBtr0088811	kermit-RA
FBtr0084322	CG17141-RA
FBtr0078870	CG1129-RB
FBtr0100662	Act5C-RC
FBtr0073471	Ran-RB
FBtr0084151	dnd-RA
FBtr0083143	Act88F-RA
FBtr0074121	shi-RA
FBtr0087214	Rho1-RD
FBtr0087217	Rho1-RG
FBtr0089386	CG1354-RB
FBtr0331232	crq-RD
