#transcriptID	transcriptSymbol
FBtr0302092	plx-RD
FBtr0302713	CG42674-RB
FBtr0302711	CG42673-RD
FBtr0082076	CG8312-RB
FBtr0074354	CG9132-RB
FBtr0305084	Dab-RC
FBtr0080541	Sos-RA
FBtr0301496	osp-RF
FBtr0072029	CG3530-RA
FBtr0086982	CG15611-RA
FBtr0078962	CG12581-RA
FBtr0333718	shi-RO
FBtr0083590	PKD-RB
FBtr0071272	Moe-RC
FBtr0332738	RhoGEF64C-RB
FBtr0334559	Efa6-RH
FBtr0087611	Rpn13-RB
FBtr0336809	Cdep-RE
FBtr0112836	Btk29A-RE
FBtr0340387	GEFmeso-RG
FBtr0078050	Plc21C-RD
FBtr0304680	unc-104-RG
FBtr0333702	Cadps-RF
FBtr0071269	Moe-RD
FBtr0074121	shi-RA
FBtr0302176	CG1513-RB
FBtr0074386	CG5004-RA
