Cluster-1	total=31	enrichmentScore=7.888470376061848	phaseStdDev=4.846752261410203	"rhabdomere,Vision,visual perception,Phototransduction - fly,phototransduction,deactivation of rhodopsin mediated signaling,inaD signaling complex,Sensory transductionAnnotation Cluster 1"	Enrichment Score: 7.888470376061848								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0016028~rhabdomere	15	2.555366269	1.64E-11	0.423433063	5.987656267	"FBtr0070651, FBtr0078825, FBtr0100670, FBtr0074949, FBtr0082548, FBtr0304963, FBtr0071909, FBtr0087832, FBtr0080291, FBtr0087047, FBtr0078023, FBtr0088471, FBtr0079797, FBtr0334836, FBtr0076599, FBtr0331356"	455	31	10026	10.66217653	4.42E-09	4.32E-09
UP_KEYWORDS	Vision	18	3.066439523	6.90E-11	-0.7147816	5.242385141	"FBtr0070651, FBtr0100670, FBtr0084949, FBtr0074949, FBtr0082548, FBtr0302661, FBtr0085844, FBtr0310059, FBtr0071909, FBtr0087832, FBtr0080291, FBtr0087047, FBtr0086992, FBtr0078023, FBtr0088471, FBtr0079797, FBtr0334836, FBtr0076599, FBtr0076688, FBtr0331356"	587	56	13921	7.622840107	1.50E-08	1.38E-08
GOTERM_BP_DIRECT	GO:0007601~visual perception	17	2.896081772	6.43E-10	-1.780977474	3.947893527	"FBtr0070651, FBtr0100670, FBtr0084949, FBtr0074949, FBtr0082548, FBtr0302661, FBtr0340327, FBtr0085844, FBtr0310059, FBtr0071909, FBtr0087832, FBtr0080291, FBtr0087047, FBtr0086992, FBtr0078023, FBtr0079797, FBtr0334836, FBtr0076599, FBtr0076688"	463	56	10996	7.209657513	7.26E-07	3.57E-07
KEGG_PATHWAY	dme04745:Phototransduction - fly	13	2.214650767	3.54E-09	0.277494571	5.098627705	"FBtr0070651, FBtr0100670, FBtr0074949, FBtr0304963, FBtr0082785, FBtr0302388, FBtr0071909, FBtr0087832, FBtr0087047, FBtr0088471, FBtr0079797, FBtr0334836, FBtr0076599, FBtr0331960"	164	25	2737	8.678292683	3.01E-07	2.87E-07
GOTERM_BP_DIRECT	GO:0007602~phototransduction	15	2.555366269	1.79E-08	-0.6176225	5.328059643	"FBtr0070651, FBtr0078508, FBtr0100670, FBtr0074949, FBtr0083736, FBtr0302661, FBtr0071909, FBtr0087832, FBtr0080291, FBtr0087047, FBtr0080182, FBtr0088333, FBtr0078023, FBtr0079797, FBtr0076688, FBtr0331356"	463	52	10996	6.850805782	2.02E-05	6.63E-06
GOTERM_BP_DIRECT	GO:0016059~deactivation of rhodopsin mediated signaling	8	1.36286201	1.06E-06	-1.374040778	4.443841147	"FBtr0071909, FBtr0070651, FBtr0100670, FBtr0087047, FBtr0074949, FBtr0302661, FBtr0304963, FBtr0334836, FBtr0076599"	463	15	10996	12.66637869	0.001195291	2.94E-04
GOTERM_CC_DIRECT	GO:0016027~inaD signaling complex	7	1.192504259	1.50E-06	0.85465375	6.310085235	"FBtr0071909, FBtr0087832, FBtr0070651, FBtr0100670, FBtr0087047, FBtr0088471, FBtr0334836, FBtr0331356"	455	10	10026	15.42461538	4.05E-04	1.98E-04
UP_KEYWORDS	Sensory transduction	20	3.407155026	1.07E-05	-0.878399727	5.321286131	"FBtr0070651, FBtr0100670, FBtr0084949, FBtr0074949, FBtr0083736, FBtr0082548, FBtr0302661, FBtr0085844, FBtr0310059, FBtr0071909, FBtr0087832, FBtr0080291, FBtr0087047, FBtr0086992, FBtr0085450, FBtr0078023, FBtr0088471, FBtr0079797, FBtr0334836, FBtr0076599, FBtr0076688, FBtr0331356"	587	145	13921	3.271103801	0.002320714	4.26E-04
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
