#transcriptID	transcriptSymbol
FBtr0070477	per-RA
FBtr0331356	trp-RB
FBtr0077567	tim-RB
FBtr0071320	lz-RA
FBtr0342936	vri-RE
FBtr0083736	cry-RA
FBtr0100670	norpA-RC
FBtr0100153	h-RB
FBtr0074949	Gbeta76C-RA
FBtr0305965	CG14661-RB
FBtr0086258	qsm-RA
FBtr0073955	eag-RA
FBtr0308835	Ih-RK
FBtr0310059	mbl-RO
FBtr0081340	Taf13-RA
FBtr0073484	dlg1-RF
FBtr0300817	CG31189-RB
FBtr0079071	vri-RA
FBtr0076785	Clk-RA
FBtr0083566	14-3-3epsilon-RB
FBtr0076780	Pdp1-RD
FBtr0074924	cyc-RA
FBtr0088471	trpl-RA
FBtr0330416	dysc-RF
FBtr0333253	tim-RM
FBtr0333255	tim-RO
FBtr0088438	Pka-R2-RB
FBtr0309961	Adar-RI
FBtr0346536	Pdp1-RP
FBtr0070651	norpA-RA
FBtr0086992	mbl-RB
FBtr0300500	Pdp1-RJ
FBtr0079797	Ggamma30A-RC
FBtr0307093	salr-RC
FBtr0333768	Smr-RG
