Cluster-1	total=47	enrichmentScore=2.385266169264057	phaseStdDev=5.5262231507656425	"Membrane,Transmembrane helix,Transmembrane,integral component of membraneAnnotation Cluster 1"	Enrichment Score: 2.385266169264057								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Membrane	46	35.65891473	0.001785959	8.895974128	5.526223151	"FBtr0074669, FBtr0089223, FBtr0082648, FBtr0080768, FBtr0089546, FBtr0300453, FBtr0085679, FBtr0306351, FBtr0336974, FBtr0084357, FBtr0085488, FBtr0273277, FBtr0078770, FBtr0335166, FBtr0083581, FBtr0339709, FBtr0114598, FBtr0079782, FBtr0088331, FBtr0079106, FBtr0332979, FBtr0088690, FBtr0072799, FBtr0075941, FBtr0071269, FBtr0339769, FBtr0075942, FBtr0344026, FBtr0077705, FBtr0072694, FBtr0089394, FBtr0082735, FBtr0329884, FBtr0089656, FBtr0088306, FBtr0089628, FBtr0083751, FBtr0078484, FBtr0086982, FBtr0085210, FBtr0086662, FBtr0084361, FBtr0073518, FBtr0332863, FBtr0071653, FBtr0330324, FBtr0077459"	129	3266	13921	1.519925756	0.185815972	0.098657382
UP_KEYWORDS	Transmembrane helix	42	32.55813953	0.003354256	8.863906744	5.552417521	"FBtr0074669, FBtr0089223, FBtr0082648, FBtr0080768, FBtr0089546, FBtr0300453, FBtr0085679, FBtr0306351, FBtr0336974, FBtr0084357, FBtr0085488, FBtr0273277, FBtr0078770, FBtr0083581, FBtr0339709, FBtr0114598, FBtr0079782, FBtr0088331, FBtr0079106, FBtr0332979, FBtr0072799, FBtr0075941, FBtr0339769, FBtr0075942, FBtr0344026, FBtr0077705, FBtr0072694, FBtr0089394, FBtr0082735, FBtr0329884, FBtr0089656, FBtr0088306, FBtr0089628, FBtr0083751, FBtr0078484, FBtr0086982, FBtr0085210, FBtr0086662, FBtr0084361, FBtr0073518, FBtr0071653, FBtr0330324, FBtr0077459"	129	2985	13921	1.518398193	0.320493068	0.098657382
UP_KEYWORDS	Transmembrane	42	32.55813953	0.003461663	8.863906744	5.552417521	"FBtr0074669, FBtr0089223, FBtr0082648, FBtr0080768, FBtr0089546, FBtr0300453, FBtr0085679, FBtr0306351, FBtr0336974, FBtr0084357, FBtr0085488, FBtr0273277, FBtr0078770, FBtr0083581, FBtr0339709, FBtr0114598, FBtr0079782, FBtr0088331, FBtr0079106, FBtr0332979, FBtr0072799, FBtr0075941, FBtr0339769, FBtr0075942, FBtr0344026, FBtr0077705, FBtr0072694, FBtr0089394, FBtr0082735, FBtr0329884, FBtr0089656, FBtr0088306, FBtr0089628, FBtr0083751, FBtr0078484, FBtr0086982, FBtr0085210, FBtr0086662, FBtr0084361, FBtr0073518, FBtr0071653, FBtr0330324, FBtr0077459"	129	2990	13921	1.515859065	0.328862882	0.098657382
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	37	28.68217054	0.013873403	8.959287553	5.53481176	"FBtr0074669, FBtr0082648, FBtr0080768, FBtr0089546, FBtr0300453, FBtr0085679, FBtr0306351, FBtr0336974, FBtr0084357, FBtr0273277, FBtr0078770, FBtr0083581, FBtr0114598, FBtr0079782, FBtr0088331, FBtr0332979, FBtr0072799, FBtr0075941, FBtr0339769, FBtr0075942, FBtr0344026, FBtr0077705, FBtr0072694, FBtr0089394, FBtr0082735, FBtr0329884, FBtr0088306, FBtr0089628, FBtr0083751, FBtr0078484, FBtr0086982, FBtr0085210, FBtr0086662, FBtr0084361, FBtr0073518, FBtr0071653, FBtr0330324, FBtr0077459"	93	2814	10026	1.417497765	0.756106664	0.700606827
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0300453	CG32638-RB	0.53346	0.033998	17.5	FlyBase CG32638-RB	Figure for CG32638-RB							
FBtr0335166	Cyp309a1-RB	0.522917	0.045142	10.1	FlyBase Cyp309a1-RB	Figure for Cyp309a1-RB							
FBtr0072799	drpr-RB	1.103517	0.033669	3.2	FlyBase drpr-RB	Figure for drpr-RB							
FBtr0339769	CG15890-RB	1.770956	0.015735	10.1	FlyBase CG15890-RB	Figure for CG15890-RB							
FBtr0329884	NaPi-T-RB	1.359608	0.034557	11.9	FlyBase NaPi-T-RB	Figure for NaPi-T-RB							
FBtr0078770	PEK-RA	0.779956	0.040144	9.8	FlyBase PEK-RA	Figure for PEK-RA							
FBtr0080768	Gli-RD	0.732564	0.048668	10	FlyBase Gli-RD	Figure for Gli-RD							
FBtr0074669	Mec2-RA	0.655765	0.037353	3.7	FlyBase Mec2-RA	Figure for Mec2-RA							
FBtr0082735	CG11686-RA	2.369613	0.01179	4.7	FlyBase CG11686-RA	Figure for CG11686-RA							
FBtr0336974	Ir41a-RC	0.713516	0.039858	13.8	FlyBase Ir41a-RC	Figure for Ir41a-RC							
FBtr0339709	wtrw-RD	1.946222	0.014577	18	FlyBase wtrw-RD	Figure for wtrw-RD							
FBtr0082648	Dtg-RA	0.979841	0.038029	8.4	FlyBase Dtg-RA	Figure for Dtg-RA							
FBtr0086982	CG15611-RA	1.96612	0.017474	0.6	FlyBase CG15611-RA	Figure for CG15611-RA							
FBtr0084357	CG17119-RA	1.192538	0.026973	8.9	FlyBase CG17119-RA	Figure for CG17119-RA							
FBtr0089394	Vamp7-RA	0.999055	0.037151	19.6	FlyBase Vamp7-RA	Figure for Vamp7-RA							
FBtr0086662	IM1-RA	0.674717	0.043198	12.5	FlyBase IM1-RA	Figure for IM1-RA							
FBtr0089546	CG5002-RA	0.660678	0.038333	10.9	FlyBase CG5002-RA	Figure for CG5002-RA							
FBtr0089656	JhI-21-RB	1.132031	0.023417	10.9	FlyBase JhI-21-RB	Figure for JhI-21-RB							
FBtr0088331	Or46a-RB	1.812787	0.01179	7.2	FlyBase Or46a-RB	Figure for Or46a-RB							
FBtr0071653	Egfr-RA	1.579842	0.021821	4.3	FlyBase Egfr-RA	Figure for Egfr-RA							
FBtr0079782	rost-RA	1.557125	0.020616	1.5	FlyBase rost-RA	Figure for rost-RA							
FBtr0077705	CG31689-RC	1.346878	0.017474	5.1	FlyBase CG31689-RC	Figure for CG31689-RC							
FBtr0077459	CG15431-RA	0.863466	0.043683	11.2	FlyBase CG15431-RA	Figure for CG15431-RA							
