test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
FBtr0070026	FBgn0031093	-	X:20166672-20169981	young	old	OK	2.21129	4.01317	0.859856	1.23092	5e-05	0.000518851	yes
FBtr0070041	FBgn0052230	-	3L:23339227-23345936	young	old	OK	288.147	204.414	-0.495312	-1.31595	5e-05	0.000518851	yes
FBtr0070046	FBgn0052350	-	3L:23147655-23150668	young	old	OK	30.4923	22.1484	-0.461242	-1.57896	5e-05	0.000518851	yes
FBtr0070080	FBgn0023534	-	X:494613-496369	young	old	OK	17.2639	10.8644	-0.668141	-1.59553	5e-05	0.000518851	yes
FBtr0070141	FBgn0260855	-	X:806075-808200	young	old	OK	44.4081	56.8532	0.356418	1.21347	5e-05	0.000518851	yes
FBtr0070146	FBgn0015799	-	X:797089-801479	young	old	OK	6.67301	10.4718	0.650094	1.98236	5e-05	0.000518851	yes
FBtr0070147	FBgn0025620	-	X:784745-790089	young	old	OK	30.018	12.3195	-1.28489	-3.54134	5e-05	0.000518851	yes
FBtr0070186	FBgn0040349	-	X:946661-947500	young	old	OK	18.5298	10.7474	-0.785863	-1.75183	5e-05	0.000518851	yes
FBtr0070212	FBgn0024364	-	X:1354013-1356473	young	old	OK	3.49827	5.23237	0.580822	1.37221	5e-05	0.000518851	yes
FBtr0070245	FBgn0026876	-	X:1236872-1239884	young	old	OK	0.500166	1.19686	1.25878	1.81535	5e-05	0.000518851	yes
FBtr0070259	FBgn0025381	-	X:1477062-1481420	young	old	OK	18.6932	29.0946	0.638236	1.96134	5e-05	0.000518851	yes
FBtr0070263	FBgn0283451	-	X:1523553-1669297	young	old	OK	7.98767	5.21148	-0.616082	-1.26497	5e-05	0.000518851	yes
FBtr0070300	FBgn0026086	-	X:1773718-1853667	young	old	OK	50.0357	20.4261	-1.29254	-1.76866	5e-05	0.000518851	yes
FBtr0070334	FBgn0025628	-	X:2066434-2075900	young	old	OK	3.15962	7.02758	1.15328	1.39014	5e-05	0.000518851	yes
FBtr0070337	FBgn0025628	-	X:2066434-2075900	young	old	OK	13.6347	27.3545	1.00449	2.37706	5e-05	0.000518851	yes
FBtr0070406	FBgn0044047	-	X:2295465-2343870	young	old	OK	57.4172	80.6108	0.489491	1.57174	5e-05	0.000518851	yes
FBtr0070427	FBgn0005670	-	X:2159144-2162180	young	old	OK	0.854523	10.456	3.61307	5.64668	5e-05	0.000518851	yes
FBtr0070502	FBgn0024992	-	X:2694391-2698211	young	old	OK	6.03118	9.71153	0.687259	1.89167	5e-05	0.000518851	yes
FBtr0070625	FBgn0029689	-	X:3965434-3968655	young	old	OK	5.4623	9.42407	0.786843	2.16874	5e-05	0.000518851	yes
FBtr0070639	FBgn0026084	-	X:4106112-4110981	young	old	OK	13.7509	41.0501	1.57786	1.56887	5e-05	0.000518851	yes
FBtr0070641	FBgn0026084	-	X:4106112-4110981	young	old	OK	98.737	229.827	1.21889	4.038	5e-05	0.000518851	yes
FBtr0070655	FBgn0040907	-	X:4321763-4322231	young	old	OK	99.9421	73.0699	-0.451816	-1.11022	5e-05	0.000518851	yes
FBtr0070763	FBgn0026751	-	X:5329875-5332435	young	old	OK	1.68892	3.77648	1.16094	2.27084	5e-05	0.000518851	yes
FBtr0070776	FBgn0029765	-	X:5427516-5428217	young	old	OK	167.562	127.503	-0.394159	-1.294	5e-05	0.000518851	yes
FBtr0070777	FBgn0029766	-	X:5429570-5432526	young	old	OK	83.2306	693.982	3.05971	8.94442	5e-05	0.000518851	yes
FBtr0070783	FBgn0004687	-	X:5619135-5622539	young	old	OK	38.4266	68.2435	0.828585	1.42671	5e-05	0.000518851	yes
FBtr0070797	FBgn0029762	-	X:5405237-5410849	young	old	OK	24.1934	41.2198	0.768728	2.6332	5e-05	0.000518851	yes
FBtr0070801	FBgn0029785	-	X:5672400-5673547	young	old	OK	165.336	260.254	0.654516	1.82265	5e-05	0.000518851	yes
FBtr0070808	FBgn0029799	-	X:5752248-5754958	young	old	OK	6.10594	2.98233	-1.03377	-1.52201	5e-05	0.000518851	yes
FBtr0070814	FBgn0029810	-	X:5792139-5794543	young	old	OK	77.6054	129.111	0.734383	2.59464	5e-05	0.000518851	yes
FBtr0070848	FBgn0046687	-	X:5673829-5679977	young	old	OK	2.12951	3.73184	0.809367	1.25378	5e-05	0.000518851	yes
FBtr0070866	FBgn0029831	-	X:5988790-5992640	young	old	OK	21.8877	71.6641	1.71113	5.49167	5e-05	0.000518851	yes
