FBID	0	4	8	12	16	20	24	28	32	36	40	44
FBtr0070000	0	0.0057864	0.000722124	0	0	0	0	0.00251128	0	0	0	0
FBtr0307554	4.0061	13.0324	6.39124	0.740754	6.61726	1.41872	1.42428	11.595	5.44109	1.37319	0.371674	1.67442
FBtr0307555	27.7416	23.3513	26.1066	30.871	29.0377	34.6572	33.7683	22.9833	29.7446	31.6204	38.5298	36.6896
FBtr0070002	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070003	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301569	0.0766355	0.105318	0.0611305	0.0178402	0	0.061562	0.0959211	0.109498	0.148324	0.0162163	0.0644136	0.104744
FBtr0343166	3.08679e-05	2.9236e-05	2.46227e-05	2.74447e-05	0	3.33979e-05	3.09025e-05	2.94008e-05	2.44512e-05	2.68747e-05	3.24378e-05	3.37449e-05
FBtr0070029	0	0.0497407	0	0	0	0	0	0	0	0	0	0
FBtr0301572	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070032	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070035	0.16904	0	0	0	0	0	0	0	0	0	0	0.0616053
FBtr0070036	6.88734	2.80409	3.05216	5.35095	4.35584	3.55237	5.23574	2.79387	2.66534	2.9187	4.28857	2.51004
FBtr0070045	16.8014	17.779	17.6637	24.4226	17.4139	25.9884	21.7061	17.1324	24.1503	24.0179	31.588	30.1079
FBtr0070046	23.0084	18.3767	21.4621	26.3202	20.2146	26.5972	26.3051	17.3911	22.9988	19.417	34.2806	26.0857
FBtr0299869	2164.82	1668.38	1525.68	1650.57	1726.35	2597.55	2192.24	1847.68	1594.21	1980.35	1765.64	2424.45
FBtr0299870	206.376	188.761	153.122	146.973	204.766	248.702	221.64	235.82	157.75	183.372	134.994	294.426
FBtr0333910	17.58	16.834	17.1109	24.8724	18.4273	25.0347	19.5859	16.4954	20.2153	19.1831	24.0026	20.746
FBtr0070063	3.23146	4.29396	2.57534	2.41951	2.18488	2.50315	1.76214	2.92784	1.3947	2.18861	1.17154	1.76383
FBtr0332992	6.95306	4.91586	5.69665	5.89412	5.75063	5.98671	7.47029	6.29689	7.14925	5.72727	7.95937	6.57076
FBtr0070064	0.536181	7.62943	3.60657	7.08406	0.00654295	0.00054208	3.177	0.398405	16.7148	0.0046135	0	7.89839
FBtr0070065	25.391	16.9329	18.8287	13.987	22.7728	20.9202	21.0222	23.874	7.01041	22.073	23.5773	15.5421
FBtr0070066	1.78683	3.02245	1.01732	0.493336	1.1314	2.82367	2.20084	0.476829	0.115151	0.757964	0.455339	2.25088
FBtr0070067	0.00185486	0.00257031	0.00192002	0.00174473	0.00206482	0.00275715	0.00238517	0.0013268	1.47821	0.00150161	0.00147256	0.0027611
FBtr0070068	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0342962	0.0693684	0	0	0	0	0	0.138553	0	0.103671	0	0.483958	0.229651
FBtr0344149	0	0	0	0	0	0	0	2.63478	0	0	0	0
FBtr0070069	1.04098	0.78527	0.439613	1.14175	0.621755	0.459184	1.16494	1.2831	0.853044	0.674641	0.960948	1.0042
FBtr0070070	1.11262	1.74713	1.22556	1.18546	0.586869	0.908077	1.85666	1.61476	1.47616	1.03275	1.48462	1.27433
FBtr0070071	1.39478	0.886548	0.635764	0.530773	0.262766	0.8233	0.912045	0.840467	0.925295	0.627247	1.02097	0.840275
FBtr0070072	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070073	0	0	0	0	0	0.0453127	0	0	0	0	0.0474974	0
FBtr0070074	0	0	0	0	0.0539406	0	0	0	0	0	0	0
FBtr0070075	0	0	0	0	0	0	0	0	0	0	0	0.0256643
FBtr0070076	0.323244	0.198366	0	0.323533	1.25974	0	0	0.15226	0	0.324497	0.410913	0.403194
FBtr0112947	1.5961	1.23526	1.36535	0.670484	1.48945	1.10017	2.65636	1.00607	0.662408	0.655156	2.5132	1.13947
FBtr0070077	0.473969	0.144774	0.378065	0	0.583387	0.169263	0.632763	0.300904	0	0.267842	0.177117	0.663135
FBtr0336919	0	0	0	0	0	0	0	0	0.127286	0	0	0.194245
FBtr0300328	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070078	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336920	0.624193	0	0	0.334657	0	0	9.36202e-06	0.695885	0.54953	0	8.27591e-06	0
FBtr0336921	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343501	0.000612588	1.91162	1.46876	0.455184	2.49268	1.84096	0.614509	0.44564	0.669175	1.35251	0.963068	1.6105
FBtr0070079	5.53612	7.48424	5.50547	4.25189	6.6182	5.38188	6.42203	7.33985	5.87044	5.2916	5.30292	6.50609
FBtr0070080	10.7272	9.41543	14.4033	13.0989	9.20077	12.1165	14.771	9.80188	12.0694	13.8869	14.5345	8.19401
FBtr0340145	1.40322	1.07096	0	0.654185	0	1.00115	0	0.667393	0.362296	0.595191	0.786379	1.02161
FBtr0070088	2.86038	1.56296	1.72125	1.02927	1.9454	2.41905	1.90927	1.91174	1.1652	1.78634	2.3627	2.79813
FBtr0070092	64.2057	59.1989	59.4151	61.0947	54.0012	64.0035	56.3881	59.5472	48.633	57.4763	48.3289	56.2169
FBtr0070093	4.90739	5.26863	3.15863	1.87867	3.69323	2.84199	5.2626	2.65996	4.23729	2.52897	4.10715	5.32754
FBtr0070094	5.9725	5.9107	5.00587	5.16797	5.31463	6.60088	5.34776	4.82236	5.78558	5.19044	5.09485	6.68176
FBtr0070099	0.251663	0.0691578	0.301094	0.516134	0.464549	1.29388	0.0252547	0.0480019	0	0.042655	0.394911	0.0825516
FBtr0070100	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070101	0	1.24124	1.11321	1.25822	1.45232	2.37439	0.698876	2.26536	2.27067	0	2.7329	2.32713
FBtr0070102	0	0	0	0.890811	0	0	0	0	0	1.24581	0	0
FBtr0273442	0	0	0.213741	0	0.950044	0	0.14202	0.165202	0	0.422475	0.316972	0.253587
FBtr0273443	1.07135	0	0	0	0	0	0	0	0	0	0	0
FBtr0344150	1.05448	1.17262	0.639495	0	0	0	1.86596	0	0	0	0	0
FBtr0344151	1.00683	0	0	0	0	0	0	0	0	0.00176216	0	0
FBtr0070103	0.426288	0.313971	0	0.0666638	0.0712376	0.157008	0.167975	0	0	0	0.246454	0.227496
FBtr0300326	19.8933	19.4366	20.5657	20.8434	20.127	24.642	24.6455	20.5898	23.0367	23.1651	30.7389	24.08
FBtr0342963	0	0.0647674	0	0	0.0519392	0	0	0	0	0	0.0512504	0
FBtr0070107	0	0	0.5405	0.258943	0.00604309	0.247331	0	0.346183	0	0	4.73047e-05	7.60366e-05
FBtr0070108	4.10097	4.69603	3.63888	3.70897	1.7637	3.11362	4.12021	3.41424	4.20562	2.36356	2.56096	3.35013
FBtr0340207	0.000110207	0	0	9.83893e-05	2.11458	0.818255	0.864309	0.230387	0.000137887	0.955008	1.7446	0.93458
FBtr0070109	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307291	42.1917	47.8534	40.9286	42.8266	34.8142	33.185	43.376	37.4405	43.8197	37.1616	46.6029	31.9418
FBtr0307292	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307293	5.79306	4.81371	7.22784	4.17673	3.06988	4.77527	5.82935	5.59252	2.56463	4.47858	4.45819	4.64992
FBtr0307294	141.123	117.134	111.567	103.517	100.753	90.7505	151.698	122.679	122.904	107.653	129.293	93.1998
FBtr0307295	8.13797	8.31853	8.79731	4.43117	6.53628	6.81404	6.65548	11.1883	6.88887	7.47318	2.69803	6.35488
FBtr0070115	9.23389	10.0325	8.17933	6.00617	8.67175	5.8085	8.65404	9.15228	6.93909	7.1437	5.23491	8.74566
FBtr0070116	0.000158975	0.000278581	0.000228078	3.23693	0.000302229	0.000317444	0.884212	1.51021	0.421667	0.000262587	1.98629	0.000308643
FBtr0070117	0.000149936	0	0	0	1.61115	0	0.00273203	7.10112e-05	0	0	0.00102931	0
FBtr0070118	3.95537	3.67135	3.84472	0.575115	2.49754	3.31109	3.91305	2.15703	3.26817	3.99627	2.65181	3.69443
FBtr0070119	3.53195	2.89129	2.32582	2.18591	3.5514	2.97855	3.03973	2.54793	2.55917	2.42029	3.47014	2.66202
FBtr0070120	4.19792	3.10574	3.816	3.615	3.65497	4.21774	3.3235	3.14425	2.97137	2.80992	4.1752	4.27922
FBtr0340081	0.84626	0	0.00014579	7.68279e-05	0.552935	0.000177701	0.000168442	7.11247e-05	0.000407592	5.87637e-05	0.00218929	0.00026169
FBtr0340082	1.3352	1.69035	0.879613	0.519186	0.632062	1.74822	2.28647	2.19313	1.58817	1.45191	0.972993	2.38837
FBtr0070121	5.85295	4.15438	4.57602	5.31221	5.5813	5.19032	6.83042	3.54396	4.53007	5.35492	7.64617	4.15312
FBtr0308651	0.906279	0	0.653122	0.467895	0.423784	0	0	0	0	0	0	0
FBtr0070122	35.369	36.4583	25.0498	24.0633	32.8672	29.0622	25.1284	36.4297	22.8807	29.3095	23.9848	41.5122
FBtr0343564	21.7343	13.8657	17.6578	19.4592	16.7138	18.2279	30.1938	15.2419	19.5566	14.3025	17.0997	11.4209
FBtr0070134	14.1513	9.53379	8.41272	9.58281	10.0664	9.30871	11.9817	11.0189	9.34548	7.92162	9.58995	6.90454
FBtr0343759	0.175384	0	0.116628	0.14905	0.296523	0	0.366708	0	0	0	0.183884	0
FBtr0070135	120.315	132.879	106.943	123.309	118.271	115.261	131.172	117.041	123.671	140.709	132.394	133.367
FBtr0070136	73.4481	125.336	106.111	70.196	160.503	242.879	83.3645	148.287	112.801	114.3	119.645	272.431
FBtr0070137	36.1062	29.299	33.5144	32.6473	28.1153	28.9838	34.4088	32.474	35.0705	33.325	33.8582	25.0556
FBtr0070138	0.642572	0.87715	0.367467	0.970868	0.496929	1.04496	0.867103	0.919877	0.531257	0.820027	1.12908	0.399036
FBtr0112928	1.25047e-05	1.50749e-05	0.22461	0	0.552975	0	0.244661	0	0.290563	0.113483	0	0.761809
FBtr0345511	0.374395	0.149171	0.41903	0.227238	0.155417	0.179917	0.107347	0.100777	0.186047	0.228482	0.18344	0.181514
FBtr0070140	9.55176	12.4572	10.0711	7.45247	10.4391	10.5185	6.93058	12.3989	10.2876	8.80864	5.04118	9.65186
FBtr0343325	6.66894	6.25447	6.68115	5.70049	6.64814	5.9018	7.35706	6.90971	5.02997	6.841	6.11202	6.65444
FBtr0070142	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0290198	0.0853003	0.03907	0.0340211	0.159053	0	0.137066	0.0854058	0.0812402	0.231073	0	0.143409	0.186522
FBtr0070145	0	0	0.0521044	0	0	0.0349867	0	0	0	0	0	0
FBtr0070146	11.5498	11.8976	10.9093	11.4098	10.6749	10.4389	12.0236	10.7233	10.4312	11.0209	14.677	10.3531
FBtr0070147	15.5151	13.017	13.4769	12.4481	11.4979	9.22911	20.1647	14.6345	15.6456	9.3567	10.0742	8.6447
FBtr0070148	1288.64	726.324	1312.11	1866.11	1164.64	1356.35	1451.43	882.48	1157.73	1413.17	1484.9	914.135
