geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzero
FBtr0347285	CG33939-RB	0.009138	0.040674	0.0005	0.0097	2.314766	1.018579	2.623401	3.240230	9.033293	35.915875	2.974114	1.200461	8.808735	6.119495	1	1	1	1
FBtr0088422	Pfk-RB	0.008325	0.0	0.0004	0.0	2.594640	3.419732	2.660043	3.563821	7.072845	54.020371	5.164728	5.836708	46.248050	41.121250	0	1	1	1
FBtr0331842	CG7564-RB	0.019809	0.01179	0.0023	0.0008	1.393129	1.461249	3.673767	3.214461	59.268394	76.103618	2.539358	3.186702	28.147050	26.338500	1	0	1	1
FBtr0089050	Ady43A-RA	0.023063	0.0	0.0031	0.0	0.778586	1.736664	1.285436	4.243164	23.273527	0.368183	1.092425	0.570176	20.199350	11.391500	1	1	1	1
FBtr0082568	CG4115-RA	0.020077	0.021821	0.0024	0.0027	1.717497	1.461855	1.988207	2.163770	81.827563	30.331646	4.852461	0.818407	5.510535	5.453580	1	1	1	1
FBtr0077334	obst-A-RA	0.024682	0.01179	0.0036	0.0008	1.214282	1.311068	3.370801	2.240218	60.847267	65.595480	4.729837	4.702554	7.223970	6.335900	1	1	1	1
FBtr0304001	Rbp1-like-RB	0.042034	0.027683	0.0113	0.0043	0.997224	1.740865	4.289791	6.032368	3.380519	4.173456	2.604012	3.380535	69.054250	61.960900	0	1	1	1
FBtr0083784	ort-RA	0.031077	0.033524	0.0057	0.0063	1.800815	1.397483	5.709664	2.538644	3.425594	8.127227	20.680585	5.452794	10.363095	8.885225	1	1	1	1
FBtr0299698	prom-RB	0.0	0.028574	0.0	0.0046	4.609234	1.912637	5.203864	2.244600	24.064535	19.208633	19.892604	21.780184	11.896220	8.519690	1	1	1	1
FBtr0342673	CG11099-RB	0.011853	0.011106	0.0008	0.0007	2.166575	2.035948	2.198071	3.088602	25.866064	91.633174	22.458320	0.153622	45.975850	30.044000	1	1	1	1
FBtr0084214	PyK-RA	0.008325	0.007274	0.0004	0.0003	1.827000	2.490021	1.967390	3.659387	11.545050	1.441287	23.198491	0.485298	72.089950	40.237450	1	1	1	1
FBtr0302409	CG17691-RE	0.032454	0.007274	0.0062	0.0003	1.233034	2.302880	2.053953	2.763293	1.471257	6.351261	2.968954	3.233749	173.692000	168.376500	1	1	1	1
FBtr0080336	CG17211-RA	0.041811	0.022646	0.0112	0.0029	0.572944	1.796396	2.210841	2.972708	63.158033	77.227902	5.479468	6.786683	7.151555	2.834145	1	1	1	1
FBtr0072150	Fmo-1-RA	0.010993	0.012733	0.0007	0.0009	2.452105	2.286681	3.193554	5.244070	16.325647	1.277215	21.691025	21.302825	9.782175	8.107080	1	1	1	1
FBtr0080095	CG18302-RA	0.023613	0.014133	0.0033	0.0011	0.842830	1.625425	1.113380	1.825720	89.942433	64.074193	14.795599	13.493449	7.026815	4.072785	1	1	1	1
FBtr0100009	drd-RA	0.023507	0.021821	0.0032	0.0027	1.589715	1.768460	2.505336	1.960814	76.338045	95.455010	8.338006	7.762962	8.954555	5.215435	1	1	1	1
FBtr0301297	CG9775-RD	0.049428	0.044621	0.0157	0.0124	0.724257	0.611428	2.189698	1.399672	1.318892	1.523346	2.035689	2.840518	33.913350	27.597200	0	1	1	1
FBtr0310444	CG1628-RC	0.009138	0.01179	0.0005	0.0008	1.841132	1.837206	2.361944	2.857470	94.810469	94.710906	11.581165	11.627356	41.231850	30.451850	1	1	1	1
FBtr0299796	CG42329-RA	0.014986	0.04386	0.0013	0.0117	2.065883	1.234251	2.859916	1.749589	29.226736	24.963113	4.019053	23.962817	8.976235	5.947255	1	1	1	1
FBtr0073294	DOR-RD	0.020077	0.029125	0.0024	0.0048	1.036400	1.255706	1.350065	2.346931	47.438882	57.515836	3.672974	4.693020	34.804700	23.707000	1	1	1	1
FBtr0088438	Pka-R2-RB	0.018307	0.039006	0.002	0.0089	1.160533	0.759793	3.587983	4.740092	7.732762	8.447341	6.636006	5.164434	72.014000	68.330100	0	1	1	1
FBtr0110906	Ekar-RB	0.035982	0.028027	0.0078	0.0044	1.178490	0.905062	3.801612	3.997514	1.765070	0.689705	3.022559	1.884863	29.150950	22.607650	1	1	1	1
FBtr0339237	CG11221-RB	0.017147	0.035056	0.0017	0.0072	1.506694	1.233837	2.559044	1.532097	10.588502	35.538451	7.683231	8.750832	15.905650	10.887600	1	1	1	1
FBtr0084139	CG6656-RA	0.028909	0.008746	0.0049	0.0004	1.792507	2.973948	2.092563	4.382467	18.933727	2.521767	21.763221	3.451183	65.264250	55.888750	1	1	1	1
FBtr0077323	CG15456-RA	0.036062	0.019089	0.0079	0.002	0.371748	1.537528	0.710211	3.568831	79.728889	12.806762	20.035066	19.531696	8.968685	7.821715	1	1	1	1
FBtr0078179	CG5618-RA	0.012521	0.003712	0.0009	0.0001	1.538144	2.292018	2.510901	4.102344	18.174731	0.689814	22.325561	0.906882	37.146400	31.222750	1	1	1	1
FBtr0334606	gish-RM	0.039267	0.028574	0.0098	0.0046	1.099842	1.366979	3.505262	2.925208	65.721015	84.910479	6.643530	6.935961	62.312600	50.665300	1	1	1	1
FBtr0331658	Ndae1-RD	0.0	0.032412	0.0	0.0058	4.035417	1.022818	4.759526	2.362601	12.372584	4.034207	22.627579	21.779620	5.972500	3.164125	1	1	1	1
FBtr0076648	GAPsec-RA	0.037798	0.047375	0.0089	0.0143	-0.003795	0.533885	5.756573	3.377954	80.145521	1.418554	4.858311	21.862600	6.302085	6.249185	1	1	1	1
FBtr0084949	boss-RA	0.0	0.0	0.0	0.0	3.823085	3.256157	5.958005	5.588983	1.265728	0.683369	23.357817	0.102609	58.675150	40.996450	1	1	1	1
FBtr0308835	Ih-RK	0.031642	0.026577	0.0059	0.004	1.194678	1.714867	2.740151	2.180250	0.623715	31.583723	1.624830	0.989548	58.025100	42.287700	1	1	1	1
FBtr0112900	Gpo1-RD	0.022706	0.045743	0.003	0.0131	1.332763	0.776933	2.227783	2.175027	7.958611	98.986471	6.640911	7.002718	33.037750	26.469950	1	1	1	1
FBtr0335205	Gdh-RD	0.014403	0.007274	0.0012	0.0003	2.146750	2.498239	2.318807	2.656578	13.064307	28.526309	22.327041	0.807345	113.476000	72.281250	1	1	1	1
FBtr0083361	Scp2-RA	0.025698	0.047923	0.0039	0.0148	1.529934	0.854867	3.613207	3.016919	4.366789	1.944785	4.994291	3.296978	296.295000	241.021500	1	0	1	1
FBtr0070907	kdn-RA	0.0	0.003712	0.0	0.0001	3.517571	2.973555	4.313846	4.755210	34.765701	0.034644	1.091742	0.165130	164.621000	94.016000	1	1	1	1
FBtr0071091	spidey-RA	0.026354	0.014577	0.0041	0.0012	1.269775	2.443421	2.609693	3.191411	23.916861	8.324326	0.797373	2.046858	28.310500	24.461850	1	0	1	1
FBtr0088471	trpl-RA	0.00999	0.033998	0.0006	0.0067	2.006272	1.265368	3.273816	2.038453	75.904231	25.730212	9.337808	9.397158	400.432000	249.907000	1	1	1	1
FBtr0343324	CG12541-RE	0.030526	0.01179	0.0055	0.0008	1.474571	2.279392	3.537605	2.542338	44.867407	14.681566	0.044455	23.366507	8.837780	8.050450	1	1	1	1
FBtr0078536	CG11241-RA	0.018307	0.048207	0.002	0.015	1.257136	0.719509	2.622096	3.166049	103.337066	3.864749	16.803417	16.394892	8.380915	7.758610	1	1	1	1
FBtr0075471	CG4962-RA	0.013672	0.042351	0.0011	0.0106	2.200329	0.703004	2.541932	3.523666	96.864821	83.613123	9.068210	4.085830	12.188100	6.696945	1	1	1	1
FBtr0076556	CG5644-RA	0.016056	0.047102	0.0015	0.0141	0.864749	0.867442	2.414417	1.405805	15.403515	1.355183	21.523988	22.237276	7.174565	3.588515	1	1	1	1
FBtr0300179	gol-RD	0.0	0.003712	0.0	0.0001	3.831244	3.385915	5.646383	5.830871	33.554819	78.229500	12.733669	9.357233	34.637950	27.231550	1	1	1	1
FBtr0080489	CG16974-RA	0.0	0.0	0.0	0.0	3.069238	3.660353	4.980069	5.504105	0.249643	1.077380	22.799567	0.985075	57.513350	46.022550	1	1	1	1
FBtr0331392	mwh-RA	0.020585	0.030327	0.0025	0.0052	2.338763	1.404183	4.633141	2.043067	61.577680	68.635695	7.059135	7.918205	3.556195	1.506315	1	1	1	1
FBtr0082438	CG6834-RA	0.011853	0.003712	0.0008	0.0001	2.705220	3.749758	5.223390	4.682338	13.871136	50.735170	5.095610	4.523997	27.879800	27.832950	1	1	1	1
FBtr0078619	Gasp-RA	0.015557	0.014133	0.0014	0.0011	2.242315	2.308521	2.731901	2.718853	2.846104	47.304243	4.117852	1.283759	20.849500	10.838100	1	1	1	1
FBtr0346536	Pdp1-RP	0.012983	0.01179	0.001	0.0008	1.071997	2.290434	2.521554	2.618323	32.787555	42.481851	13.004767	10.856030	202.004500	161.536500	1	1	1	1
FBtr0331634	CG42367-RC	0.006281	0.011106	0.0002	0.0007	1.799251	1.969331	3.426599	4.265777	5.272488	12.644922	21.189087	19.876474	2.404805	2.632970	1	1	1	1
FBtr0075424	Cpr72Ec-RA	0.004004	0.0	0.0001	0.0	2.445545	2.887158	5.366279	3.963556	0.093761	0.878558	0.714568	1.464665	97.797850	65.487400	1	1	1	1
FBtr0087047	inaC-RA	0.0	0.0	0.0	0.0	4.904050	3.722817	8.494568	6.479224	1.152927	0.719497	1.105253	0.652077	316.923000	263.461000	1	1	1	1
FBtr0072102	Eglp4-RA	0.0411	0.0	0.0109	0.0	0.812972	2.851610	2.343371	5.149727	47.623446	53.465248	4.074511	4.162065	77.778100	57.335250	1	1	1	1
FBtr0307047	chinmo-RH	0.018893	0.047923	0.0021	0.0147	1.335238	0.676616	1.841121	1.583225	108.318599	24.815028	10.119170	11.073414	32.654000	27.100050	1	1	1	1
FBtr0084864	CG10514-RA	0.047318	0.048814	0.0142	0.0154	1.010038	0.772905	2.111881	4.470758	23.121108	5.065551	23.773247	19.831402	5.507915	5.302750	1	1	1	1
FBtr0079799	Cks30A-RA	0.015557	0.009636	0.0014	0.0005	2.088108	2.696625	6.475451	6.530198	99.973415	103.039052	6.699441	7.530825	5.962250	3.130420	1	1	1	1
FBtr0079382	nrv2-RA	0.015557	0.013512	0.0014	0.001	1.652795	2.104694	3.243997	2.790668	74.177669	86.969599	7.264734	8.862148	126.236000	77.411950	1	1	1	1
FBtr0113215	CG14688-RB	0.022706	0.005754	0.003	0.0002	1.383953	2.025336	3.548226	4.579910	5.857445	0.973729	2.799791	1.807124	45.641300	35.001200	1	1	1	1
FBtr0336624	CG17005-RE	0.0	0.0	0.0	0.0	3.468091	3.202161	5.604863	5.291085	82.685311	77.254679	7.696183	7.379834	5.341310	2.751655	1	1	1	1
FBtr0336623	CG17005-RD	0.0	0.008746	0.0	0.0004	3.690548	3.419087	7.847922	6.072616	77.605433	78.810582	8.213686	7.979958	9.794670	5.498435	1	1	1	1
FBtr0100479	Gapdh1-RB	0.028909	0.033524	0.0049	0.0063	1.325920	1.211904	2.795058	3.394991	18.484707	8.606860	5.808925	6.491827	209.916000	148.046000	1	1	1	1
FBtr0331810	CG7430-RB	0.041496	0.024935	0.0111	0.0035	0.752363	1.784953	1.171805	1.951540	18.126758	1.314693	22.403214	0.221687	53.378200	44.630350	1	1	1	1
FBtr0084362	CG13833-RA	0.008325	0.0	0.0004	0.0	2.676003	1.416664	3.189697	3.713928	1.209582	0.444855	22.158004	22.407769	11.941950	7.754615	1	1	1	1
FBtr0074344	CG4928-RA	0.00999	0.0	0.0006	0.0	2.321806	3.944029	3.476056	4.531547	1.628528	26.258900	2.502172	0.242550	41.730400	42.868550	1	1	1	1
FBtr0073004	CG32486-RD	0.024912	0.01179	0.0037	0.0008	1.551345	1.775646	2.103899	2.913507	21.096476	77.423789	23.068837	2.608380	83.912700	74.805600	1	1	1	1
FBtr0083712	NP15.6-RA	0.018021	0.044142	0.0019	0.0119	1.156110	0.889138	1.243362	1.024226	18.949183	19.594682	22.495426	0.289389	85.426900	73.432950	1	1	1	1
FBtr0289993	CG30050-RB	0.042891	0.008746	0.0118	0.0004	0.897351	1.923006	1.876705	4.233632	58.023491	0.140309	6.206480	0.907579	13.398450	4.589070	1	1	1	1
FBtr0082298	CG14694-RA	0.012521	0.039006	0.0009	0.0089	1.963755	1.146328	2.453239	2.161908	68.316211	80.385859	5.470663	6.390826	7.842540	5.981435	1	1	1	1
FBtr0073233	CG1316-RA	0.034291	0.011106	0.0071	0.0007	1.011323	1.745227	1.113851	3.423399	36.906708	75.202311	0.677962	2.653441	49.957250	45.826400	0	1	1	1
