#transcriptID	transcriptSymbol	chrom	strand	positions
FBtr0339110	CG44252-RB	2R	+	23052248:23058248,23058466:23059055
FBtr0089514	Atpalpha-RF	3R	+	20942780:20948780,20948830:20960726
FBtr0071174	CG10555-RA	X	+	8392940:8398940,8400004:8400117
FBtr0336818	CG13086-RC	2L	+	19358375:19364375
FBtr0113393	CG31140-RE	3R	+	23957180:23963180,23963224:23965800
FBtr0302112	tmod-RJ	3R	+	30540979:30546979,30547168:30548421
FBtr0339071	PIG-V-RA	2R	+	16949458:16955458
FBtr0301302	Dhc98D-RB	3R	+	28480953:28486953,28488066:28488193
FBtr0331963	CG12963-RL	2R	+	15549446:15555446,15555558:15555613
FBtr0088788	Rs1-RA	2R	+	8158880:8164880,8165049:8165107
FBtr0072832	CG12024-RA	3L	+	1851165:1857165
FBtr0332930	Asx-RD	2R	+	14497958:14503958,14504571:14505168
FBtr0342766	pcx-RE	X	+	2219296:2225296,2225864:2225906
FBtr0087378	Arf51F-RA	2R	+	15316501:15322501,15322742:15323449
FBtr0091609	CG33632-RA	2R	+	12516023:12522023,12522086:12522135
FBtr0100883	mt:ND6-RA	mitochondrion_genome	+	3971:9971
FBtr0071068	ct-RA	X	+	7603148:7609148,7609539:7645780
FBtr0303274	CG42748-RE	2L	+	22147575:22153575,22153707:22154798
FBtr0086229	CG13436-RA	2R	+	20630392:20636392,20637109:20637165
FBtr0082127	CG31415-RA	3R	+	9737517:9743517
FBtr0079478	Ntl-RA	2L	+	7704880:7710880,7711204:7711832
FBtr0331564	ND-39-RB	3L	+	20489347:20495347,20495520:20495625
FBtr0346863	Nplp2-RC	3L	+	13350534:13356534,13356644:13356727
FBtr0344754	ATPsynbeta-RD	4	+	1025864:1031864,1031954:1032907
FBtr0083225	sxe2-RA	3R	+	16079505:16085505,16085809:16085878
FBtr0331357	CDase-RF	3R	+	30453521:30459521,30459541:30462815
FBtr0100164	RpL13-RB	2L	+	9961330:9967330,9967359:9967617
FBtr0301265	CG42561-RA	2R	+	17678855:17684855,17684905:17684974
FBtr0085366	CG11876-RA	3R	+	29107071:29113071,29113141:29113209
FBtr0085568	CG15530-RA	3R	+	30171877:30177877,30178196:30178249
FBtr0075058	Cat-RA	3L	+	18816604:18822604,18822843:18826338
FBtr0072297	CG16837-RA	2R	+	24469386:24475386
FBtr0074991	CG9666-RA	3L	+	19258404:19264404,19264623:19264681
FBtr0339395	5-HT2A-RF	3R	+	4613253:4619253,4619595:4622509
FBtr0303649	CG31493-RB	3R	+	7125560:7131560,7131756:7131826
FBtr0100645	CG9133-RB	3L	+	1247853:1253853,1253994:1254076
FBtr0089327	sv-RA	4	+	1082798:1088798,1089063:1092259
FBtr0089432	Sam-S-RH	2L	+	101937:107937,108227:108588
FBtr0345118	Oatp74D-RE	3L	+	17481634:17487634,17488333:17501445
FBtr0087044	CG6429-RA	2R	+	16867015:16873015
FBtr0300062	CG10357-RC	3L	+	3609382:3615382,3615623:3615698
FBtr0074894	Pfdn6-RA	3L	+	19917671:19923671,19923895:19923982
FBtr0084049	CG5862-RA	3R	+	21209079:21215079
FBtr0344941	CG7564-RC	3L	+	17508298:17514298
FBtr0073039	CG14958-RA	3L	+	3183978:3189978
FBtr0100135	tyn-RA	X	+	169973:175973,176405:187569
FBtr0336764	CG1647-RB	3R	+	28814221:28820221,28820506:28820572
FBtr0076754	nmo-RA	3L	+	7973046:7979046,7979174:7979510
FBtr0087975	CG8321-RA	2R	+	12027946:12033946,12034433:12035488
FBtr0081333	CG10721-RA	2L	+	20085612:20091612
FBtr0340195	sdk-RG	X	+	680834:686834,687075:687573
FBtr0082869	CG3061-RA	3R	+	14026371:14032371,14032823:14033267
FBtr0333915	CG43968-RA	3L	+	23778231:23784231
FBtr0083634	CG14305-RA	3R	+	18592756:18598756
FBtr0091804	CheA46a-RA	2R	+	9742800:9748800
FBtr0344885	CG33017-RC	2R	+	16266114:16272114,16272642:16272705
FBtr0078365	CG7611-RD	3L	+	21517186:21523186,21523401:21524722
FBtr0343790	GluClalpha-RP	3R	+	19724715:19730715,19731280:19752529
FBtr0071723	CG13488-RA	2R	+	21945691:21951691
FBtr0080501	CG16848-RA	2L	+	13406519:13412519
